,평점,날짜,후기
0,4.4,2024.04.22.,
1,2.6,2024.04.18.,변화가 엄는곳 이네요
2,3.5,2024.04.17.,"If you’re a nature person, this place would definitely fit you. You can find serenity in this place, although it is a typical tourist place."
3,3.9,2024.04.14.,"토ㅅ에 입장권 떴길래 찾아보실까봐^^
친일파섬이예요"
4,2.6,2024.04.13.,걷기좋은 산책로
5,5.0,2024.04.13.,
6,2.4,2024.04.10.,
7,4.4,2024.04.09.,한번쯤 은 가볼만해요.
8,3.7,2024.04.08.,그냥 산책정도만 하는거로 별로 볼껀없음. 위에 자라섬이 더 괜찮은듯
9,3.5,2024.04.05.,민영휘....파묘....
10,3.0,2024.03.28.,"가족들에게 미안해서 고개를 들 수 없습니다. 
4인 아뜰리에 별장에서 하루 보냈는데 이불은 3채가 준비 되어 있더라구요. 아이들은 가로로 재웠습니다. 정원재에서 메뉴를 보고 뷔페를 시켰더니 메뉴를 잘못 표기했고 불가하답니다. 조식으로 황태해장국을 시켰는데 다른 상에 이미 나가서 다른 사람이 손 댄 것을 가져다 주더라구요. 항의 하니깐 그제서야 죄송하답니다. 캐리어가 두 개 있어서 선착장까지 데려다 달라고 했는데 30분을 기다려도 차가 안 오더니, 바로 옆에 있던 빈 노란색 봉고차가 선착장에 나가더라구요. 카운터에 물어보니 순서대로 처리하는 중이랍니다. 덕분에 갯벌을 가로질러 수많은 외국인 인파를 뚫고 캐리어와 두 아이와 함께 돌아왔습니다. 한 번 더 확인했으면 없었을 사소한 실수들이 쌓이고 쌓여 남이섬에 대한 좋은 추억을 모두 지워버렸습니다. 감사합니다."
11,5.0,2024.03.21.,
12,5.0,2024.03.04.,"남이섬을, 남이섬의 나무들을  좋아하는 사람입니다. 겨울 남이섬의 모습을 실제로 보고 싶어 계획만 여러차례 세웠는데  2월의 마지막주 언니,동생과 남이섬을 다녀왔는데 가평에서부터 겨울왕국으로 변한 도로를 달려 도착해서 만난 눈덮힌 남이섬은 한 폭의 수묵화처럼 아름다웠습니다. 섬 전체를 산책하듯이 걸으며 겨울정취를 오롯이 즐길 수 있어서 행복한 시간이었습니다. 5월 푸르름이 짙어 갈 무렵  갈려고  합니다."
13,4.7,2024.02.29.,
14,4.7,2024.02.20.,"드라마 겨울연가 촬영지이며
남이 장군님의 전설이 살아 숨쉬는곳"
15,3.9,2024.02.14.,엄마사랑해여
16,4.3,2024.02.11.,
17,5.0,2024.02.09.,
18,3.8,2024.01.22.,구경하기에 나쁘진 않아요~ 다만 눈 안오는날 가야할듯 바닥이 질척거림
19,4.5,2024.01.12.,
20,4.4,2024.01.01.,The place is like magic to me I highly recommend you to visit it
21,4.2,2023.12.30.,
22,3.5,2023.12.24.,
23,3.9,2023.12.20.,
24,5.0,2023.12.20.,사진찍기 좋아유
25,3.7,2023.12.20.,
26,4.1,2023.12.16.,
27,4.5,2023.12.15.,많이 갔어도 또가고싶은곳. 산책하기 좋아요
