,평점,날짜,후기
0,4.2,2024.04.18.,
1,4.4,2024.04.14.,가격은 비싸지만 한번쯤 탈만해요.
2,4.4,2024.04.14.,
3,3.3,2024.04.13.,
4,3.9,2024.03.30.,
5,4.3,2024.03.28.,
6,3.6,2024.03.08.,
7,3.4,2024.03.07.,주말에는 좀 혼잡히구요 금액이 좀 있는듯 하네요 한번은 탈만해요
8,5.0,2024.03.06.,
9,4.3,2024.03.02.,"관람차는 괜찮지만 직원들 태도가 영 아니네요.물어보는 말에 대답은 얼굴도 안보면 건성으로 대답하는둥 마는둥하고 서비스 업종에 마인드가 안되었습니다.
아무리 알바라지만 이건.."
10,3.2,2024.02.26.,"비싸다
해질무렵되면
해변에 사람들 몰려옴"
11,4.7,2024.02.25.,야경보러가기 좋아요
12,4.4,2024.02.18.,밤에 오면 좋네요 예뻐요1
13,4.7,2024.02.01.,"예쁘지만 공사중이었다
속초해수욕장 가는 겸 들리면 좋을 듯"
14,4.6,2024.02.01.,"부모님과 같이 갔는데 생각보다 무섭더라구요.
고소공포증 있으신분은 진짜 무서워 하실거 같아요ㅠㅠ 바람 많이 부는 날이었는데 흔들림이 직접적으로 느껴져서 좀 불안했지만 뷰는 좋고 넓고 깔끔해서 좋았어요."
15,3.6,2024.01.30.,"뷰 최고

근데 다시 타기는 에메모호...

패키지 앙제루스 괜찮음"
16,3.9,2024.01.24.,생각보다 무서움 가격대비 짧음
17,4.3,2024.01.23.,
18,4.0,2024.01.23.,
19,4.9,2024.01.23.,한여름에 가서 그런지...음...이쁘긴하나 쪄 죽을뻔 했습니다
20,4.0,2024.01.23.,
21,5.0,2024.01.13.,
22,4.0,2024.01.07.,
23,4.1,2024.01.07.,"숙소 앞에 있어서 한번 가봤는데
그냥저냥 한번은 타볼만 하네요
가격이 좀 창렬.."
24,5.0,2024.01.06.,"날이 좋아 기대가 컷던만큼 뷰도 최고였던 속초아이 대관람차
강원도 여행가면 또 가고싶어요 ㅎ
다음번엔 밤시간대 야경을 꼭 보려합니다"
25,4.0,2024.01.01.,"한번 정도는 타도 후회없어요.
추천드림."
26,4.2,2023.12.27.,사후 승인 방안을 적극적으로 고려하는게.....................
27,3.7,2023.12.23.,너무 예뻐요
28,4.5,2023.12.23.,가격에 비해 좀 아쉽다
29,3.5,2023.12.03.,"여름휴가때 가따온곳입니다
이젠 없어진다고 하던대...뭐 잘 다녀왓습니다
15분 분당 천원꼴이라 가격생각하면 좀 그렇치만 뷰가 좋습니다 시설도 괜찬쿠요"
30,3.8,2023.12.03.,여행 중 리뷰가 괜찮아서 방문했어요 ! 여기 사진 맛집인 것 같아요 ㅎㅎ 글구 유명 관광지라 주말이라 그런지 사람 엄청 많았습니다 ! 주차장은 많지만 차들이 꽉 차있어서 잘 찾으셔야 합니다 !
31,3.8,2023.11.19.,"여기가 1년 넘게 잘 운영됐고 잘 이용했는데 왜 불법???
허가 없이 절대 안되는 거 상식적으로 불이해
안전, 시설 속초 수준에서 정말 좋았는데...
랜드마크를 왜 없앨라고?
혹시 이용객이 줄어 노이즈 마케팅은 아니겠???"
32,5.0,2023.11.13.,
33,4.6,2023.11.09.,"불법건축물이라믄서요….!?ㅠㅠ 속초명물,,,, 내 추억들,, 사라지게 보내긴 아쉽따,,, ㅠㅠㅠ"
34,4.9,2023.11.03.,
35,4.0,2023.11.01.,전망이 너무 좋아요
36,4.1,2023.10.23.,"뷰 좋아요
내부도 깨끗해요 ㅎㅎ"
