,평점,날짜,후기
0,4.0,2024.04.07.,"주차장이 무료에 자리가 많아서 편해요.
커피한잔하며 탁트인 바다를 즐길수 있어서 더욱 좋습니다.
사람이 많아서 복잡하긴 하지만 그만큼 편의시설이나 식당들이 다양하네요"
1,3.5,2024.04.06.,
2,4.9,2024.03.26.,
3,3.7,2024.03.24.,"야자수는 없음
근처 카페 많음
주차 한시간 가능
예쁜 바다"
4,3.9,2024.03.22.,
5,4.6,2024.03.12.,
6,4.4,2024.03.11.,
7,4.1,2024.03.06.,
8,4.5,2024.03.05.,근처에 커피거리가 있어 바다 보면서 카페에서 시간 보내기 좋습니다 ㅎㅎ
9,4.8,2024.03.05.,
10,4.7,2024.03.03.,"바닷가는 비오는 날이 많더라구요
기상체쿠필수!"
11,4.5,2024.02.27.,"바다 이뻐요~
주변에 많은 카페, 밥집도 있고 인생네컷도 있어서 가면 할거 많아요~"
12,3.2,2024.02.24.,"눈오는날 강릉 커피거리
치가많다"
13,4.8,2024.02.11.,🌊🦀🐳🐙🐟🐡🧜🧜‍♀️🧜‍♂️🌅🐬
14,4.2,2024.02.09.,"주변에 강릉네컷, 순두부젤라또, 소품샵 이용 겸 들른 해변. 갈매기 진짜 많이 봤다."
15,4.3,2024.02.06.,딱히 볼건없당 그냥 해변임
16,5.0,2024.01.23.,
17,4.7,2024.01.21.,
18,3.9,2024.01.16.,바다 보기 좋아요
19,5.0,2024.01.02.,
20,3.5,2023.12.23.,조금 복잡했은데 동해가 아름다웠어요.
21,4.0,2023.12.20.,
22,4.8,2023.11.25.,
23,4.0,2023.11.24.,백사장 넓고 깨긋하고 좋아요 일단 커피숍이 많아 좋고요
24,4.4,2023.11.12.,"커피마시면서 바다멍하기 좋은 곳
사람이 많긴 많다....."
25,4.0,2023.11.01.,
26,4.6,2023.10.21.,"바다색이 강릉에서는 가장 이쁜거같습니다
주말엔 사람이넘마나서 평일가세여"
27,2.9,2023.10.21.,이젠 식상함 횟값 기본 18 만원 담합ㅋㅋ
28,4.7,2023.10.12.,"정말 사랑하는 안목해변
안목해변의 노을은 늘 핑크빛이랍니다 🩷"
29,4.0,2023.10.11.,주차하기가 너무 힘들지만 바다는 너무 좋았습니다나들이
30,4.2,2023.10.08.,만족스러운데 가격이 쫌 부담되긴해요 ㅎ
31,4.0,2023.10.05.,
32,4.5,2023.09.19.,
33,3.7,2023.09.18.,
34,4.4,2023.09.03.,해변 일출  정말 이뻐요
35,4.2,2023.09.02.,여기서부터 위쪽으로 쭉 걸었는데 가장 놀기 만만한 해변이었어요. 얌전하달까.. 모래사장에 앉거나 물속에 들어가도 위험해 보이지 않을 정도요. 물론 물에 들어가면 어린아이는 위험합니다.
36,3.9,2023.08.28.,
37,3.5,2023.08.14.,바다가더럽고 파도가쎄요
38,4.2,2023.08.13.,분위기 좋아요. 다만 태풍전이라 바다 근처로 못가  아쉽네요.
39,3.9,2023.08.10.,
40,4.2,2023.08.04.,"주차는 강릉항 주차장에 하고 여유있게 걷다가 맘에드는 카페에 들어가는게 좋다. 카페 앞의 주차공간은 워낙 방문객이 많아 주차가 어려움. 카페는 꼭 3층으로 올라가기를 적극 추천.예쁜 바다 뷰~.
신선한 회를 먹고 싶으면 강릉항에 있는 회센타에서~"
41,5.0,2023.08.04.,안목해변 너무 좋아요 식당이나 놀거리 가까워서 더 좋아요!
42,4.1,2023.07.31.,바닷가 카페거리. 나쁘지 않음.
43,4.0,2023.07.30.,"물도 맑고 깨끗해서 참좋았다.
무더위 35도에도 파라솔아래가 시원하다.
피서지 답다. 너무 마음에 든다.

주차료 아직은 무료."
44,4.0,2023.07.29.,카페거리가 있어서 쉬기 편했고 보트가 진짜 재밌었다 화장실도 깨끗하고 관리 잘되어있다 단점은 주변에 딱히 맛있는 식당이없다
45,3.6,2023.07.29.,그런대로
46,3.5,2023.07.25.,아주 좋은 하루 보냈습니다
47,4.3,2023.07.24.,커피 거리가 조성된 해변으로  물놀이겸 사색 즐기기 좋아요.  바다 전망뷰 카페들이 즐비 되어있어  커피 한잔하면서 여유 즐기시기 좋아요. 뚜벅이 분들은 버스 시간 참조하세요.
48,4.3,2023.07.24.,"아주좋아요. 거친파도를 원하시면 비추. 흐린날이나, 풍랑주의보때 오면 파도가 꽤 높습니다. 카페촌이라서, 주차가 빡셈."
49,4.7,2023.07.20.,"금강송 산책로를 지나면 보이는 안목해변.한적하고 좋네요.커피거리로 유명하지요.
자판기 커피도 600원인데 컵이 그란데정도 되요.
시티버스의 출발지로 시간표 참조하셔요."
50,4.0,2023.07.08.,
51,4.6,2023.07.07.,"안목해변은 진리, 커피마시기도좋고 뷰도 좋고 힐링최고"
52,4.2,2023.06.19.,"바다가 눈을 사로 잡네요 커피거리와 같이 있어서 바다를바라보며 마시는 커피는 맛도 일품
루프탑이 있는 카페에 가서 마시면 금상첨화 입니다"
53,4.0,2023.05.30.,"커피 거리로 유명한 해변입니다. 길게 이어지는 백사장도 예뻐서 가족이나 연인, 친구들과 찾으시면 좋을 곳이에요."
54,4.8,2023.05.25.,
55,4.5,2023.05.19.,
56,5.0,2023.05.18.,
57,3.6,2023.05.17.,바다 색깔도 예쁘고 분위기도 좋아요
58,4.3,2023.05.14.,
59,4.2,2023.05.14.,강릉오면 가보는 곳
60,5.0,2023.05.06.,
61,4.7,2023.05.06.,나들이
62,3.7,2023.05.01.,사람이 너어무 많고 차들도 많고 ㅠ 정신없어요…
63,4.4,2023.04.06.,
64,3.2,2023.04.04.,ㄱㅇ
65,4.2,2023.03.10.,"물은 맑은 편
사람은 많은 편
노을 예쁜 편
주차 개불편"
66,4.1,2023.03.05.,ㅗㅜㅑ
67,1.6,2023.03.02.,"안목ㅋㅋㅋㅋ양아리들만사업하는곳임.
머리에든게 있으면  도로좀 내달라고 건의해라.남항진으로
차건너가게. 지들손님뺏길까바 도로도 안했다며?  개막혀서 주말마다 전쟁이지? 니들은  차가막히길 더.바라는것들이지? ㅋ .홍보도대고 핫플은 타가막혀야한다고 생각하지?
ㅂㅆ들  안목 왠만하면  가지맙시다  가더라도  바다만보러가자."
68,4.0,2023.02.27.,"바다가 엄청 푸르고 예뿜

보트 1인 만오천원"
69,3.7,2023.02.04.,바다가 진짜 예쁘더라구요
