,평점,날짜,후기
0,3.7,2024.03.17.,"화폐박물관 재밌음
해설사님 설명 아주 상세하고 재밌음
산책하기 좋고 매화와 산수유 예쁨"
1,5.0,2024.03.12.,재밌었습니다!!
2,4.2,2024.03.10.,"잔잔하고 조용하고
꽤 넓은 야외공간
보물같은 한옥주거공간"
3,4.6,2024.03.02.,
4,4.1,2024.02.25.,오죽헌 해설사 선생님이랑 시간 맞춰서 꼭 해설도 같이 들어보세요. 오죽헌 여러번 가봤는데 해설 들은 날이 가장 좋았네요 ㅋㅋ 아이들이랑 가기 정말 좋은 곳이에요 지폐 박물관부터 미디어아트까지 유익하게 잘 만들어뒀어요 ㅋㅋ 여기서만 5시간 놀아버림 ㅋ큐ㅠㅋㅋㅋ
5,4.3,2024.02.18.,입장료 받기에 조금 아쉽지만 볼만 해요.
6,3.8,2024.01.30.,"참 깔끔하게 유지되는 곳으로 느껴졌습니다.
우리나라 역사에서 최고의 석학중 하나인 율곡이이의 출생지가 작고 허름한 방인게 .. 사람의 잠재력은 공간으로 제어할수 없음을 깨닫고 갑니다. 
화폐박물관도 너무 좋았습니다. 아기가 딸려서 가족사진 하나 찍기어려운데 포토존이있어 좋았습니다 . 강릉오시면 오션뷰도 좋은데 여기도 꼭 들르세요-¡"
7,3.2,2024.01.27.,
8,4.0,2024.01.23.,
9,2.3,2024.01.17.,
10,3.7,2024.01.04.,"강릉 여행할때 꼭 들러요
찬찬히 둘러보기 좋구 시간 맞으면 해설자분 설명도 들을수 있어 좋음."
11,3.7,2024.01.03.,3번째 봄..가을.겨울방문 박물관 좋아요
12,5.0,2023.12.16.,사람 많이 없고 좋아용 ㅎㅎ
13,1.0,2023.12.09.,볼게없다.
14,5.0,2023.12.04.,
15,5.0,2023.11.27.,볼거리가 많아요~ 👍
16,2.8,2023.10.28.,
17,4.4,2023.10.25.,
18,3.3,2023.10.20.,볼거리도 다양하고 시간대 잘 맞춰가면 설명들으면서 다니는 것도 좋을 거 같아요
19,3.0,2023.09.21.,"강릉 시민의 날에 와서 입장료 0원이네요
박물관 너무좋아요"
20,4.5,2023.09.18.,뷰도 괜찮았고 시설도 좋았습니다. 진짜 지폐에서 본그림이 정말로 똑같았어요^^
21,5.0,2023.09.14.,걷기좋은 포토존
22,5.0,2023.09.08.,
23,5.0,2023.09.06.,입장료도 싸고 주변 박물관도 함께 둘러볼 수 있어 좋았습니다
24,4.4,2023.09.03.,"굉장히 멋있네요
박물관은 크진 않아요
구석구석 보셔요"
25,4.7,2023.08.28.,
26,4.9,2023.08.23.,
27,4.3,2023.08.20.,아이 숙제 아니었으면...
28,3.8,2023.08.16.,
29,4.4,2023.08.16.,"(2023.08.13 방문) 5만원권과 오천원권의 배경인 오죽헌. 율곡이이의 초상화 앞에 향을 피우고 아이들이 책과 친해지길 빌고, 신사임당과 율곡이이가 잘 가꾼 율곡매를 보니 너무 멋지네요. 참 마음 차분해지는 곳입니다."
30,2.5,2023.08.14.,입장료가 생각보다 비싸요
