,평점,날짜,후기
0,2.6,2024.04.04.,
1,4.6,2024.04.04.,"입장료가 싼 게 아닌데,
돈값은 하네요.
만족스러웠습니다~

뭔가 정서적으로 평온을 주는 것 같은 곳
생각보다 역동적인 곳
구석구석 재미가 숨겨진 곳"
2,3.4,2024.03.26.,"시설자체는 나름 볼거리도 있고 재밌었어요~ 사진찍기도 좋구요 평일에가면 여유롭게 즐길수있을거같아요~ 뷰도 꽤 좋고 코스도 지루하진 않아서 한번은 가볼만해요 

화장실은 좀 불편하고 카페는 티켓팅하시는곳에서 아래층으로 가시면 있어요

주차장은 아래쪽에는 여유있지만 위쪽은 자리가 몇군데 없고 주말에는 주차가 어려울거예요"
3,4.2,2024.03.17.,
4,5.0,2024.03.17.,
5,4.4,2024.02.29.,
6,5.0,2024.02.24.,"눈덮힌 하슬라아트월드구름낀 바다 피노키오까지
그리고 맛있는 초코케익 커피 내맘을ㅅ는들어놨어요~
또올께요 친구들하고~♡"
7,3.3,2024.02.24.,"17000원 값어치 만큼만 하네요
짜증나기도 했지만 
적당량 수준의 좋은 전시물들 
다소  복잡하기도 했지만
잘 봤어요"
8,4.8,2024.02.11.,예쁘고 볼 거리 많아용 ㅎㅎ
9,4.2,2024.02.02.,"이것 저것 구경하면서 사진 찍고 추억만들기 좋은 것 같아요
계단 오르고 내리고 해야하니 다리 불편하신 분은 조금 생각하고 가셔야할듯해요
그러나 나이 있으신 엄마도 넘 재밌어 하셨어요"
10,4.3,2024.01.26.,"볼게 너무 없음
입장료...너무 아까움.
볼거는 뷰 밖에.."
11,4.0,2024.01.25.,디자인이 거의 옥상같이 야외는 철근구조로 되어있어서 인상깊었어요. 그런데 비왔을때 가면 약간 미끌거려서 무서운점 ㅋㅋ; 뷰도 바다뷰여서 좋았고 실내를 1시간정도 구경할 수 있어서 딱 좋았어요.!
12,3.3,2024.01.24.,
13,4.1,2024.01.23.,뷰가 좋은것 같습니다.
14,5.0,2024.01.23.,
15,4.5,2024.01.16.,
16,4.7,2024.01.13.,생각보다 구석구석 볼거리가많음. 식사후방문하면 띡ㆍ좋을듯.
17,3.4,2024.01.10.,
18,4.0,2024.01.01.,
19,2.7,2023.12.09.,"입장료 15.00원
한번은 가볼만 한곳"
20,3.8,2023.11.01.,
21,4.9,2023.10.14.,강릉 사진 맛집
22,5.0,2023.10.09.,
23,3.4,2023.10.03.,"겉보기에만 예쁜 게 아니라 발상 재밌는 게 많음. 피자 묶는 빨간 노끈으로 거미줄처럼 만든다든지, 쇠파이프 하나로 대나무 갈대 둥지를 표현한다든지 등등

꼭 인스타 아니더라도 미술작품 감상하러 가기 좋음"
24,4.3,2023.09.29.,주말 일찍 갔었는데 차가 많더라구요! 근데 잘 꾸며놔서 포토존에서 기다리면서 찍었는데 역시 포토존인 이유가 있네요!
25,4.3,2023.09.23.,
26,2.6,2023.09.21.,20230921
27,4.8,2023.09.13.,넘 이뻐여....또 사진찍으로 오고싶어요
28,4.2,2023.09.09.,포토존도 많고 볼거리가 꽤 많았어요 ㅎㅎ 날 시원할때 가면 더 좋을듯..!
29,4.0,2023.09.02.,여러 미술작품이 있는 미술관입니다
30,4.9,2023.08.29.,
31,4.0,2023.08.29.,
32,5.0,2023.08.20.,
33,4.0,2023.08.15.,이정도 규모에 입장료면 안아깝네요! 야외는 특히 잘꾸며져있어서 대단하다했어요! 동굴포토존은 40분넘게 기다려서찍었네요
34,4.7,2023.08.14.,
35,4.6,2023.08.02.,아이와놀자
36,1.0,2023.08.01.,
37,4.0,2023.08.01.,"다양한 미술과 시원한 전망이 멋진 곳입니다
다만 아쉬운건
좁은주차장, 좁은 이동 통로, 고소공포증이 있는 사람은 ㅎㄷㄷ 한 출구까지 가는 전망대 계단 입니다.
호기심많고 활동량 폭발하는 아기와 함께는 비추 입니다."
38,3.1,2023.07.21.,"20230720 굿
주차공간 협소.
입장료 아깝지않네!!!"
39,3.7,2023.07.15.,입장할때 남자직원분 친절
40,4.3,2023.07.15.,
41,4.0,2023.07.11.,
42,4.4,2023.07.08.,"너무 멋있고 좋아요
하루 잡고 가야 할 듯"
43,5.0,2023.07.02.,
44,4.6,2023.07.01.,
45,4.8,2023.06.28.,일출명소
46,3.7,2023.06.13.,
47,2.2,2023.06.06.,
48,2.0,2023.06.01.,
49,5.0,2023.05.30.,아기자기 이쁜 작품도 많고 경치도 좋은 굿굿굿
50,4.4,2023.05.30.,비싸지만 바다보기좋은곳
51,4.4,2023.05.29.,"야외와 조각공원이 실내보다 훨씬 좋음
전시자체의 퀄리티는....
날씨가 흐려도 자연과 어우러지는 나름의 멋이 있어서 굿b"
52,4.3,2023.05.23.,가슴시리도록 바다가 보고싶을때...어디론가 떠나고싶을때....왠지 가슴이 답답할때...그냥 아무곳이나 가고싶을때...떠나세요..모두다 내려놓고 올수있는 힐링 그자체입니다
53,4.9,2023.05.22.,"한번쯤은 다녀갈만한 곳!
개인적으로는 좋았고 사진 찍을 곳도 많았음.
계단이 많고 의자가 없으며, 복잡한 길에 비해 안내표지판이 없는 건 사람들의 접근성을 떨어트릴 거라고 봄
크기에 비해 주차장도 부족해 보임.
휴일에 갈거라면 개장과 동시에 들어가는 걸 추천!!"
54,4.6,2023.05.18.,
55,5.0,2023.05.13.,
56,5.0,2023.05.10.,
57,4.2,2023.05.05.,
58,4.1,2023.05.05.,
59,2.9,2023.04.23.,비추입니다~ 비싼 입장료에 비해서 어수선 하고 볼게 없어요. 냄새나고 음산해서 공포의 집 체험 하는 줄 알았어요~  관리가 제대로 안된거 같더라구요. 두번 다시 찾고싶지 않은 곳~!!!
60,4.2,2023.04.23.,"비추에요
포토존은 어느정도 있지만
계단이 진짜 너무 많아요
노약자분들은 가는길이 진짜 힘드실거에요...
그리고 나가는길이 험난하기도 한데 엄청 높은곳이라서 높은곳 무서워하시는분들도 힘드실것같아요

굳이 돈주고 가야되나 싶기도 한...
그리고 안에 있는 카페 음료 마실바에는 걍 물드세요"
61,3.2,2023.04.14.,돈아까움 ; 안가는걸 추천..ㅋ... 바다구경 하러 가세요~
62,4.1,2023.03.09.,"피노키오전이 인상깊었고
강릉의 핫플레이스인 만큼
평일에도 사람 인파가 많아요~~
한번쯤 방문해보기좋아요~~"
63,4.1,2023.02.25.,개인적인 감상평입니다. 작품들이 좀 기괴하다고 느꼈습니다. 다른 전시나 미술관과는 다르게 의자가 없어서 힘들었습니다. 빨리 보고 나가라는 의도일지도. 야외전시로 나와서 바다와 산이 같이 보이는 풍경은 예뻤습니다. 역시나 밖에도 의자가 없는.
