,평점,날짜,후기
0,2.3,2024.04.20.,벛꽃 뷰 맛집
1,4.0,2024.04.17.,"연간 바꾸는데 시간 좀 걸렸고,
들어가선 줄 많이 섰어요 ㅎㅎㅎㅎ"
2,5.0,2024.04.17.,
3,5.0,2024.04.09.,힐링하고 왔네요 ~
4,3.8,2024.04.03.,"평일에 방문하니 기다리는 줄도 적어서 루나패스 없이도 금방 놀이기구 탔어요 ㅎㅎ 그대신 운영 안하는 기구들이 있어서 아쉽긴해요.. 서울랜드는 카드사,통신사 할인으로 저렴하게 티켓 구매할 수 있고 접근성이 편해요~ 재밌게 놀다갑니당~"
5,3.7,2024.04.02.,
6,4.2,2024.03.27.,"초등 3학년딸램  너무잘놀고 탈게많아요
놀이기구좋아해서 키즈카페 는 지겨워하고 여기 너무좋아하네요 
사람도적당하고   1시간안에 탈수있고30분이면 타는것도많고 
이날은 코스프레를 한학생들이 많아서 구경도하고 
사진도 ^♡^찍었어 요"
7,4.8,2024.03.25.,날씨도 좋고 너무 즐거운 시간 보냈네요!! 다만 식당이 리뉴얼중이라 닫은 곳이 많은 건 아쉬웠어요.
8,4.1,2024.03.22.,
9,4.8,2024.03.21.,잘놀고갑니다
10,5.0,2024.03.15.,
11,4.6,2024.03.12.,추억이 있는 곳
12,4.8,2024.03.11.,
13,5.0,2024.03.08.,좋아여
14,4.3,2024.03.08.,
15,3.5,2024.03.04.,"겨울이어서 인지
다른데에 비해 줄서는게 거의 없음."
16,3.5,2024.03.02.,","
17,3.7,2024.03.01.,"아이와 함께 오기 좋아요 가성비 굿이요!
롯데리아는 비추 입니다ㅠ"
18,4.1,2024.02.26.,
19,4.4,2024.02.20.,"아기랑 지하철 버스 갈아타며 두시간 걸려 가도
재밌게 잘 놀다 오는 곳
작년 봄에 처음 간 후  몇번 더 다녀옴
아직 36개월밖에 안돼서 저학년 될때까지 종종 다녀야겠음 탈 것도 많고 아기가 좋아함"
20,5.0,2024.02.20.,
21,4.7,2024.02.17.,놀이기구나 서비스나 다 정~말 대만족이었는데..단체 손님 있으면 재료좀 넉넉히 준비 해놓으세요..토요일 오후1시쯤 한창 점심시간인 그 시간에 밥을 못 먹는다는게...두번이나 빠꾸 당했어요ㅜㅜ재료없다고 나가달라네요..
22,5.0,2024.02.15.,
23,4.5,2024.02.15.,
24,4.4,2024.02.12.,"놀이기구가 재미있어요
근데 야외라서 추울때는 좀아닌거 걸로"
25,4.4,2024.02.12.,"눈썰매 타러 갓는ㄷ 눈이 바지안으로 들어유ㅏ용ㅌㅋㅋ 내복입고 가야할 판
그리고 스릴 좋아하는 저에게는 놀이기구들 진짜.. 노잼이였우요... 그냥 가족끼리 놀러오기엔 좋을듯용 설날에 갔는데 줄 하나도 안쓰고 바로바로 타가지고 괜찮았어요 자이로X는 재밌었어요 빙어 튀김도 처음 먹어봤는데 맛있었어요 근데 푸드코트 쪽에서 떡볶이 파시는 분들은 음식이 나왔는데 부르지를 않으셔 가지고 한참 뒤에 먹었네요 바로 앞에 있었는데 들리지도 않게 부르신건지...? 이건 좀 의아했어요ㅎㅎ^^,,"
26,3.5,2024.02.07.,
27,5.0,2024.02.06.,
28,4.1,2024.02.06.,
29,3.4,2024.01.29.,"티키톡열차 1월 28일 오후 알바 두명
남1 여1 개불친절해요.
저거 제외하면 서울랜드 자체는 만족스러웠어요."
30,4.4,2024.01.26.,
31,3.0,2024.01.23.,가끔가다 고양이가 돌아다녀요 ㅋㅋ
32,5.0,2024.01.21.,재미있음.
33,5.0,2024.01.19.,카카오 예약으로 저렴하게 예약하고 1번째로 들어가 마지막으로 나올만큼 잼있게 놀았다. 눈치게임 성공이라 20개? 정도는 탄거 갔다. 다음에도 최저가 할인 나오면 무조건 사세여. 100%사는게 이득임!!!!
34,5.0,2024.01.13.,"줄서기 체험
화이팅"
35,5.0,2024.01.13.,시설도 점점개선되고할거리놀거리볼거리가 가득해 좋네요
36,5.0,2024.01.06.,마술공연 퀄리티.장난 아님
37,3.7,2024.01.05.,"미취학 아동들과 다녀오기 좋습니다
저렴하게 잘 다녀왔어요 에반트레인은 아빠랑 태우세요
몸살납니다 ㅠ"
38,5.0,2023.12.27.,"눈썰매 타러갔는데 눈썰매는 안타고,
오랜만에 간거라 놀이기구 타고 왔어요,
오래기다리지 않고 재미있게 놀고 왔어요,
아이들도 부모들도 신나는 하루였습니다."
39,5.0,2023.12.25.,크리스마스에 아이들과 너무 즐겁게 놀다왔답니다^^
40,5.0,2023.12.25.,와 여긴 가볼만 해
41,5.0,2023.12.23.,아들과 겨울놀이하기 너무좋아요
42,4.0,2023.12.16.,아이들과 이용하기에는 여기만한곳이 없어요! 정말 좋아요^^
43,5.0,2023.12.16.,우리가 잊고 있었던 추억의 놀이공원. 이제는 변화가 없다는게 오히려 장점이려나 가족나들이 장소로 추천.
44,2.3,2023.11.29.,가성비는 좋으나 너무 낡았고 직원분들이 대부분 영혼없으신 느낌.. ㅠ
45,3.5,2023.11.28.,"어릴때가고 거진 20수년만에 생각나서 동물원 다녀왔어요. 입장료가 5천원이라....
진짜 너무너무 쌋었네요....?;
어릴땐 정말 귀한 날이었는데,
그냥 동물보고싶으면 거의 
매일매일 놀러올 수 있는 가격이었네요.
평생 보기도 힘든 희귀한 동물들을
언제든지 볼 수 있었다는 사실이
나이들어 오니 새삼 놀라웠어요.
서울로 이사도 온김에
자주 보러오게될 것 같아요."
46,2.3,2023.11.22.,
47,3.8,2023.11.21.,
48,4.6,2023.11.19.,
49,4.0,2023.11.15.,"유아들 놀기 좋아요, 평일엔 방문객이 많지 않고 평지라 덜힘들고요. 다만 놀이기구가 좀 단순하고 모두 비슷해요. 많이 낡기도했고^^;; 가성비 좋습니다."
50,3.7,2023.11.15.,"아이가 너무좋아해서.
내년에 날풀리면 다시방문할려고해요"
51,5.0,2023.11.12.,
52,4.2,2023.11.03.,"유아에서 초등학생까지 자녀를 두었다면
놀이동산은 단연 서울랜드!"
53,4.3,2023.10.28.,"코코페 같은 행사가 열렸을때도 가기 좋음,
행사 반 어트렉션 반 하며 즐길수있음"
54,5.0,2023.10.25.,
55,4.9,2023.10.25.,"대 공원 맞습니다 ^_^ 

아기랑 구경 잘 했네요 !! 

담에 또 와야할듯~~"
56,2.9,2023.10.20.,"시설은 괜찮음. 
직원 살짝 불친절
공연 고퀄
어플 정말 최악중에 최악. 로그인을 계속 의미없이 해줘야함. 에버랜드 어플보고 좀 배우길"
57,4.4,2023.10.20.,10세이하 어린이들 놀기 딱 좋아요. 주차 좋고 편해요.
58,4.5,2023.10.18.,
59,4.3,2023.10.11.,
