,평점,날짜,후기
0,3.5,2024.04.30.,또 가고싶다...
1,3.6,2024.04.29.,푸바오짱 귀엽!
2,5.0,2024.04.28.,푸바오 성장일지 처럼 있고 겨울에 가면 눈썰매장도 있어서 좋네요
3,5.0,2024.04.28.,당일에 급하게 할인받아서 둘어갔는데 결제도 쉽고 너무 편리하게 잘다녀왔습니다.
4,3.8,2024.04.28.,너무 너무 좋습니다 추억도 돋고 단지 사람이 너무 너무 많아요
5,4.0,2024.04.26.,우리푸 러바오 아이바오 쌍둥이들 다 사랑해 🩷
6,4.6,2024.04.23.,"근처로 이사와서 에버랜드 정기권 끊어서 다니고있는데 넓고 좋아요

다만 평일에 가도 사람 많고 점검하는 기구들 있으니깐 놀이기구 타고싶으면 기다리더라도 공휴일이나 주말에 가시는게 좋아요 

봄에는 하늘정원길 가보시면 꽃구경하고 한적해서 좋아요 꼭 들려보세요"
7,5.0,2024.04.22.,
8,4.2,2024.04.21.,학교에서 수학여행으로 갔는데 비가 온날이여서 가는길에 애들이랑 투덜투덜 댔는데 막상 가니 사람이 1도 없어서 조원들이랑 바로 놀이기구 14개 정도 빡새게 탐 중간중간 먹을것도 많음 재밌었음
9,5.0,2024.04.20.,
10,2.3,2024.04.20.,
11,5.0,2024.04.19.,
12,4.8,2024.04.18.,산리오 있었어서 귀여웠어요
13,3.6,2024.04.14.,"캐리비안베이 동절기때 오전에 캐리비안베이 갔다가 오후 3시 입장으로 해서, 푸바오 보려고 갔는데 대기 시간 240분이라서 포기하고 롤링엑스트레인이랑 범버카만 타고 나왔음. 주말엔 진짜 복잡."
14,2.9,2024.04.14.,음... 예전엔 크고 좋아 보였는데 두번 세번 갈때마다 그냥 그러네...
15,5.0,2024.04.14.,"말뭐 에버랜드는 에버랜드네요
푸바오가 중국 간 이후로 줄이 많이 줄긴 했어요 (그래도 판다들 보는 줄은 아직 깁니다)
산리오 테마 이벤트로 꾸며놓은 튤립정원이 예뻐요"
16,4.7,2024.04.14.,푸바오 푸바오 푸바오
17,5.0,2024.04.12.,
18,4.2,2024.04.11.,환상의 나라로 오세요~
19,4.1,2024.04.10.,일만 벌리고 수습은 못하는듯 아이덴티티도 없고
20,5.0,2024.04.10.,매우 좋았어요 봄나들이로 최고입니다
21,4.0,2024.04.10.,
22,4.7,2024.04.07.,"환상의 나라 에버랜드 ❤️
ㄹㄷㅇㄷ보다 저는 에버랜드가 더 좋더라고요
근데 입장료는 넘 비싸졌다ㅠㅠ
푸바오 보고싶어 고마워 사랑해"
23,4.4,2024.04.07.,사랑해푸바오
24,5.0,2024.04.07.,
25,5.0,2024.04.05.,울 바오가족들 보러 갔었어요
26,5.0,2024.04.05.,
27,4.3,2024.04.05.,"❗그늘이 없습니다 모자 혹은 양산+2시간마다 바를 선크림 꼭 챙기세요❗
2년만에 갔더니 매표소 맨 끝 쪽에 키오스크 생겨서 입장권 빠르게 구매했음 (카드만 가능 통신사 할인 가능)
산리오 때문에 갔는데 튤립이랑 같이 진짜 예쁘게 꾸며놨음
포챠코 아이스크림 맛있고 폼폼푸린 카레? 노맛임 그냥 3분 카레랑 냉동 카레밥 ㅋㅋ 대신 그 옆 카페 음료 중에 시나모롤 소다 스무디? 그거 진짜 맛있어요 꼭 드셔보세요
폼폼 기차 원래 있던 기차에 폼폼이만 붙여서 운행하는데 솔직히 철장이랑 나무 때문에 풍경 보기 어렵고 사진 예쁘게 안 나옴 돈 아까움
산리오 굿즈 살 거 없음 인터넷에 더 예쁜 거 많음 기대하고 가지 마세요
옛날에 푸바오 태어났을 때도 판다 월드 줄 이렇게까진 안 길었는데 5분 제한도 생기고... 역시 루이 후이가 한몫하는 듯 퍼레이드 포기하고 갔더니 주말인데도 1시간 안쪽으로 들어갔음 오픈런 하시는 분들 입장권 끊으셨으면 어플에 등록 먼저 하시고 10시 땡 치면 무조건 예약하세요 ㅠ
아기들이랑 같이 가시는 분들 혹은 자연 좋아하시는 성인분들 에버랜드 입구 쪽에 있는 나비 체험장... 너무 예쁩니다... 안 가보신 분들 꼭 가보세요 같이 입장했던 아기들 다 행복해했습니다 ㅠ 나비 진짜 많고 꽃다발 들고 있으면 모여들어요 백설공주 된 기분임 한쪽에 부화장도 있는데 번데기는 몇 번 봤어도 나비가 태어나는 중이거나 날개 말리는 장면은 처음 봤어요 꼭 보시길...
22/06/10
진짜 평일인데도 줄 엄청 길고 한국 사람들 다 여기로 모였나 싶음 ㅋㅋ 아마존 가실 때 우비 꼭 챙겨가세요 머리까지 쫄딱 젖어서 힘들었음"
28,5.0,2024.04.04.,
29,3.5,2024.04.02.,오예 환장의 나라 에버랜드로
30,5.0,2024.04.01.,정말 잘 놀다왔어요 감사합니당
31,5.0,2024.04.01.,안녕푸바오.ㅠ
32,4.3,2024.04.01.,
33,5.0,2024.03.31.,"할인 없으면 입장료도 비싼데 저렴하게 다녀왔어요.
날씨가 좋아서 사람들이 엄청 많더라구요. 산리오와 콜라보 한 튤립축제도 있어서 즐거운 하루 보냈습니다."
34,5.0,2024.03.30.,"동물 원 처럼 사자 팽긴 원숭이 등등
있어요"
35,4.3,2024.03.25.,"저는 평일 목요일 오후에 놀러가서 사람이 많이 않아서 좋았습니다. 하지만 티익스프레스는 공사 중이라서 운휴더라구요. 그 점은 아쉬웠습니다😢 그래도 놀이기구들이 많아서 알차게 놀고 갔습니다. 확실히 푸바오 상품, 장식품들이 많았습니다. 이젠 없지만 푸바오 좋아하시는 분들이면 꼭 와야하는 장소입니다."
36,4.3,2024.03.21.,"푸바오  3일 동안 하루종일 관람 하게 한대서 갔더니 예상되로 인파가 많았습니다 그것은 예상하고 갔으니 이해를 하겠는데 많은 수에 비해 
화장실이 적고 멀리 있어서 줄 한참 서 있다 들어가서 불편 했어요 임시 화장실 이라도 설치 좀 하시지 ....설사 병 걸린 사람은 어떻게 하라고 하시는지....."
37,3.7,2024.03.20.,평일에 갔는데 푸바오 땜에 사람 몰릴걸 예상이 가능했을 텐데 식당이랑 가판대 연 곳을 찾는게 힘들었어요 그래서 식당 기본 1시간 넘게 기다려야했어요.. 츄러스 사려고 해도 15-20분은 기다렸어요
38,5.0,2024.03.20.,
39,4.4,2024.03.18.,"푸바오 잘가👋 
+ 구운옥수수 맛있음"
40,4.2,2024.03.17.,
41,1.0,2024.03.15.,
42,2.3,2024.03.15.,
43,4.4,2024.03.15.,놀이기구는 못타고 판다월드만 2번감 한번 줄설때 3시간씩 아루후 러바오 보고 마지막으로 푸보고옴
44,4.0,2024.03.14.,"평일 주차는 정말 너무 좋네요 
다만 36개월 미만 아기의 입장은 무료되 
어트렉션 타는것은 몇몇개가 따로 6천원 자유이용권을 그 부근에서 따로 사야 태워줄수 있는거더군요 
그래서 그런지 저언혀 타는사람이 없던데 그럴거면 뭐하러 어트렉션 남겨놓는건가요 ??? 주말용인가 ??? 
성인 2명만구매했지만 기구 2개타고 주토피아만 버글버글하여 막바지 조금 보고 나왔어요 ㅎㅎ 
뛰는게 한참좋을 18개월의 남자아이라서 
뉴런이 가장 활성화되는 시기에 마음껏뛰고 너무 좋았지만 
아기들 몇개안되는 기구 갖고 너무 장사하신다 생각이 들어 20분 거리에 사는데도 이럴거면 키카 갔지 싶은 마음도 조금 듭니다"
45,2.8,2024.03.11.,
46,3.8,2024.03.10.,푸바오가 곧 떠나서~ㅠ
47,4.1,2024.03.10.,환상의나라잔아
48,4.5,2024.03.10.,"볼거리 할거리 너무 많아서 하루동안 다 하기도 시간이 모자라요
국내 최고의 놀이공원"
49,5.0,2024.03.09.,넢은곳아주좋앙짱
50,5.0,2024.03.06.,즐겁게 잘 놀다 갑니다.
