,평점,날짜,후기
0,4.2,2024.04.30.,"온라인 예약만 가능
예약 힘들다는데 전 쉽게 했었구요
음식물 반입이 안되는데 쓰레기 버리는 사람이 있는 걸 보니 안타까웠어요"
1,4.2,2024.04.29.,
2,5.0,2024.04.15.,
3,3.5,2024.04.14.,벚꽃명소 화담숲 좋아요^^
4,3.0,2024.04.14.,재방문의사 절대없음....
5,1.5,2024.04.14.,절대 가지마세요~~
6,4.6,2024.04.14.,"화담숲은 경기도 광주에 위치한 생태수목원이고, LG 상록재단이 우리 숲의 생태계를 복원하는 데 중점을 두고 약 5만 평 대지에 4천3백여 종의 국내외 자생 및 도입식물을 16개의 테마원으로 구성되어 있다.
자연생태관, 이끼원,철쭉진달래길,탐매원,자작나무숲,양치식물원,소나무정원,분재원,암석하경정원,전통담장길,식채원,무궁화동산,수국원,반딧불서식처,추억의정원 코스로 2시간 정도 관람한다. 
4월에는 수선화 축제, 가을에는 단풍으로 즐기기 좋다.
예약제로 운영하고 있고, 산을 걸어가는 것이라서 주차장에서 도보로 10분, 리프트로 20분(기다리는 시간 포함) 이내 매표소에 도착가능하다."
7,4.0,2024.04.09.,4월 6일에도 벚꽃이 안피었다는 슬픈 이야기
8,3.3,2024.04.02.,"지금 (4/2) 14:10 부터 모노레일 중단됐어요!! 
안전상의 이유로 무기한 중단되고 환불 된다네요;;; 
참고하세요
꽃은 수선화는 꽤나 폈는데 벚꽃은 없고 매화는 듬성듬성 있습니다~~"
9,2.7,2024.03.30.,수선화가 많이 피지는 않았지만 기분좋게 산책하기 좋네요~
10,4.0,2024.03.28.,예쁘긴함. 중간에 내려갈수가 없음.. 진짜넓은데 정말 힘들었음... 예매도 힘들고 암표가 판치는데 입장하려면 대기를 또 오래 해야함.. 시스템 개선이 잘 되었으면 좋겠음
11,2.8,2024.03.11.,"예약미쳤다!
한시간반동안  대기타고 들어가도 모두매진매진~ 
그럼 대기안뜨게하던가
안간다"
12,2.9,2024.03.10.,
13,4.0,2024.03.03.,상시 이용할 수 없는 게 좀 아쉽습니다.
14,4.5,2024.02.28.,"힐링 그 자체네요~
화담숲이 좋아서 곤지암리조트 또 가고 싶네요~"
15,4.3,2024.01.26.,생각보다 경사가 높음..!! 겨울에는 꽃이 다 져서 볼게 부족한점이있지만 가끔 갈만한것같아요
16,4.2,2024.01.23.,넓고 숲이여서 공기가 좋아요
17,4.9,2024.01.20.,
18,3.8,2024.01.13.,정말 예쁜데 운동 평소에 잘 안하시는 분들은 모노레일 안타면 코스 다 못도실것같아요. 거의 등산입니다... 꼭 모노레일 예매하고 가세요.
19,4.6,2023.12.30.,산책 코스로 적극 추천.
20,4.6,2023.12.29.,모노레일 단풍명소 핑크뮬리명소 걷기좋은 산책로
21,4.4,2023.12.27.,"테마별로 잘 정리 되어있고, 주차도 편리하게 되어있어 구경 열심히하고 왔어요."
22,3.0,2023.12.22.,
23,5.0,2023.12.19.,"화담숲 가보고싶었는데 드디어 다녀왔네요.
단풍이 좀 졌지만 시설관리도 잘 되어있고 내년에 또가고싶은 장소에요"
24,1.0,2023.12.17.,
25,4.2,2023.12.02.,
26,4.1,2023.12.01.,"주차하고 한 20분 걸어올라가던지
돈주고 리프트타야하는데
날씨좋으면 걷는것도 괜찮아요
가을초에 갔는데 또 가고싶네요"
27,4.0,2023.11.24.,
28,4.1,2023.11.19.,모노레일이 예약제라 아쉬어요. 그래도 좋아요
29,4.0,2023.11.17.,딱히 다시 가볼 생각은 없는데 한번은 가보는 것도 좋겠다.
30,2.3,2023.11.15.,
31,3.2,2023.11.14.,예쁜 정원 그런데 이제 예약이 너무 어려운…. 🥲 예약 대비 아주 약간 실망 그러나 공간이나 식당이나 다 괜찮아서 4점.. 행사기간 예약이 어려워서 1점 깍았어요 ㅜ
32,3.7,2023.11.13.,코스가 길고 직원들이많아서 통제가 잘됨
