,평점,날짜,후기
0,4.0,2024.04.24.,무료!!
1,4.9,2024.04.12.,"온실, 벚꽃명소, 산책로 최고입니다 아기들 데리고 산책하는 분들 많으시고, 자전거 타기도 좋은 길입니다🩵"
2,3.2,2024.04.06.,
3,4.5,2024.01.09.,자연과 함께 걷기 좋은 곳
4,3.7,2023.11.27.,
5,5.0,2023.10.31.,넓고 가족끼리가기 돟아여.
6,4.1,2023.10.26.,시든꽃만 잔뜩 보고 결국 나왔어요
7,4.3,2023.10.16.,코스모스길이 예뻤어요
8,4.4,2023.10.13.,
9,4.0,2023.10.08.,"계절마다 다른 느낌의 공원 같음.
연꽃이 피는 계절에 꼭 다시 방문하고 싶은 곳!!!!
결론 : 순천 국제정원 보다 더 아기자기한 곳!
          그리고, 무료다!
          계절마다 찾아가서 사계절의 풍경을 눈에
          담아 두고 싶은 곳"
10,3.7,2023.10.06.,주차공간 넉넉하고 사람도 적어서 한적하게 산책하기 좋은 곳. 생각보다 넓고 관리도 잘되고 있음. 몇몇 장소가 횡하긴 합니다.
11,4.4,2023.09.29.,산책하기 정말 좋아요!
12,4.8,2023.09.13.,
13,4.4,2023.09.08.,
14,5.0,2023.08.25.,
15,3.9,2023.08.23.,진작에 알았었더라면... 관상용 연밭 중에 제일 넓지 않을까? 사진 등록이 안된다. 뭐지??
16,4.3,2023.08.16.,
17,3.9,2023.07.03.,
18,5.0,2023.06.23.,"입장료 무료에 아이들이랑 즐거운 시간을 보낼수 있었던곳,
너무 더운날이 아니였기에 잘 놀다왔습니다^^"
19,4.6,2023.06.21.,
20,2.9,2023.06.05.,"3류 저질 뽕짝 음악회만 빼면 정말 좋은곳~!!

귀는 호강을 못했지만 예쁜 꽃들로 눈호강 코호강하다 

갑니다~!!^^"
21,3.5,2023.06.05.,"넓진않은것같은데 표지판이 불친절해요

자전거.. 빌려타는거라 중심잡기 힘들었지만 1시간 천원에 꽤 잼었어요 근데 어디로가야하죠...ㅎ 계속 쭉 달렸더니 이상한 논밭에 큰길 나옴...ㅎㅎㅎㅎ 

자전거 빌릴때 지도줬으면 좋겠고 길에도 여기는 이길의 끝입니다 되돌아가세요 그런거 적어놓으면.. 좋겠다요"
22,4.1,2023.05.14.,
23,3.0,2023.04.15.,"중간중간에 벌레와 뱀 등 조심 문구가 게시되어 있습니다.

읍 주민이라서 자주 산책 가는편인데 조금만 잘 살펴보면 길 근처에 뱀이 햇빛 쬐고 있는거 발견하기 쉬워요. (첫번째 사진은 잘 보시면 심지어 두마리가 한자리에 있음, 매해 뱀 꼭 보고 옵니다.)

아이 데리고 가시는분은 길 벗어나지 않기 + 주변 잘살펴서 놀라는 일 없길 바랍니다."
24,2.0,2022.11.25.,"냄새가 심합니다..똥냄새..
다른건 좋아요
냄새 민감한분 주의요망!!!
장난아님...썩은떵냄새...
특히...그네근처"
25,3.4,2022.11.22.,넓디넓은 곳에 뭐하는 짓인지...
26,3.3,2022.10.10.,깨끗하고 걷기 좋고 공기도 좋음
27,3.3,2022.10.08.,"넓고 좋은데, 먼가 아쉬움"
28,4.3,2022.08.29.,"고속도로에서  내려서 가깝고 계절별로 볼것도다양하고 관리도잘되어있는 멋진곳입니다
꼭 가보세요 왕추천합니다~~"
29,4.8,2022.08.27.,지금도 좋지만 조성해놓은 나무들이 몇년만 더 크면 더 멋진 관광지가 될것같아요
30,4.0,2022.08.16.,잘  가꾸워놓았어요
31,3.4,2022.04.18.,"공원부지가 잘 되어있고
열대식물원 무료
예쁜공원느낌이라보면되는.."
32,4.1,2022.02.26.,냉정하게 걷기 좋음.
33,4.4,2021.09.27.,즐거웠어요
34,5.0,2021.06.19.,
35,4.0,2021.06.16.,"최고,,진짜 최고"
36,5.0,2021.06.03.,
37,3.5,2021.04.07.,"우연히 찾아간 곳.아직 많이 알려지지 않아서 주차공간 넉넉. 가족단위로 많이들 오는듯함.
자전거무료로 1시간 대여 해줘서 신나게 타고옴. 아직 정리중이라 꽃구경은 못했지만 완성되면 엄청 좋을듯함.

 쓰레기통 없으니 봉투는 챙겨가서 놀다오시길.."
38,5.0,2020.09.15.,
39,5.0,2020.06.21.,
40,5.0,2019.07.14.,
