,평점,날짜,후기
0,3.8,2024.04.01.,"이동네는 주차 힘드니 공용 주차장에 세워놓고
가시길. .
한바퀴 휙 산책길로 좋습니다.
꿀빵은 비추천^^"
1,4.7,2024.03.10.,
2,3.0,2024.03.07.,그냥 저냥
3,4.4,2024.03.04.,
4,4.7,2024.02.12.,사진 듬뿍 찍고 갑니다ㅎㅎ(내사진)
5,3.7,2024.02.04.,
6,4.6,2024.01.28.,부산 흰여울 마을 같은 느낌.통영중앙시장 안쪽으로해서 쭈우욱올라가면 예쁜 벽화마을이 나오고 다양한카페까지 어우러져 이쁘게 사진도 찍고.바다풍경까지 한눈에 볼수있어 좋았어요.통영 참 이쁜곳이라고 느꼈어요.
7,5.0,2024.01.23.,예쁜 사진들을 많이 찍을 수 있어요.
8,3.0,2024.01.13.,
9,4.1,2023.12.12.,
10,5.0,2023.12.05.,
11,3.0,2023.11.20.,"벽화도 이뿌고
마을도 아담하니
아름다웠습니다."
12,4.9,2023.11.20.,
13,3.9,2023.11.19.,"잔득기대를 하고 갔는데
한번쯤 볼만 했지만
그림이 주제가 없고 중구난방
통영을 대표할만한 그림이 있는 건 아니라 아쉽
뭔가 일관성 있고 우리나라을 대표하는 그림이라면 좋겠는데
우리나라 감성에 외국 그림들이라 좀 아쉬웠음"
14,3.6,2023.10.15.,두번 가기는 쫌...
15,2.8,2023.10.09.,정자까지 올라가는 길이 힘들지 않고 가볼만 합니다
16,4.6,2023.10.03.,동피랑 벽화 마을은 그림이 확실히 예쁘고 귀엽고 사진찍기도 좋은 아름다운 골목길입니다.
17,3.8,2023.09.26.,
18,4.2,2023.09.20.,주차는 저 멀리 공영주차장에 대놓고 걸어오시길 바랍니다 ㅎㅎ 주차 헬이에요~
19,4.4,2023.09.18.,"산책하며 그림 감상 할수있는 
좋은곳입니다."
20,3.3,2023.09.17.,"아기자기하연서도 시원하고, 작은 언덕이면서도 하늘과 맞닿아 있다는 느낌이 드는 곳."
21,2.9,2023.09.09.,
22,4.8,2023.09.06.,"통영의 대표 관광지 
걸으며 벽화 포토존 구경하기 좋고
많은 카페도 있어 강구안이 내려다 보이는 뷰가 멋진곳이에요~"
23,5.0,2023.09.05.,
24,4.6,2023.08.22.,
25,5.0,2023.08.17.,
26,4.0,2023.08.03.,동피랑은 예전 낙후된 동네를 잘 살리면서 아기자기한 재미도 함께 즐길수 있고 통영이 한눈에 바라보이는 뷰 맛집
27,5.0,2023.08.02.,"이 마을에는 정말 예쁜 카페들이 많았어요
한옥 느낌의 카페들도 있어서 그런지 다른 카페에서 봤을때 뷰도 예뻐 보이고 색 다르게 느껴졌어요!!
역시 사진 찍이에요 너무 제격이였고요 ㅎㅎ
아 여기 타로집도 많더라구영
재미삼아 타로 한번씩 보시는 것도 추천드려요
동피랑 정말 재밌었어요! 
뭐랄까 개성이 강한 것 같다고 해야하나??
어쨌든 반복된 하루 속에서 재밌는 경험한 것 같네요"
28,5.0,2023.07.31.,
29,4.6,2023.07.28.,
30,4.2,2023.07.01.,서피랑보다 편하고 금방 전망대까지 좋아요ㅎㅎ 특히 전망대 정자에 앉을 때 살랑거리는 바람이 시원합니다 :)
31,4.1,2023.06.21.,"올라갔을때 보는 풍경이 예뻐요 
서피랑보다 사람이 많은 편"
32,4.6,2023.06.09.,전망대 정말 시원하네요
33,4.8,2023.06.01.,
34,2.9,2023.05.23.,
35,4.6,2023.05.22.,관광지로 만든건 좋으나.. 주차 조금 불편하고 주말에 사람혼잡하면 딱히 볼거리가없음 사진찍기도 애매… 그냥 갈곳없어서 억지로보러간다는느낌이강함
36,4.0,2023.05.20.,
37,4.3,2023.05.20.,벽화가 업그레이드 되었네요~
38,4.2,2023.05.11.,
39,4.1,2023.05.09.,
40,4.0,2023.05.05.,주말에 사람 많아요
41,5.0,2023.05.05.,
42,3.7,2023.05.05.,
43,5.0,2023.05.04.,
44,3.7,2023.03.21.,
45,3.4,2023.02.17.,3.5점정도? 통영오면 가볼만한 정도. 작아서 금방 봄. 주말엔 사람 많을듯. 그럭저럭 관리 되어있는 적당한 벽화마을임. 날이 맑았으면 더 좋았을듯.
