,평점,날짜,후기
0,4.8,2023.12.22.,추운 날에 4번 탔는데 너무 재밌었습니다ㅋ 좋은 추억도 남기고 가요 겨울에는 무조건 장갑이랑 마스크 필수에요
1,4.2,2023.11.17.,"코스도 네 가지나 되고, 긴 편이라 좋았어요! 금요일 개장 시간에 방문했는데 거의 안 기다리고 바로 탑승했어요."
2,3.0,2023.10.19.,빠르고 재밌네요 멀리서 왔는데 잘 왔어요
3,4.1,2023.09.09.,"부산이랑 비교하면 코스자체가 훨 재미남ㅋㅋ
티켓파는 직원이 더 경제적인 것을 추천해줘서 고마웠음"
4,4.2,2023.09.09.,진짜 재밌음. 근데 다만 여름에 사람 많을 때 가면 리프트 타고 올라가서 줄을 아무 천막도 없는 땡볕에서 오래 서야한다는게 약간 아쉬웠음. 그래도존잼👍🏻
5,4.2,2023.09.03.,너무너무 재밌어요~~ 또 올 예정
6,3.3,2023.08.27.,"루지 처음 탔는데 재밋있었음
근데 손이 믾이 아픔"
7,3.6,2023.08.15.,캐더움… 줄설때 죽음
8,5.0,2023.08.02.,"통영 루지 최고예요~~!!!!
5번 연속탔지만 
아쉬움이 남아요ㅠㅠ"
9,4.2,2023.07.28.,넘 재밌고 직원들도 친절해서 좋았습니다. 아무래도 안전이 중요하니 자세히 알려주시더라고요~ 진짜 재밌어서 통영이 좋아졌어요.
10,4.7,2023.07.26.,
11,2.6,2023.07.23.,"줄 없음, 사람 없음, 직원 친절함"
12,4.4,2023.07.22.,루지 첨 타봤는데 너무 잼있어서 또 갔어요
13,4.2,2023.07.02.,첫 루지인데 조작도 쉽고 2회 탔으면 아쉬울뻔햇어요!! 너무 재미잇어용!!!!!
14,4.1,2023.06.21.,가격이 좀 있지만 재밌게 타고 왔어요
15,4.9,2023.06.13.,"재밌었고
코스가 4개라서 다양하게 할수있었다"
16,4.0,2023.06.04.,아주 재미있음
17,4.0,2023.05.30.,리프트를 타고 올라가 루지에 몸을 맡긴채 코스를 타고 내려오는 맛이 있더라고요. 조카들과 재밌게 탔네요.@_@b
18,4.2,2023.05.12.,
19,3.8,2023.05.05.,통영오면 루지는 꼭 타세요~ 재밌고 완전 좋습니다.
20,4.1,2023.02.23.,
