,평점,날짜,후기
0,3.8,2024.04.24.,시설 좋고 괜찮음
1,4.4,2024.04.12.,물 좋고 시설 좋고 조용해서 매주 갑니다.
2,3.6,2024.04.01.,"목욕만 하는데 14000원
세신비도 다른 곳보다 훨씬 비싼 것 같더라구요.
기본 세신 35000원 등세신이 15000원
집근처라 처음으로 가봤는데 돈만 왕창 내고 왔어요.
세 사람 가서 목욕비에 세신까지 11만원 썼네요. ㅠ

게다가 욕탕 내 음식 판매하는 곳에서 아이가 핫바를 사먹었는데 유통기한 3월 30일로 하루 지났더라구요.
데워서 줬는데 역겨운 냄새가 심해서 보니 상했더라구요.  육고기 상한 것 잘못 먹으면 급성 장출혈 와서 큰일 생길 수도 있는데 식품 관리가 안이하더군요.
시원한 곳에 보관하지 않고 따뜻한 곳에 내놓고 팔더라구요.

공간 크고 깨끗하지만 이 돈 주고 목욕할 정도로 좋은 곳은 아니었어요.
이 돈이면 다른에서 가족탕 이용하고도 남는 돈이잖아요."
3,5.0,2024.03.09.,굿
4,3.8,2024.02.18.,"피로 확 풀고 갑니다
특히 부산에 센텀시티에 있는 유명한 찜질방보다 
여기가 휠씬 좋습니다 제일 좋은점이 시설에 비해서 사람이 별로없어서 앉을 자리는랑 여유롭게 즐길 수 있는곳이 많습니다 강력추천합니다"
5,4.1,2024.02.09.,에라이~ 인스타들아!!! 별 3.2개인 이유가 있다.
6,4.9,2024.01.23.,시간나면 자주 갈거같습니다 사우나 최고
7,4.1,2024.01.18.,노천탕이 수리중이여서 이용하지 못해 아쉬웠어요 ㅠ 스파만 이용하시지 말고 찜질방이나 풀도 이용하시는 걸 츄천해용 4시간 했는데 찜질방도 갈 걸 하는 아쉬움이 남더라고요 ㅠ
8,3.5,2024.01.14.,체계가 잘 잡혀있지도 않고 락커는 카드 기능이 없음. 10시 오픈맞춰서 가지않으면 인피니티풀은 꽉 참. 층 간 연계도 굉장히 낮고 사우나는 2개밖에 없음 식당층엔 알 수 없는 업체들...왜 있는건지... 금액도 상당함. 당근에서 사서 가는걸 추천
9,4.0,2024.01.03.,시설이 넓고 주차도 여유로워서 좋아요
10,4.7,2023.12.26.,"코로나 이후 찜질방이 거의 문닫아 어쩔 수 없이 선택했는데 사우나가 최고네요
층고가 높아 답답함이 덜하고 탕도 여러개에 노천탕까지~ 찜질방이 2개 밖에 없었지만 깔끔하고 좋았어요
주차공간이 적어서 평일에 시간날 때 갈려구요"
