,평점,날짜,후기
0,4.8,2024.04.15.,포토존 굿굿.
1,5.0,2024.04.13.,
2,4.0,2024.03.22.,"사이즈가 생각보다작지만
생각보다 엄청나게 알차게들어서있고 이벤트도 많아서 여행지느낌으로 완전좋아요 추천해요"
3,5.0,2024.03.09.,"추억을 되살린수있는 아주좋은곳
가족이 함께즐길수있고 어르신들은
옛날추억을 느낄수있는 가족이용명소로
추천합니다"
4,3.9,2024.03.02.,"볼거리는 그렇게 많지는않지만
산책삼아 돌아다녀볼수있는곳
관리가 쫌 필요한듯함"
5,5.0,2024.02.29.,
6,4.6,2024.02.16.,기대 안하고 갔는데 엄청 넓고 사진 찍기 좋았어요!
7,4.8,2024.02.16.,"""반드시 행사할 때 와야하는 곳"""
8,4.8,2023.12.24.,
9,3.9,2023.10.23.,
10,2.9,2023.10.17.,여기서파는 탕후루 사먹지마셈 냉동과일에 무슨 물엿에담근 듯한 맛 가격 6500 와 사기당한줄
11,4.9,2023.10.09.,아무곳이나 멈춰서서 아무때나 갔다 대고 찍으면 사진이 되는곳 잠깐 눈 요기 하기 좋더라고요. 제가 길치방향치라 그런지 청와대 가는길을 못찾았어요 ㅜ
12,3.6,2023.08.29.,여름에는 안가는걸 추천. 모노레일있어서 편하긴 하다. 아이 데리고 오기 좋은 곳
13,4.4,2023.08.07.,"전에보다 볼거리가 많아졌어요
단 여름에가면 힘듭니다ᆢ"
14,3.5,2023.07.21.,
15,5.0,2023.05.18.,
16,3.6,2023.05.05.,
17,4.8,2023.05.05.,
18,3.9,2023.05.03.,여러벌거리가 많고  청와대 세트장이 있고 모너레일까지 타고 관람이 가능합니다
19,2.3,2023.04.30.,"주차시설도 제되로되어있지안는곳
80%가 노상주차
대형버스는  꼴랑4대    말인가싶어요"
20,4.9,2023.04.17.,"볼거리 많았어요! 사진 찍으며 하루 놀기 좋았습니다.
네이버로 예약하면 현장구매보다 조금 더 저렴하게 이용할 수 있었어요. 그리고 저는 모노레일 안타고 청와대 가는 길을 걸어 갔는데 거기 벚꽃길이라서 예뻤습니다. (좀 힘들긴 했지만요ㅎ) 
저는 한번 가보면 좋은 곳인거 같아요.
다만 아쉬운 점은 합천 자체가 먹거리가 별로 없네요. 이름있는 집들은 웨이팅이 너무 길고ㅠㅠ 테마파크 안에 있는 식당에서 그냥 대충 먹고 돌아다녔네요. 도시락 싸와서 벤치에서 까드시는 분들도 계셨어요."
21,4.4,2023.03.26.,"올때 마다 조금씩 변화하네요
오늘 영화촬영도 하는듯
나름 구경거리가 많네요"
22,2.6,2023.02.05.,생각보다 볼것 많아 만족함.
23,3.8,2022.10.31.,"볼거리가 많고, 사진 찍을 장소가 많음. 가족/연인들이 많이 오더라~"
24,5.0,2022.10.07.,좋아요
25,4.6,2022.09.10.,즐겁게 관람하고 왔습니다
26,3.7,2022.08.27.,
27,4.8,2022.08.03.,
28,3.6,2022.05.26.,"볼만합니다. 
사진 핫스팟이 많아요."
29,4.5,2022.05.08.,
30,4.3,2022.04.05.,나름 개보수 작업을 하고 있네요.....
31,4.0,2022.02.26.,옛스러운걸 볼수있어서 좋은데..너무 관리가 안되어있네요 다 뿌셔져있고 폐허같은 건물이 너무 많네요
