,평점,날짜,후기
0,5.0,2024.04.21.,걸어다니며 볼 수 있는 왕릉 뷰가 경이롭고 아름다웠습니다! 봄이나 가을에 가면 더 좋을 것 같아요.
1,3.3,2024.04.15.,
2,5.0,2024.04.13.,산책 가기에도 좋고 아기 데려가기에도 좋아요!
3,4.0,2024.04.06.,목련 한그루 피어있는 곳이 포토존 !!
4,4.4,2024.03.28.,무덤을 크게 어떻게 만들었는지 궁금해요
5,4.2,2024.03.26.,
6,4.6,2024.03.23.,경주 랜드마크 같은 곳이죠. 이번엔 밤에 갔는데도 조명이 잘 되어 있어서 새로왔어요.
7,3.4,2024.03.22.,"무조건 가세요…
첨성대 가깝고 주변 주차장도 좋아여"
8,3.9,2024.03.06.,산책삼아 걸어다닐만 함
9,5.0,2024.03.04.,
10,4.0,2024.03.04.,
11,4.7,2024.03.01.,"뷰 너무좋아요
다시 가고 싶은 곳.."
12,4.5,2024.02.29.,"대릉원 이쁘고 좋아요..
나무가 많아 뜨거운 해도 피할수있고 1시간정도 여유롭게 산책하기 좋아요"
13,4.7,2024.02.20.,대릉원에는 신라시대 왕과 왕비의 무덤 23기가 모여있는 곳이라고 합니다
14,4.3,2024.02.18.,걷기 좋어요. 천마총 보고 옆문으로 황리단길로 바로 가시면 됩니다.
15,4.4,2024.02.07.,릉들이 많은 만큼 사진도 잘나오고 역사도 깊게 알 수 있음
16,3.4,2024.01.25.,날씨 좋을 때 가면 좋아요
17,3.0,2024.01.23.,야간뷰가 넘 예뻐서 다시 방문하고싶어요
18,4.8,2024.01.23.,산책로도 좋고 천마총등 볼거리가 많아요.
19,4.0,2024.01.23.,
20,5.0,2024.01.18.,"봄, 여름, 가을, 겨울 사계절 다양한 모습을 담고 있는 대릉원. 봄부터 가을까지는 많은 인파로 북적이는 곳이지만, 겨울에는 다소 한적합니다. 덕분에 고즈넉한 대릉원의 정취를 마음껏 느낄 수 있어요. 노을지는 풍경과 함께 야간산책 하기에는 겨울이 제격이랍니다.

봄에는 미추왕릉의 벚꽃과 대표적인 포토존의 목련, 그리고 산수유 꽃이 피고
여름에는 배롱나무 꽃과 초록잎의 숲이 우거집니다.
그리고 가을엔 후문쪽 단풍이 참 예쁘고요!

천마총만 부분 유료개방이지만 꼭 방문해보시길 바라요."
21,5.0,2024.01.11.,산책하기 너무 좋았어요
22,4.6,2024.01.04.,아이들 역사 체험하기 좋아요. 첨성대에서 천마총까지 한번에 보고옴
23,3.0,2023.12.24.,즐거운 시간을 보내고 왔습니다
24,4.5,2023.12.23.,
25,4.8,2023.12.15.,정말 이쁘고 넓습니다 주차는 힘들어요
26,4.2,2023.12.09.,
27,4.0,2023.12.09.,
28,4.2,2023.12.07.,"황남대총, 천마총, 미추왕릉이 있는 대릉원,벚꽃명소 포토존"
29,3.3,2023.11.25.,맑은 날 가면 사진도 잘 나오고 참 좋습니다.
30,5.0,2023.11.24.,
31,4.0,2023.11.24.,
32,5.0,2023.11.24.,
33,3.1,2023.11.23.,
34,4.1,2023.11.19.,
35,4.5,2023.11.17.,
36,4.3,2023.11.14.,어딜 둘러 봐도 예뻐용... 넓어서 산책하기도 넘 좋구용
37,4.7,2023.11.02.,
38,4.8,2023.10.29.,"초등학생때 갔던 수학여행이 생각났던 관광지였네요.

최고의 순간이었어요."
39,4.7,2023.10.28.,대릉원은 사계절 언제든 가도 좋은 곳이에요.
40,3.9,2023.10.24.,"입장은 무료입니다
잘 보존 된  곳 ᆢ
포토존은  대기줄이  길어서  포기 ᆢ
연인들 끼리 추억 만들기 좋은 곳 ᆢ
어느 곳  어느 각도에서  찍어도
멋진 배경이 되는  곳 ᆢ
먹거리  볼거리  산책  사진 ᆢ
모든 것이 되어 있는 곳 ᆢ"
41,4.7,2023.10.22.,
42,5.0,2023.10.21.,
43,4.5,2023.10.20.,
44,3.2,2023.10.19.,"경주 최대, 최고 규모의 무덤 단지
이 특이한 형태의 고분들이 어우러진 모습이 묘한 매력을 느끼게 함과 동시에 신라 문화에 대한 경외심을 불러옴.
대릉원 자체는 무료이나 원내 유명한 천마총은 유료.
한바퀴 산책하듯 돌아보기 좋은 곳이고
대릉원을 중심으로 서쪽은 황리단길, 동쪽은 돌담길인데
둘다 상반되는 매력이 있어 걷기 좋다."
45,4.7,2023.10.12.,좋은 추억만들기
46,5.0,2023.10.10.,깔끔한 주변환경이 너무 아름답습니다.
47,5.0,2023.10.01.,
48,4.5,2023.09.28.,
49,3.8,2023.09.27.,
50,4.4,2023.09.26.,너무 좋은데 포토존 맛집
51,2.6,2023.09.24.,20230924
52,4.1,2023.09.22.,올라가고싶었다...
53,3.3,2023.09.17.,경주의 아이덴티티.
54,4.0,2023.09.07.,"넓고 평일 낮엔 한적해요 !
천천히 산책하기 좋습니다"
55,3.8,2023.09.02.,"해가 질 무렵에 도착했다
뜨겁던 더위도 한발 물러서고 오키나와에서는 우리나라를 비켜가는 태풍이 올라오고 있었는데도 아줌마 셋이서 세시간반을 달려 간 곳
대릉원
감동과 환희가 ~~~~"
56,4.5,2023.09.01.,
57,4.5,2023.09.01.,날씨가 좋다면 꼭 대릉원 한바퀴 돌아주시는거 아시죠!!
58,5.0,2023.08.29.,커플사진찍기 너무 좋아요
59,3.8,2023.08.28.,날씨 좋을 때 왔으면 좋았을걸... 그래도 매우 예쁩니다. 산책하기 딱이에요.
60,3.8,2023.08.27.,
61,4.9,2023.08.26.,
62,4.5,2023.08.24.,역시 거대하다.
63,4.3,2023.08.23.,"무료로 입장할 수 있어서 좋았어요 ! 
볼 거리도 많고 사진찍을 공간도 많아요. 포토존은 줄이 항상 길어서 기다려야 합니다"
64,3.6,2023.08.18.,"공원이 깔끔하고 좋다.
내부에 천마총은 굳이 돈 낼 필요는 없을듯"
65,4.0,2023.08.18.,걷기 좋은데 길이 좀 복잡했다. 잔디에 들어가지 말라고 팻말도 있고 방송도 나오는데 들어가 사진 찍는 커플들 보기 좀 그랬다.
66,4.4,2023.08.16.,
67,4.0,2023.08.16.,
68,4.8,2023.08.15.,입장료도 무료이고 거닐기 엄청 좋아요
69,5.0,2023.08.11.,넓고 너~~~~무 좋음
70,5.0,2023.08.06.,혼자 머리식힐 때 경주가곤 하는데 좋아요..대릉원 입장료도 무료로 바뀌어서 더 좋습니다!
71,5.0,2023.08.06.,"여름이라 날씨가 덥고 모기가 많지만, 청량한 아늘 아래 사진맛집, 뷰맛집💫"
72,4.0,2023.08.04.,평일에 구경 가시면 편하게 즐길수 있어요
73,3.4,2023.08.01.,포토존 너무 이뻐서 줄 서서 잘 찍고왔어요!
74,4.0,2023.07.30.,
75,5.0,2023.07.27.,
76,5.0,2023.07.21.,
77,4.8,2023.07.11.,조용히 관람하고 싶었는데 시끄러웠어요.
78,3.9,2023.07.10.,
79,3.0,2023.07.10.,
80,4.4,2023.07.08.,
81,4.5,2023.07.06.,뷰가 예술이고 맑은날가면 인생사진건짐
82,4.7,2023.07.02.,경주시 서북쪽 노서동 일대에 자리 잡고 있는 신라의 무덤들로 현재 10여 기의 크고 작은 무덤이 남아있다. 
83,5.0,2023.06.23.,초록 초록 넘 좋다 산책하기 좋아요 🌳🌳🌳
84,3.4,2023.06.23.,포토존
85,4.3,2023.06.21.,
86,4.4,2023.06.18.,
87,3.3,2023.06.17.,되게 멋있고 고즈넉하니 예뻐요
88,4.5,2023.06.12.,시설도 깔끔하고 산책하기 좋아요:)
89,4.6,2023.06.11.,
90,5.0,2023.06.10.,대릉원 빛 축제
91,5.0,2023.06.10.,가족과 같이 한 여행 중 사진명소로 기억남습니다. 사진 정말 잘 나올 정도로 포토존이 많습니다.
92,4.3,2023.06.09.,"경주왔는데 한번은 가야지.
능이 멋있음"
93,3.5,2023.06.03.,"낮엔 못 가고 밤에 갔는데 사람 너무 많고 화장실 넘  멀고..아이들과 고생했네요..ㅜㅜ 
담에 오면 낮에 가보고 싶네요..밤엔 비추...
너무 사람 많아서 힘들었어요.."
94,4.5,2023.06.02.,날씨잘맞춰서 가세용 완전이뿜
95,3.0,2023.06.01.,
96,2.0,2023.05.29.,
97,4.1,2023.05.23.,230523일 경주여행 무료 입장기간 일주
98,4.1,2023.05.22.,"미디어아트 보러 저녁에 방문했어요. 행사기간이라 주차하기 너무 힘들었지만, 화려한 영상이 꽤 볼만했어요. 나중에 기회되면 그나마 한적할 평일 낮에도 한 번 와보고 싶네요."
99,3.8,2023.05.19.,야간에 가는걸 추천해요! 지금 입장료도 안받으니 꼭 한번 가보세요^^
100,4.9,2023.05.12.,
101,4.5,2023.05.11.,무료개방
102,4.0,2023.05.08.,대릉원 안에는 고즈넉하니 산책하기 좋은곳이지만 주변황리단길이 너무 핫해져서 평일에도 주차가 힘들고 통과하는것도 너무 힘들어서  가기 망설여지는포토존 곳이기도 해요
103,4.8,2023.05.06.,
104,3.2,2023.05.06.,"입장료가 있기는 하지만 저렴하고 시설관리가 나름 잘되어 있어서 한번 정도는 가볼만한 관광지.(두번 갈 필요는 없을듯)
안에 매점같은게 있으면 좋을것 같기는 한데 아무것도 없기 때문에 여름엔 음료수라도 사서 들어가는걸 추천함.
주차는 무료."
105,4.0,2023.05.05.,봄에 정말 예쁘다 포토존은 1시간 넘게 줄서야 함
106,3.7,2023.05.05.,
107,5.0,2023.05.04.,
108,4.3,2023.05.04.,벚꽃 쩜
109,5.0,2023.05.04.,
110,3.2,2023.05.04.,아침에 가면 좋은 대릉원! 하지만 아침에도 포토스팟은 뭄벼요
111,5.0,2023.05.03.,
112,4.3,2023.05.03.,"사진찍기 좋고 역사를 더 알 수 있어서 좋아요
길이 좀 미로같아서 지도를 몇개 더 놓으면 좋을 거 같아요"
113,4.7,2023.05.03.,
114,4.5,2023.05.03.,
115,5.0,2023.05.03.,
116,4.2,2023.05.03.,
117,3.9,2023.04.15.,산책코스로도 좋습니다. 입장료는 입구에서 표 구매하면서 내게 됩니다.
118,3.5,2023.04.12.,"역사도 알고 예쁜 사진도 찍고
걷기도 좋아요"
119,3.4,2023.04.10.,
120,4.9,2023.04.09.,
