,평점,날짜,후기
0,5.0,2024.04.24.,
1,3.8,2024.04.05.,영일만정자가  멋있어요
2,3.0,2024.04.05.,
3,5.0,2024.04.01.,
4,3.8,2024.03.21.,
5,4.6,2024.03.12.,주변에 놀 곳도 많고 갓길에 주차할 곳이 많아요
6,3.7,2024.02.17.,"바람쐬러 가기 좋고,바다가 멋져요."
7,4.1,2024.02.08.,갓길 주차 가능에 주차장도 여러곳에 있음 그럼에도차가 많긴하지만 그래도 갈만합니다!
8,5.0,2024.02.05.,
9,3.0,2024.01.24.,
10,4.7,2024.01.24.,
11,5.0,2024.01.23.,바람쐬러 가기좋아요
12,5.0,2024.01.23.,
13,3.9,2024.01.23.,
14,4.5,2024.01.21.,
15,4.2,2024.01.09.,
16,4.1,2024.01.02.,"자전거 도로 잘 되어있어서 자전거 드라이브 하기 좋은곳
다만 자전거 타다가 사람 충돌 주의"
17,4.6,2023.12.28.,한적하니 좋네요ㅎㅎ
18,4.1,2023.12.23.,가볼만 해요
19,3.5,2023.11.28.,
20,4.3,2023.11.26.,갈때마다 좋은곳!!!!!
21,4.7,2023.11.25.,
22,5.0,2023.11.23.,
23,5.0,2023.11.17.,일출명소 나들이
24,4.8,2023.11.02.,
25,4.0,2023.10.17.,일출명소 일출명소 물놀이 나들이
26,4.1,2023.10.16.,밤에 오는 것이 더 권장되는 곳.
27,3.2,2023.10.15.,"동해안치곤 물이 그리 맑지 않음
아마도 근처 산업단지의 영향이리라..
포항제철이 인근이라 공장뷰라는 독특한 특징도 있고
해변 주변에 갖가지 조형물들이 인상적임"
28,5.0,2023.10.11.,
29,4.5,2023.10.07.,"낭만 뒤@졌공,,!!"
30,4.4,2023.09.23.,따뜻한 여름에 다시 오고 싶은 곳.
31,2.6,2023.09.23.,20230922
32,2.8,2023.09.17.,
33,4.5,2023.09.14.,
34,5.0,2023.09.09.,"숙소도 너무 잘잡고 ❤️발렌타인 호텔 귯 !
가격도 착하고 ! 일단 바다가 보이는거이 굿 !
진짜 다 너무 완벽했어요 ㅎㅎ 바다물 너무 깨끗하고 
사람 구경도하고 ! ㅎㅎ 
나들이 물놀이 일출명소"
35,4.3,2023.09.08.,"모래도 곱고 힐링된 해수욕장이요~~~ 바닷바람 시원해
야경 주간 다 굳굳이에요"
36,4.9,2023.09.03.,
