,평점,날짜,후기
0,5.0,2024.04.27.,"무료 주차장도 넓고
벚꽃이 예뻤음
남자 둘이가서 별로 기쁘진 않았음"
1,2.1,2024.04.21.,몇번째 방문인지 카운트 할 수 없지만 변화가 잘 없네요.
2,3.0,2024.04.13.,"전체적으로 카페나 식당들은 분위기 있게 잘 되어있음.

길거리 음식은 그닥.
식당들 음식도 대부분 평범."
3,5.0,2024.04.13.,
4,4.6,2024.04.10.,경주황리단길은 모든 계절이 다 걷기 좋답니다😊 문화유적지부터 핫플까지 전부 즐길 수 있거든요.뭣보다 황리단길 벚꽃의 시작과 끝은 대릉원이구요🌸
5,3.7,2024.04.09.,
6,4.0,2024.04.04.,
7,5.0,2024.04.02.,
8,2.8,2024.04.01.,
9,4.2,2024.03.28.,
10,5.0,2024.03.27.,
11,4.7,2024.03.26.,
12,5.0,2024.03.23.,
13,3.9,2024.03.21.,
14,4.9,2024.03.17.,
15,4.4,2024.03.16.,경주에서 사람구경하고싶으면 여기가믄댐
16,4.3,2024.03.14.,
17,4.9,2024.03.14.,경주가면 꼭 가봐야하는 핫플레이스 먹거리 볼거리 너무ㅈ많아 좋아요ᆢ
18,3.6,2024.03.14.,걸으면서 즐기기 좋은곳.
19,4.5,2024.03.13.,
20,4.7,2024.03.11.,
21,5.0,2024.03.09.,
22,5.0,2024.03.05.,
23,3.1,2024.03.02.,잘다녀갑니다 감사합니다~~
24,4.0,2024.02.29.,
25,4.4,2024.02.29.,매번 오는 기분 상쾌한 곳입니다
26,4.3,2024.02.24.,젊은 사람들이 좋아할만큼 이쁜 곳 입니다. 음식값은 관광단지이다 보니 쬐금 있지만 갈볼만한 곳 입니다.
27,4.0,2024.02.20.,다시 가고 싶음. 넘 잼있었음
28,5.0,2024.02.20.,
29,4.3,2024.02.18.,사람 많아요. 십원빵 1개씩 입에 물고 있고요.
30,4.3,2024.02.15.,힙하다 힙해 ㅎㅎ
31,5.0,2024.02.14.,
32,4.8,2024.02.13.,
33,4.3,2024.02.10.,
34,3.7,2024.02.04.,
35,3.6,2024.02.02.,
36,5.0,2024.02.01.,
37,5.0,2024.01.28.,
38,4.5,2024.01.26.,"황리단길에서 밥먹고, 자전거 빌려서 타고, 카페 갔다오면 힐링 캬"
39,3.2,2024.01.26.,"사람들은 많지만 
군데군데 밥 먹을곳도 많고 
유명한 먹거리도 많아서 심심할때 가면 좋은곳"
40,4.9,2024.01.25.,주말엔  정말  사람 파도에  밀려서  가네요~~ㅠㅠ
41,5.0,2024.01.24.,차도 많고 사람도 엄청 많아서 길 다니기가 어려워요 ㅠ 황리단길 저녁 노을 질때 방문해보시면 진짜 이쁩니다 먹거리와 맛집도 많아서 꼭 다녀오세요!!!
42,4.0,2024.01.24.,
43,5.0,2024.01.23.,"여인 5명 황리단길 접수
즐겁게 놀다왔어요"
44,3.9,2024.01.23.,
45,5.0,2024.01.22.,
46,4.2,2024.01.21.,"재밌었어요 자잔한거 볼 것도 많고, 군것질 할 것도 많네요 :) 데뚜하기 딱 좋네요."
47,4.3,2024.01.20.,
48,4.0,2024.01.16.,
49,4.6,2024.01.13.,
50,4.7,2024.01.10.,
51,4.1,2024.01.08.,주변에 주차장이  너무 협소합니다 조금 멀어도 주차 할 곳이있으면 바로 주차하고 택시로 이동하는것도 좋을것 같습니다
52,4.0,2024.01.07.,
53,3.8,2024.01.03.,가게들이 많은 것을 제외하면 특별한 점이 있는지는 잘 모르겠다.
54,4.4,2023.12.31.,
55,4.4,2023.12.31.,
56,5.0,2023.12.28.,구경할거 많고 좋아용
57,3.3,2023.12.25.,이곳은 경주인가 동경인가...
58,5.0,2023.12.22.,
59,5.0,2023.12.20.,
60,5.0,2023.12.20.,경주 갈때마다 들리는 곳이지만 사람들이 너무 많아요
61,3.8,2023.12.19.,"경주의 황리단길 맛집 식당들이 대부분 일식집이네요.
전통 한식집도 거의 보이지 않고, 퓨전 한식집들은 대부분 밀키트나 데워서 내주는 스타일이라 많이 아쉽네요."
62,5.0,2023.12.10.,
63,4.2,2023.12.09.,
64,4.4,2023.12.08.,
65,5.0,2023.12.03.,"길, 가게, 분위기 전부 최고인 곳입이라 주기적으로 자주 방문하는 곳입니다"
66,4.1,2023.12.01.,"생각보단 뭐 별거없는듯 
시간내서 따로 갈곳은 아니고 
천마총 갔다 잠간 들렸음"
67,3.0,2023.11.25.,
68,5.0,2023.11.24.,
69,5.0,2023.11.24.,
70,4.1,2023.11.24.,
71,5.0,2023.11.22.,
72,3.8,2023.11.19.,높은 건물도 얼마없고 가을에 걸으며 이쁜 카페들 찾는 재미도 있고 맛집도 많아서 좋아유 😉
73,4.0,2023.11.15.,
74,3.2,2023.11.13.,흔한 짭리단길
75,5.0,2023.11.12.,
76,4.3,2023.11.07.,제한된 영역에 늘어선 저층 한옥들이 인상적. 넘쳐나는 인파와 주차란은 살짝 고민스러움. 식당보다는 찻집이 인상적이었어요.
77,5.0,2023.11.05.,
78,3.5,2023.11.05.,
79,4.8,2023.10.31.,주차가 너무 불편해요 ㅠㅠㅠㅠ 그거 빼면 만족합니당
80,4.7,2023.10.29.,
81,4.7,2023.10.28.,"황리단길은 유명한 장소지만 안 와본 분들은 와보시는거 추천해요. 한옥집들이 예쁘고 카페도, 식당도 많아요. 물론 주말에는 사람도 그만큼 많아요.."
82,5.0,2023.10.27.,
83,4.7,2023.10.26.,재밌게 놀다 갑니다
84,3.7,2023.10.26.,
85,4.0,2023.10.20.,"구경거리가 많음
한적한 평일에 오는 것이 좋았다"
86,3.0,2023.10.19.,
87,3.2,2023.10.19.,"이젠 망해버린 이태원 경리단길을 따라 명명한 황리단길(황남동이라..)이지만 경주에서 매우 hot한 거리임엔 틀림없다. 다양한 식당, 카페, 간식, 쇼핑상가가 길을 중심으로 양쪽에 즐비하고, 골목 안쪽으로도 한옥으로 지은 여러 매장들과 게스트하우스가 운치를 더 해 주는 곳. 그 만큼 다니는 차량과 사람이 많아서 시끌벅적함. 낮도 좋지만 야경이 특히 멋진 곳.
경주 왔으면 한번쯤 구경하는 것을 추천~"
88,2.5,2023.10.12.,
89,3.7,2023.10.08.,"사람 바글바글
상업적 느낌만 가득"
90,3.9,2023.10.07.,지역자체가 그냥 문화 유적지 최고
91,4.8,2023.10.03.,
92,3.1,2023.10.02.,"사람이랑 차가 너무 많고 일식집이 많아요
한식도 근본이 없습니다."
93,3.0,2023.10.02.,근본이 좀 없긴 하지만 익선동에 비하면 선녀입니다.
94,4.2,2023.10.02.,"경주시 황남동(황금이 많은 남쪽 마을) 소재의 옛 거리에 좁은 골목길, 정취적인 거리, 한옥거리, 천마총, 황남대총, 미추왕릉, 동부사적지, 맛집들, 천마총 돌담길, 금관총, 쪽샘의 고분군들과 황남빵, 경상북도교육청 발명교육관 (구 황남초등학교), 남부교회, 황남시장, 월정교, 첨성대, 월성 등 수많은 신라시대의 문화재가 인근에 산재한 곳으로 걸어서, 자전거 등으로 다니기 좋아요.
조선말기 사정, 앞사정, 뒷사정, 국당을 통틀어 사정이라 부른다.
신라고분을 황씨무덤이라고 부르고 있으며, 고분을 중심으로 남쪽에 있는 마을을 황남이라고 말한다.
황리단길(皇理團길, Hwangridan-gil)는 경상북도 경주시 사정동과 황남동에 위치한 좁은 도로이다. 낡은 옛건물에 한옥으로 생기며, 처음 길 이름은 황남동의 경리단길이라는 뜻에서 유래한다.
황리단길 플리마켓 등 이 유명하다.
2016년 이후 경주시의 상권이 황리단길로 쏠리면서 경주보문단지와 중부동의 상권이 쇠락하고 있으나, 황리단길이 위치한 황남동 일대는 젠트리피케이션 현상으로 원주민들이 이주하는 등의 문제가 발생하였으나, 지금은 우리나라에서 유일하게 자연적으로 영화촬영, 드라마촬영 장소로 기존 좁은거리가 상권으로 바뀌었습니다.
인근에 많은 문화유적이 있어서 더 좋아요. 일방통행 길이 많으니 확인하고, 오세요.
지금은 많은 관광객들이 주차장이 적은 편인데, 경주시에는 넓은 주차장을 조성하고자 토지 보상중에 있습니다."
95,5.0,2023.09.29.,
96,4.3,2023.09.28.,
97,3.4,2023.09.24.,평일 오전 11시에 방문했을때 사람도 많지 않고 좋았어요^^
98,5.0,2023.09.18.,
99,4.7,2023.09.17.,4번 정도 갔는데 맛있는거 먹으러 가기엔 굿굿
100,5.0,2023.09.16.,
101,3.7,2023.09.16.,"신라의 멋을 전혀느낄수없는 완전 일본풍~
외국인들은 신라가 일본속국인줄~"
102,3.8,2023.09.10.,
103,5.0,2023.09.09.,진짜 음식점이랑 중간중간 그림그려져 있는곳 뮨방구 다 옛날느낌 절대 서울에서는 느낄수없는 그런 ㅎㅎ 너무 좋았음 포토존 구웃
104,3.9,2023.09.09.,
105,5.0,2023.09.03.,
106,4.3,2023.08.29.,
107,4.0,2023.08.29.,
108,4.8,2023.08.29.,
109,3.5,2023.08.29.,카페 많코 거리뷰 좋은데 쓰레기들이 너저분.
110,3.8,2023.08.28.,...
111,4.0,2023.08.28.,
112,4.9,2023.08.28.,
113,4.8,2023.08.28.,
114,3.8,2023.08.27.,
115,3.9,2023.08.27.,길거리 음식 사먹기 좋은 거리. 주말엔 사람이 너무 많지만 경주오면 꼭가볼만한 곳. 십원빵 황남 옥수수는 저렴하고 맛도있어서 추천하는 간식임.
116,5.0,2023.08.20.,
117,4.5,2023.08.18.,"목요일 4시에 사람이 너무많다 
십원빵 카페 십원빵 카페 십원빵 맛집
거의 그런식이다"
118,5.0,2023.08.18.,It's a great place for walking: lots of coffee shops and fun snacks. Downside: it is usually very crowded.
119,5.0,2023.08.17.,황리단길.아니타카페 향밀
120,4.8,2023.08.15.,연휴 기간에 갔었는데 인파가 상당하더군요
121,4.7,2023.08.14.,"직선으로 쭈욱 가게들 많이 있어서 좋았어요. 길 걸어다니면서 먹을 간식거리들도 많고 예쁜 카페, 식당도 많았어요. 중간중간 구경할만한 소품샵도 꽤 있어서 재밌게 놀다왔습니다:)"
122,3.2,2023.08.14.,
123,2.9,2023.08.13.,
124,5.0,2023.08.13.,
125,5.0,2023.08.13.,
126,5.0,2023.08.11.,너무 이뻣던 공간이었어요. 날씨가 더워서 그렇지 커피맛도 좋았구 핫플이엇어요
127,3.1,2023.08.10.,
128,4.5,2023.08.10.,생각보다 볼거리 많고 맛집 많고 다시 가보고 싶은 곳입니다
129,5.0,2023.08.09.,경주볼거리먹거리 원톱
130,3.3,2023.08.07.,분위기 좋음. 꼭 가볼 만한 거리 임.
131,4.8,2023.08.07.,경주의 활력과 젊은 느낌을 느낄 수 있어요
132,5.0,2023.08.06.,
133,4.3,2023.08.06.,먹거리 많고 이뻐요
134,5.0,2023.08.06.,혼자 여행가기에도 좋은 곳입니다..!
135,3.7,2023.08.05.,
