,평점,날짜,후기
0,4.0,2024.04.14.,
1,3.6,2024.04.04.,
2,2.9,2024.03.12.,상당히 괜찮아요! 추천
3,3.5,2024.02.28.,"좁아서 금방 돔
비오는 날이나 겨울에 오는건 비추"
4,4.1,2024.02.11.,"광주에 식물원이 생긴 걸로 의미있다
건물은 작고 외부는 아직 겨울이라 정비가 많이 필요함
주차장 관련 표지판 정말정말 필요함!"
5,3.3,2023.12.27.,"올 때 마다 좋음
아직 정비할 곳이 많지만 깨끗하고 걷기 좋음."
6,5.0,2023.11.24.,
7,3.2,2023.11.11.,"임시 오픈인가요?

나무나 꽃 설명도 없고

오는길 안내 표지판도 없고...

볼거리도 없고

거제시 정글돔 보다 못하고

차량 통행로랑 보행도로 섞여있고

주차 안내 표지판도 없고

광역시 규모에 맞게 지어야 하는데 진짜 뭐가 없어요"
8,2.3,2023.11.10.,주차장이 넒다고 누가 그런데 그거믿고 갔다가 어리둥절.  .바로앞? 아님 밑에? 거기 놀이터같이 뛰노는 곳이던데 주차장 어디말하나 식물 에대해 잘모르고가도 이름보면 알아가기라도 할텐데 이름표는 없는게 80% 작은식물들이 대부분이라 휑~함 쉼터도 생각보다 적어서 덥고 비오는날 비추 번거롭더라도 모든식물엔 이름표 붙이세요 정비를떠나서 잎이 다떨어졌어도 이름도모르고 옴  식물원이 여기만있는것도 아닌데 한 3년뒤에나 다시가면 이포리들이 좀 있으려나? 분수도 종일 안나옴 계단타고 올라가면 출구는 하나... 엘베옆에 계단이 없음 오롯이 되돌아가는거 아니면 엘베기다려야함 유리 난간틈이 있어서 애들 발빠짐 조심하길  사람많을때. 방문비추 소각장이라 냄새가 나긴함 도시락은 못싸가겠음 매점같은것도 없고 자판기도 못본듯 시설은 깨끗하지만 지금 재방문은... 글쎄요 원예체험이라도 넣어야할듯 잔잔한 음악이라도 틀어주면 덜 휑하겠는데 개장한지 얼마안됐어도 급하게 개장하셨나 물소리도안나서(분수가 떨어지긴하는지 물은 있음) 여튼 너무 실망했음 입구도 행잉식물이있었지만 허전했음 ..많은사람이 불편을 감수할만큼 오게하려면 연구많이 하셔야겠음
9,4.4,2023.10.31.,"광주에도 이제서야?
수목원이 생겼다.
아직 정비중이지만 많이 알려지고 사람들이 많이 찾는 곳이 되면 좋겠다.
대중교통을 이용해서 다니는 공간이 되면 좋겠다
(지하철2호선과 버스를 이용)

광주에도 가깝게 가볼만한 곳중 하나가 되길ㅎㅎ"
10,5.0,2023.10.20.,
11,4.7,2023.05.04.,
12,4.2,2023.04.22.,많이 기대됩니다!
13,4.4,2022.07.13.,
14,4.5,2022.05.15.,저도 기다리고 있어요 시민들의 좋은 쉼터가 되면 좋겠어요
15,5.0,2022.03.25.,"기대하고 있어요
늦어져도 좋아요. 잘 조성되길 바라요"
16,5.0,2022.03.19.,공사중이던데 좀 늦더라도 잘 만들어지길 바람
17,1.2,2021.05.12.,
18,5.0,2021.04.26.,
19,3.5,2021.02.27.,저도 기대합니다.
20,3.0,2021.02.27.,기대합니다
