,평점,날짜,후기
0,4.7,2024.04.28.,"리프트는 나무 숲 터널을 지나가니 좋음, 그 다음이 문제..."
1,4.4,2024.04.17.,"광주 놀만한 곳이 있을까... 그나마 여기...?
리프트 엄청 오래되서 스릴 넘친다.
이케아 코스트코 하나 없는 광주.."
2,4.8,2024.01.23.,
3,1.9,2023.11.04.,재밌지만 시설은 매우 불안정
4,3.4,2023.10.18.,전체적으로 시설이 너무 낙후되었다. 리프트는 상당히 여유롭게 즐길수 있지만 지퍼 없는 주머니나 귀중품 소지 유의하지 않으면 지상으로 낙하 분실 위험이 있다. 모노 레일은 구간이 너무 짧고 너무너무 장비가 오래되어서 조금 무섭다. 하지만 은근히 스릴있고 주변 경관으로 보상 받는다. 재미는 있다.
5,2.4,2023.10.02.,리프트까지는 좋은데 모노레일은 거의 후회함
6,4.5,2023.09.10.,"모노레일
좋습니다~~~ 하늘색"
7,4.9,2023.08.29.,
8,5.0,2023.05.13.,
9,5.0,2023.05.13.,
10,4.6,2023.05.04.,"택시기사님 봄 꽃만개 때나 가을 단풍질때
풍경이 좋아 많이들오신다고
초여름즈음 가니 푸릇푸릇하고 피톤치드되어서
오히려 더 좋았고
리프트탈때 모자조심
떨어뜨리면 주울수없음"
11,3.6,2023.02.26.,시설이 쌍팔년도임. 잘 개선하면 볼거리 좋은 경치가 있음
12,3.2,2023.02.06.,미흡한 안전장치. 체계적이지 않은 운영방식. 느린 배차
13,4.2,2023.02.01.,
14,2.4,2022.10.14.,광주는 여행오지마세요 뭐좀 물어보면 한숨쉬는게 특기인듯 한숨겁나쉬면서 설명하기도 귀찮나봄 지들돈버는건데
15,3.7,2022.09.03.,모노레일이 너무 덜컹거려서 신변의 위협이 느껴짐
16,3.4,2022.08.15.,"리프트는 대기 없이 탈수있음
모노레일은 1시간 30분 기다림
가을에는 2시간 넘게 기다린다고 함"
17,3.3,2022.08.12.,"잘 다녀왔는데 아랫분들 리뷰 보다보니 안전이 좀 걱정되는군요. (모노레일)
리프트는 낮게 가다가 후반에 쭈욱 올라가는데 재밌습니다."
18,4.3,2022.06.04.,"어쩐지 사람이 없더라니... 5월중순까지 연장!

(+) 수정 (22.6.4)

6.1일부터 리프트랑 모노레일 정상운영한대여"
19,5.0,2022.06.02.,"무등산의 절경을 등산이 아닌 다른방법으로 보고싶다면 모노레일을 적극 추천한다
케이블카가 급경사여서 심장이 쫄깃하고 모노레일의 삐걱거리는 소리가 무섭지만 이렇게 멋진곳에서 광주 모습을 한번에 볼수있다면 두번도 더탈수있다
(여름엔 너무 한낮에 타면 타죽을수있음/ 케이블카에서 내려 모노레일 타기전까지 step3 기다려야함)"
20,4.4,2022.03.16.,"찾아왔는데 업그레이드랑 조명설치작업으로 3월 말까지 안한다고함...
어디에도 안내는 찾아볼수없음
아쉬움 한바가지 얻고 그냥돌아감"
21,5.0,2022.02.13.,"I had a really nice time there. 17000₩ for lift and the monorail and I definitely enjoyed it. 
If you’re in the area it’s worth a visit."
22,2.7,2021.12.23.,모노레일 직원 싸가지가없음
23,4.1,2021.10.09.,리프트 개무서움.
24,3.8,2021.05.30.,"생명의 위협을 느낌. 손에서 땀났음
리프트는 탈만한데 모노레일은 진짜 위험해보임.."
25,3.0,2020.10.16.,"노후화되어 있어서 안전이 심히 걱정돼요 
기사보면 실제로 사고도..
가격도 시설에 비해 비싸고 화장실이 없어서 불편해요"
26,3.9,2020.10.12.,전망은 좋음. 하지만 시설이 노후되어서 안전이 걱정됨. 특히 모노레일은 정상에서 운행이라 상당히 걱정됨. 심지어 안전벨트가 고장나 있는것도 있었음. 리프트 타고 올라가서 화장실도 없음. 주변길도 정비가 안되어 있고 팔각정도 폐가 수준임. 관리 자체를 안하고 돈만 벌려하는듯함.
27,5.0,2020.08.19.,
28,3.7,2020.08.18.,리프트 타고 올라가는 길이 조용하고 선선해서 좋았고 꼭대기에서 본 광주시내 뷰도 굿! 모노레일은 느린데 아슬아슬해서 스릴있네요 ㅋㅋ
29,4.1,2020.08.16.,
30,3.7,2020.08.04.,레트로한 리프트와 모노레일. 21세기에 만나는 20세기의 추억. 특히 모노레일에서 보는 광주 전경이 좋다.
31,2.8,2020.06.29.,별 하나도 아까워요. 이걸 왜 운영하는지.. 운영하려면 제대로 시설점검을 하길바래요. 전망대도 그렇고..에휴. 비싼돈주고 탔다가 후회막심 ㅜㅜㅜ
32,4.5,2020.04.30.,"리프트+모노레일 왕복17.0
왠만하면 지대로된 케블카 하나 놔라"
33,3.1,2019.02.21.,
34,3.3,2018.10.24.,"2018.10.21 마님과
한번쯤 재미로"
