,평점,날짜,후기
0,2.9,2024.03.12.,"물 빼 놓으면 진짜 별볼일 없지만
물차 있고 벚꽃피면 볼만해요"
1,4.3,2024.01.22.,"주변에 살면 운동하러 가기 좋은 곳
지금은 공사중이라 볼게 없음"
2,4.3,2023.12.10.,
3,3.5,2023.12.01.,지하철 공사로 주변 경관이 많이 훼손됐어요
4,2.0,2023.09.26.,
5,3.3,2023.09.05.,
6,3.3,2023.08.05.,봄 벚꽃은 볼만...여름 연꽃은 별로...공사 다 하면
7,3.8,2023.07.23.,뷰가 멋져요
8,4.4,2023.07.22.,"봄나들이는 무슨... 공사때문에 진짜 별로였어요
제주도에서 살다와서 그럴수도;;"
9,3.8,2023.07.05.,
10,4.3,2023.07.05.,지하철 공사 전에는 나름 예뻤던 곳인데 많이 아쉽네요
11,4.7,2023.05.23.,
12,5.0,2023.05.09.,
13,3.1,2023.03.19.,공사중이라 볼만한게 없습니다. 물도 가뭄이라 그런지 차있지 않네요.
14,4.9,2021.09.17.,호수 가운데 중앙섬을 만들어 들어갈 수 있고 벚꽃이 예쁘게 피는 곳이라 정말 좋은 곳임. 지금은 지하철 공사한다고 호수에 물이 없고 중앙섬도 못 들어가고 호수 대부분이 공사중.. 빨리 공사가 끝나서 아름다운 저수지로 다시 돌아왔으면 좋겠음.
15,5.0,2021.09.10.,야경이 너무 예쁜곳
16,3.9,2021.06.07.,벚꽃명소
17,4.4,2021.04.12.,
18,4.4,2020.10.03.,봄에 다시 오고싶은곳
19,4.6,2020.05.19.,너무 좋음
20,3.8,2019.03.31.,예쁜 벛꽃을 봤어용:)
21,3.9,2019.03.30.,벚꽃철 사람몰림ㄷㄷㄷ 주의하셈
22,3.1,2018.10.01.,
23,3.5,2017.03.20.,"ℹ 일제 강점기 초기에는 상무대와 민력동의 논에 물을 대는 역활을 했던 곳.

✌ 지금은 연인들의 데이트 코스. 많은 사람들의 산책 코스로 사랑을 받는 곳.

✌ 봄엔 아름다운 벚꽂 길을 이루고 음악 분수. 야외 공연 등 다양한 문화 행사도 볼 수 있다.

( 사진 - 운천저수지 전경 )"
