,평점,날짜,후기
0,3.3,2024.03.04.,높으니까 뷰는 좋네요 근데 전시가 좀 아쉬워요 규모가 너무작아서 30분정도?면 다봄..ㅎ
1,4.4,2024.01.17.,점점 짓고 있는 아파트가 타워를 막고있네..
2,4.1,2023.12.16.,
3,5.0,2023.11.24.,83타워 전망대 야경장소가 제일 좋다
4,4.5,2023.09.25.,"폐장전 갔더니 직원이 없어 그냥 가봤네요
입장료 낼 정도는 그닥.."
5,4.1,2023.08.17.,Beautiful view !!!! A little bit too pricey
6,4.4,2023.07.16.,위쪽에서 2번째는 갈수없어3점. 83층에도 통제라서 2점.
7,3.4,2023.06.04.,데이트코스
8,4.7,2023.05.19.,이뻤어요
9,5.0,2023.03.02.,
10,4.7,2022.12.22.,다시 가고싶음..
11,4.3,2022.11.28.,
12,3.2,2022.11.16.,
13,3.2,2022.10.09.,낮에 가도 좋은곳
14,5.0,2022.08.05.,
15,4.6,2022.07.30.,무척이나 더운 날이었지만 대구를 한눈에 담을 수 있는 좋은 시간이었어요~
16,4.4,2022.05.22.,불꽃놀이 정말 최고에요!!
17,3.1,2022.05.18.,"83타워까지 가는 길이 너무 힘들어요 자동차 가지고 오시는게 좋을 거에요
대구 경치를 한눈에 볼 수 있어서 좋아요"
18,5.0,2022.01.25.,
19,4.3,2021.10.19.,뷰가 좋아요ㅎㅎ
20,2.0,2021.10.13.,
21,5.0,2021.07.05.,
22,2.8,2020.12.07.,"음식이 맛있진않고 특이함 분위기 내기엔 좋아서 특별한날 갈만함
사장이 골동품 모으는게 취미라 그런지 전시해놓은게 많아서 재밌음"
23,4.0,2020.05.16.,주차편리.  깔끔한 식당.
24,1.5,2020.01.19.,"전시회 매표소 직원은 매우 친절했습니다.
편의시설이 너무 별로임 안내가 적어서 바가지를 너무 많이 씌웁니다. 여기 올 바에는 남산타워 가는게 훨씬 이득임.
전시회 아니였으면 굳이 올 필요 없을것 같습니다. 그냥 웬만하면 오지 마세요."
25,4.0,2019.06.08.,
26,3.6,2019.05.31.,"이랜드 입장 티켓 하우스 직원, 83 전망대 티켓박스 직원 이 좀 불친절했음.

전망대 자체는 그럭저럭이나, 퇴실 경로가 거지 같음."
27,4.5,2019.05.13.,"주차료3.0 (30분내출차시무료)
전망대10.0"
28,4.4,2019.02.04.,
29,4.0,2019.02.01.,
30,4.8,2018.10.29.,먹을거?.
31,3.3,2018.10.13.,
32,4.1,2018.08.09.,
33,3.5,2018.02.16.,
34,3.7,2017.12.31.,바이크는 출입안된다고 주차요원이 막는데 이유가 사람들 위험하단다 차는 위험하지 않나벼? 얼척없네요 가족외식 참석하러갔다가  돌아갑니다 덕분에 연말행사 더럽게 끝나네요 곧 차종도 따지겠네요 앞으로도 쭉 손님가려 받으시길 바랍니다 주차요원 넘나리 불친철함
35,3.7,2016.03.11.,"대구 야경이 한눈에..
우방타워가
83타워로 새롭게 단장했어요."
