,평점,날짜,후기
0,4.2,2024.04.30.,👍👍👍
1,4.2,2024.04.23.,"시간이 붕 떠서 방문했는데, 저는 그다지 매력을 느끼지 못했습니다."
2,4.4,2024.04.21.,
3,3.5,2024.03.08.,"굳
사진찍기좋음"
4,4.8,2024.02.23.,
5,4.8,2023.09.18.,
6,3.8,2023.08.30.,대구오면 한번쯤은 가보셔도 될듯합니다. 김광석이라는 가수를 진짜 그리는 길같은데 이것저것 벽화도 있고 소소한 볼거리도 많고 좋았습니다
7,4.9,2023.07.04.,5월에 김광석 거리는 장미로 가득해집니다.
8,4.6,2023.05.21.,"테스트
♪♪♩♪ ♪♪♩~ ♪♪♪♪♪♬♬"
9,4.5,2023.05.15.,
10,3.3,2023.05.09.,
11,5.0,2023.04.18.,여기는 돌아가신 김광석님의 동상등이 있어 김광석님을 뵈는것 같고 지루할줄알았는데 생각보다 많아 즐거웠던것 같다
12,4.6,2023.04.16.,김광석의 음악이 좀 더 나오는 거리였으면 더 좋지 않았을까.. 거리에서 오락실 소리가 울려퍼지는건 거리의 취지를 망치는 기분이었다.
13,5.0,2023.03.24.,제가 대구에 처음 온 게 2013년인데 그때 저는 한국말을 하나도 몰랐는데 김광석씨의 노래에 감동받아서 좋아하게 됐어요. We miss him.
14,3.7,2023.01.29.,
15,4.2,2023.01.22.,길이 좁아서 그렇지 나름대로 괜찮았어요~
16,3.2,2022.11.15.,
17,5.0,2022.11.14.,
18,3.2,2022.11.01.,산책하기 좋았다
19,4.5,2022.10.21.,"대구에 왔으면 한번은 가야할곳
벽화도 이쁘고 날 맑은날오시면 뷰가 괜찮아요"
20,4.8,2022.10.03.,"몇년 전이랑 바낀게 없지만 그래도 그 추억은 그대로 남아 있어 좋았다!

또한 10/9일에 축제한다."
21,3.7,2022.09.11.,몇년만의 재방문. 상점만 더 많아지고 볼거리는 그대로
22,4.7,2022.06.20.,볼 게 많은 건 아니지만 김광석을 좋아하고 벽화 느낌 좋아하신다면 가볼만...! 여행 왔으니 한 번은...!!!
23,1.9,2022.03.25.,볼거 없어요
24,4.5,2022.02.16.,그냥 거리
25,4.6,2022.01.28.,"진정한 예술가, 그리운 김광석을 그리는 명소"
26,3.7,2021.12.21.,
27,3.0,2021.10.16.,
28,3.8,2021.09.26.,
29,3.3,2021.07.28.,대구에 볼것 참 없네요..이런것 만들어놓고 까페천지..
30,4.1,2021.07.12.,"김광석 팬이라면..꼭 가야 하는 곳
팬이 아니어도 가볼만한 곳"
31,4.4,2021.06.13.,생각보다 넓지 않음.
32,4.4,2021.06.01.,
33,5.0,2021.04.18.,
34,4.1,2021.03.28.,
35,4.2,2021.03.25.,
36,4.0,2020.12.04.,너무 좋음
37,5.0,2020.10.21.,
38,4.6,2020.07.05.,의외로 길이 짧았는데 사진스폿도 많고 좋았어요~~~
39,2.0,2020.04.22.,ㅁ
40,5.0,2020.04.08.,P p l L mm mom m mom
41,2.9,2020.02.13.,
42,3.8,2020.01.22.,생각보다 골목이 좁았어요..
43,3.9,2019.11.25.,
44,3.9,2019.10.20.,대구여행 필수코스!
45,4.0,2019.06.18.,"‘김광석 다시 그리기’길 입구에는 음유 시인이며 ‘영원한 가객’으로 불리는 싱어송라이터 故 김광석의 동상이 다리를 꼬고 기타를 치며 읊조리듯 노래하는 그의 동상 앞에는 토요일 아침 시간인데도 불구하고 많은 분들이 찾아와 조용히 거닐며 사진을 찍으려는 사람들로 북적인다. 김광석의 노래는 시간이 흐를수록 우리들 가슴속에서 빛나는 별이 되어 반짝인다. 창작을 통해 태어난 길, 김광석 다시 그리기 길은 故 김광석을 그리워(Miss) 하는 길이기도 하면서 어둡고 슬럼화되어 있던 공간을 다시 그린(Draw) 문화 예술거리이기도 하다."
46,4.7,2019.06.10.,
47,3.9,2019.03.11.,"군것질하면서 데이트하기 좋은 곳
너무 관광지화되서 개취는 아니지만 
사진찍으면서 먹고 놀며 시간 보내기는 딱임"
48,4.8,2019.02.26.,
49,3.1,2019.02.21.,
50,4.6,2018.11.21.,
51,3.6,2018.10.09.,
52,3.5,2018.07.16.,좋아요
53,4.1,2018.05.09.,
54,4.0,2018.05.08.,
55,4.8,2018.04.10.,キムグァンソク通りめっちゃいいです！
56,3.5,2018.02.18.,"좁은 골목이라서
사진 찍으려면
지나가던 사람 대부분 
가는길 멈추고 기다리며 구경함
사진찍는거 끝나면 지나감
오짱 존맛 , 커피명가 먹을만함"
57,3.9,2018.02.11.,
58,3.9,2017.10.21.,
59,3.3,2017.10.05.,"대구에 온다면 함 가볼만함.
크게볼거는 없지만 왔다갔다는데 의의를 둠.
시장 문열때 가면 좀 나을듯."
60,3.1,2016.03.13.,
61,3.7,2016.03.11.,"김광석 다시 그리기길
나름 괜찮은...
추억만들기에 부족함이 없다."
