,평점,날짜,후기
0,4.2,2024.04.30.,예전 우방타원랜드였을때 갔을때가 생각나네요🙂🙂
1,4.9,2024.04.26.,"벚꽃 구경 하고 들려서 여자친구랑 놀았는데~~
둘이서 너무 재밌게 놀았어요!!!!! 
완전 대만족~~"
2,4.9,2024.04.26.,
3,4.0,2024.04.25.,너무 힘드네요 애들과함께 하려니 벌써부터 더운데 줄서는곳에 그늘막이라도 설치해주세요 게다리다 햇빛때문에 쓰러지겠오요 그리고 퍼레이드 너무 짧네요
4,4.3,2024.04.17.,
5,5.0,2024.04.17.,너무 잘놀았어요 7시간동안 ㅜㅜ
6,5.0,2024.04.15.,아이들 키울때 가보고  중년에 친구들과  가보니 추억돋고 새로워서 신나는 동심으로 돌아간기분이네요
7,5.0,2024.04.14.,아이 데리고 가볍게 다녀오기 좋아요 타 놀이공원에 비해 가격대도 저렴하고 이벤트도 많이해서 좋아요♡
8,5.0,2024.04.13.,
9,3.7,2024.04.11.,
10,5.0,2024.04.09.,처음 가본 이월드라 기대를 했는데 생각보다 너무 좋아서 다시 방문할꺼같아요
11,5.0,2024.04.08.,
12,5.0,2024.04.04.,"카멜백이 유명한 곳이에요

tip! 탈 때 왼쪽으로 타야 안전해요
오른쪽은 내려갈 때 두꺼운 나뭇가지 있어서 키 큰 사람은 머리 치일 수 있어서 위험합니다
키 큰 사람은 왼쪽으로 타야 좋아요:)"
13,5.0,2024.04.02.,
14,5.0,2024.04.02.,4/1일에 방문했는데 벚꽃이 거의 만개여서 너무 예쁘더라구요~ 월요일이라 벚꽃로드 포토존 전부 다 여유롭게 찍고 놀이기구도 많이 타고 왔어요! 주말은 너무 붐빈다고해서 연차쓰고 평일에 간건데 만족합니다!
15,4.7,2024.03.28.,좋아요 변함없이 연간 회원으로 달리고 있습니다^^
16,4.4,2024.03.24.,"꽃 있다더니 꽃이 별로 없어서 실망 .. ㅠㅠ
하지만 주말이었는데도 사람이 그다지 많지 않아서 좋았다
길이 예쁘게 잘 꾸며져 있어서 여기저기 걸어다니며 사진을 많이 찍었다"
17,3.2,2024.03.10.,"급식들아 줄스고 들어가라 
바이킹 디스코 팡팡 같은거 보면 줄도안스고 울타리 픽픽넘어가노
한두명이면 잡아서 ○○○○서 줄스라고 안하겠는데
10명 20명씩 그○○○○ 어이가없다.
급식들이 개념이 많이 없네"
18,5.0,2024.03.06.,
19,4.5,2024.03.03.,
20,4.4,2024.03.01.,
21,3.4,2024.03.01.,"왜가는지 모르겠어요

재미도없고 운휴인게 1/3이고

주차하고 정확하게 1시간54분만에 나왔습니다."
22,4.0,2024.02.24.,
23,5.0,2024.02.24.,
24,5.0,2024.02.04.,
25,5.0,2024.01.23.,
26,1.2,2024.01.09.,여기 왜 가지?
27,4.4,2023.12.31.,
28,3.8,2023.12.29.,"불꽃축제보러 방문했는데 사람이 너무 많고
그랬음"
29,4.8,2023.12.29.,
30,4.3,2023.12.26.,
31,5.0,2023.12.24.,"특별한날은 주차공간없으니 주의!
너무 좋았어요 다음에 또갈 생각!"
32,5.0,2023.12.09.,"평일 야간에 가면 줄도 오래 안 기다리고 놀이기구 맘껏 탈 수 있어서 좋아요🫶
크리스마스 분위기도 나고 야경이 참 예뻐요🎅🏻❤️"
33,3.9,2023.12.08.,
34,4.5,2023.11.26.,
35,5.0,2023.11.23.,
36,5.0,2023.11.22.,"부메랑,카멜백는 너무 꿀잼이에요"
37,4.8,2023.10.30.,재미있는 놀이기구가 많고 볼거리도 많아요
38,3.9,2023.10.30.,"사람이 너무 많아서 놀이기구 하나도 못탐 

뭐하나탈려면 기본 대기시간이 2시간이였음 
경주월드가는게 나을듯"
