,평점,날짜,후기
0,4.1,2024.04.08.,"밤에 가면 예쁠거같아요
별 기대없이 갔는데 생각보다 놀거리가 많아요"
1,3.8,2024.04.07.,"번화가에있는 작은 놀이공원
디스크오 짜릿했고 관람차안에 노래방기계있어서 일반 다른 관람차보다 지루하지 않고 재밌었어요!!"
2,3.1,2024.03.29.,"도심 속 놀이공원.
이용가격은 좀 비싼편이라 생각.

작은곳이라 기구는 많지 않으니 
잠깐  놀기에 좋음."
3,2.0,2024.03.05.,의사 완전히 돌파림
4,3.5,2024.03.02.,대구 동성로의 새로운 랜드마크인 듯
5,5.0,2024.02.22.,재밌어요
6,4.0,2024.02.20.,대구 갈때마다 구경하러 가는 곳
7,5.0,2024.02.15.,
8,4.8,2024.02.13.,좋아요.
9,5.0,2024.02.12.,
10,5.0,2024.02.08.,
11,5.0,2024.01.23.,
12,2.8,2024.01.20.,"두번다시 가고 싶지 않은곳
드롭슬라이드 일하시는분! 일하기 싫으면 관두면 되지 왜 기구타러 오는 손님한테. 틱틱거리고 물건 던지고 하는지 모르겠네요
돈받고 일하면. 돈값좀하세요
이런 알바 때문에 욕먹는겁니다
그런 마인드로 살다간 평생 알바만 합니다
너무 짜증나고 대구에 처음 가봤는데 대구에대한 이미지가 완전. 나빠지네요"
13,5.0,2024.01.13.,대관람차 노래방시설도 있는 관림차가 있다니!
14,4.7,2024.01.10.,
15,4.8,2023.12.31.,그냥 애기들만 즐기는 건 줄 알았는데 생각보다 무섭고 재미있었어요 ㅎㅎ 관람차는 쫌 돈 아깝다는 생각이 들었어여... 넘 공사장 뷰!!... 디스코?! 이게 진짜 넘넘 재미있어요!!!!!!!! 근데 벽에 얼굴 닿을 것만 같아서 거북목 완치 자세로 타야 해요
16,4.5,2023.12.15.,너무 더워요…
17,4.8,2023.12.02.,
18,4.8,2023.11.24.,
19,4.6,2023.11.16.,
20,4.0,2023.11.07.,"기대를 안하고 갔는데 생각보다 규모도 크고
특히 디스코, 관람차 경치가 좋고 무섭고 재밌음🎡
저는 Big5 티켓을 끊었지만 3개짜리 티켓사도 될 듯
나머지 기구들은 개인적으로 시시했어용"
21,4.1,2023.10.31.,밤에 뷰가 너무너무너무 예쁨
22,3.6,2023.10.25.,구경하러 들어갔는데 생각보다 보고 할게많고 뷰도 이쁩니다
23,4.2,2023.10.23.,
24,4.6,2023.09.15.,주차빼면 딱 좋음! 특히 1인 코인노래방 쵝오!
25,5.0,2023.09.15.,좋습니다!
