,평점,날짜,후기
0,4.0,2024.03.01.,"애들이 엄청 좋아하더라고요~
근데 남자사우나실에 있는 카운터보는직원진짜 불친절 수고하세요~했는데 인사도 안받아줌!어이없음~이런분들 고용하지마시길 바랍니다"
1,4.2,2024.01.27.,"주말에 다른 매장 예약때문에 이 건물 방문했는데
목욕탕 손님들때문에 주차타워 진짜 최악이네요. 차빼는데 1시간 넘게 기다림. 다신 안옵니다ㅡㅡ"
2,1.0,2024.01.21.,직원분들이 솔직히 말하면 너무 싸가지 없어요. 사장이 문제여서 직원이 그런거일 수도있죠 ..
3,3.0,2024.01.21.,인원 제한 없이 무한으로 그냥 생각 없이 받고 더럽고 자리도 없으며 직원 응대 조차 안좋음 두번 다신 올 생각 없고 살면서 이렇게 돈 아까운 적은 처음이라고 생각함 무엇 하나 관리되는게 없을정도
4,3.8,2024.01.16.,
5,3.0,2024.01.01.,
6,5.0,2023.12.22.,
7,3.8,2023.12.16.,주말 비추 진짜 애들 시끄러움
8,2.8,2023.11.05.,여기가 키즈카페인지 모텔인지 모르겄음.. 다들 자리 맡아놔서 앉아있을데가 없음.. 돈 아까움.. 다신 안옴..
9,4.8,2023.10.25.,규모가 큽니다!😀😀^_^
10,4.8,2023.09.11.,"시설좋고~~~
주차좋고~~~"
11,4.0,2023.09.02.,
12,4.5,2023.08.06.,다 좋은데 와이파이가 없다시피 하네요 이건 넘 치명적인 단점입니다 이거빼곤 다 좋았어요
13,4.7,2023.08.01.,조금 좁아서 아쉽지만 시설은 좋아요
14,4.0,2023.07.18.,
15,4.6,2023.07.17.,"솔직히 일반 찜질방이랑 비슷한데 사우나가 더 많고 놀이방도 있어서 친구끼리 가면 재미있게 놀겠네요~
미역국이랑 떡볶이 세트는 꼭 먹어보세요 맛있습니다"
16,4.2,2023.05.04.,
17,4.3,2023.05.04.,
18,2.7,2023.03.23.,"공용빗,고데기없는 목욕탕은 처음이고
갑질하는손님있음 ㅋㅋㅋㅋ 잘씻고 기분좋게 탕에들어가는데 젖은머리보고 안씻고 들어왔다면서 시비걸던뎈ㅋㅋㅋ 머리 드라이기로 말리고 탕에 들어오래요 ㅋㅋㅋㅋㅋ기분잡치고 나옴"
19,3.7,2023.03.12.,더럽고 냄새나고 5층찜질방에서 할 사우나도 많이없고 안마의자도 옛날거라 진짜별로임 아프기만하고 의자 더러움 그리고 어린이들 아이들 잼민이들 다 있는데 상당히 시끄럽고 막 뛰어다님 정리가 하나도안된느낌 돈값 하나도못함. 6시간 끊고 늦으면 추가금내야한다는데 늦을리가없을듯
20,3.3,2023.03.12.,새벽 3시가 넘어서 모두 자고 있는데 왜 청소원이 이 시간에 청소를 해야 하는지 소리가 너무 시끄러워요 (⁠╥⁠﹏⁠╥⁠)
21,2.6,2023.01.29.,"와진짜 돈아까워서 왠만하면 뻐길려고 햇는데 도저히 못잇겟어서 도망쳐나옴. 
고스톱 카드를 하지를않나. 애들이 여기저기 뛰어다니는데 방치하지를 않나. 커플들은 죄다 뒤엉켜잇고 진짜 모텔관람하는줄. 자리때문에 욕을욕을 소리를 고래고래 질려가며 싸우지를않나. 거기찜질방은 물건잃어버린것도 아닌데 씨씨티비도 막보여주는듯. ㅋㅋㅋㅋ관리라고는 제한뿐이고 들어가서 씻고 두시간만에 정신이 나가서 열두시면 조용해지겟지 햇눈데 개뿔. 불만꺼졋지 더시끄럽고 아이분유탈려는데 온수는 안나오고 온수없냐니까 없다하면끝이곸ㅋ결론은 직원한테 얘기햇더니 직원이 자기한명뿐이라서 관리를 못한다고 합니다. ㅋㅋㅋㅋ뭔개같은 소린지. 그럼인원을제한하든지 관리를 하든지ㅋㅋ웃기지도 않는곳. 그리고 기본인안된 인간무리들. ㅉㅉ덕분에 새벽한시에 씻지도 못하고 도망쳐나옴. 정신버리고 돈버리고. 가지마세요 커플들은 거기갈돈으로 제발 모텔가세요"
22,4.3,2023.01.28.,"악중의 악 최악
주말에 사람 많은데 통제도 안해, 자리 맡은 사람들은 좋다고 걸어다니는곳까지 자리 침범해
1인실은 커플들 합체하기 직전이고 6시간 끊었는데
들어오는데만 해도 1시간 걸림 주차 줄서고, 매표소 줄서고, 근데 주차는 6시간만 무료 가능함
ㅋㅋㅋㅋㅋ 사람 터지는데 매표소에서는 계속 사람 집어넣음"
23,2.9,2023.01.28.,"주말, 휴일, 공휴일은 절대로 오지 마세요. 누워있을곳은 커녕 앉아있을 공간조차 없습니다.. 죄다 자리에 수건 핸드폰두고 자리 맞고딴데 가버립니다. 돈 벌겠다고 수용인원 제한 안 거는거 더럽습니다"
24,4.0,2023.01.28.,"명절에 간 내 잘못이라 생각하기엔
너무 직원 통제가 없다"
25,3.6,2023.01.23.,"수용인원 넘게 계속 사람이 들어옴
장판 인당 한개 안지킴
달라해도 뭐라함
안마의자 사용안하는데 다 누워있음
애새끼들 ㅈㄴ 뛰어다녀서 밟힌거 너무 많음
자리지키고 한참뒤에 아주 한참뒤에 나타남 
여성 남성 전용 토굴 안지킴
커플들 꽁냥꽁냥 1모텔인줄
밥은 맛있음"
