,평점,날짜,후기
0,4.6,2024.01.29.,
1,3.8,2023.10.29.,미취학 아동과 잠깐 산책하기 좋은 공간.
2,4.8,2023.10.29.,한번씩 이용하면 좋을 힐링장소.  대중교통편은 한시간에 한대 정도. 숲체원에서 운영하는 프로그램 하나는 참여해야 일박 가능. 숲을 이해하고 알리려는 취지로 만든 곳.  깔끔하고 숙박비가 생각보다 저렴해 놀라움.  평일. 주말. 성수기. 비수기가 가격 차가 있으니 참고하세요.
3,4.6,2023.09.13.,"숙박동은 시설이 깨끗합니다.
401호 이용하였는데
1층방1.거실 / 2층방1.거실
에어컨 방마다있고 거실 에어컨 따로있습니다.
티브이,씽크대 없고
냉장고,커피포트,전자렌지,드라이기,컵4개
있습니다.
1박2일에 석식,조식 신청했습니다.
드신분들 하시는 말씀이 맛이없다."
4,4.5,2023.09.01.,
5,4.4,2023.07.02.,"마음에 듬....
해설사님의 해설도 매우 꼼꼼하셨구여....
후덥지근한 날씨인데도 시원한 느낌도 들고여....."
6,4.2,2022.09.29.,조용하니 좋네요
7,3.1,2022.09.10.,
8,3.2,2022.09.02.,코로나 시국이라고 전부 될대로 되라고 내팽겨쳐 놨어도... 방문객 흙놀이는 좀 할 수 있도록 삽이라도 하나 갖다놓지... 무슨 돌덩이 같은 흙놀이터에 주방쓰레기같은 거 던져놓고... 아예 코로나 핑계로 기본적인 업무조차 소홀히 하는건지...
9,3.8,2022.08.28.,"개인적으로는 너무 좋았어요!
불친절도 못 느꼈고요.. 

다른 숲체원들하고 다르게
숙박하지 않고 당일 나들이로 온 사람들이 더 많은것 같아요 

어린아이들이 책 볼 수 있는 도서관도 있고요,

방안에 별도로 전자레인지. 커피포트. 컵 
드라이기 까지 있어서 만족했습니다!"
10,3.5,2022.08.28.,불친절오짐
11,3.2,2022.07.03.,"두꺼비, 산토끼도 보고 좋은 시간이었습니다
직원분들도 친철하십니다.
대전의 허파같은 곳입니다."
12,4.0,2021.11.13.,ㅇㅇ
13,1.5,2021.08.04.,"ㅈ♩♩♪♩
8만원"
14,5.0,2021.06.27.,산책+가벼운등산? 하기 좋아요. 숲에 들어온 느낌이 좋네요
15,5.0,2019.08.24.,숲속에서 좋은 시간이었습니다
