,평점,날짜,후기
0,5.0,2024.04.27.,"대전오월드는 동물원, 놀이기구가 있는 놀이공원이다."
1,5.0,2024.04.23.,
2,4.4,2024.04.19.,
3,3.5,2024.04.18.,갔는데 놀이기구가많아서 좋아요
4,2.9,2024.04.03.,
5,4.0,2024.03.21.,좋았어요. 서울대공원만은 못하지만 중부권 동물원 중에는 청주동물원보다 나은듯 싶네융
6,4.4,2024.03.20.,버드랜드 최고입니다
7,3.5,2024.03.08.,"동물불쌍
대전에선굳"
8,4.2,2024.03.04.,스릴있는 놀이기구 좋아하시는분은 절대 기대하고 가지마세요!! 그나마 자이로드롭 탈만하고 나머지 초등학생수준입니다!겨울엔 황량해서ㅠ봄에 꽃피면 갈만할듯해요
9,3.8,2024.03.03.,
10,5.0,2024.02.29.,
11,4.2,2024.02.10.,
12,2.4,2024.02.02.,
13,4.0,2024.01.23.,버드파크가 특히 좋았습니다.
14,3.5,2024.01.17.,
15,4.4,2023.12.19.,
16,5.0,2023.12.18.,"생각보다 엄청 엄청 넓었습니다
놀이기구는 생각보단 별로 놀건 없지만 몇개는 재미있어서 번갈아탈만 했습니다
놀이공원에서 버드랜드까지가 걸어가려면 엄청 멀어서 입장마감될까봐 엄청 뛰어가서 겨우 들어갔습니다 입장마감 30분전에는 출발하시길,,, 다음에 또 방문 할것같습니다"
17,5.0,2023.12.15.,뭔가 동물원가보고 싶었는데 못가봐서 아쉽지만 너무너무 잘즐기고 왔었어서 좋았어요 확실히 다른 놀이공원에 비해 줄이 적어서 빨리 빨리 많이 탔던 거 같아요~
18,4.0,2023.12.13.,야간개방 맛집
19,5.0,2023.12.02.,오월드 야간개장때 갔었는데 너무 아름답습니다!
20,4.8,2023.12.02.,
21,4.7,2023.12.01.,
22,4.3,2023.11.24.,아이들과놀기 딱 좋아요 크지도작지도않아요ㅁ
23,4.0,2023.11.24.,
24,4.2,2023.11.13.,"플라워랜드에 꽃이 화려하니까, 굉장히 있어 보입니다.~~^^"
25,4.8,2023.11.05.,"놀이기구 너무 좋아요. 
그런데 동물들이 너무 불쌍해요.. 독수리는 구석에서 계속 멍때리고 있고 침팬치는 너무 슬퍼보였어요."
26,2.9,2023.11.03.,"멸종 위기 야생 생물  맹금류  독수리
훨훨 날아야 할텐데
좁디 좁은 곳에 표정이 너무 슬프다
대형조류가 얼마나 답답할지  안타깝다

청주 동물원 야생동물 보호구역 (동물복지) 그리고  관리 잘 되면서 손에 꼽는 동물원 
외에는,  동물원은 없어지길 바란다

관리 안하는 동물원은 인간의 욕심일 뿐
동물에게 동물원이 필요할까요?"
27,4.8,2023.11.01.,
28,4.5,2023.10.28.,"사파리때문에 오긴 했는데 추석연휴라 사람이 사람이 ㅋㅋㅋ 이런날은 피하시길 
밥 먹을곳이 협소해 바로 맞은편 매점에서 널럴하게 먹었네요 
동물들도 많고 놀이기구랑 같이 있으니 좋았습니다"
29,2.9,2023.10.22.,"제 생각에 대전 세종에서 동물구경 하기에 가장 무난한 곳이에요~
올린 첫번째 사진은 토코왕부리새 사진으로 모형이 아닌 실제 사진이에요(움직이더라고요)

세번째 사진에서 자고있는 동물은 표범이고
네번째 사진과 다섯번째 사진은 재규어에요.
표범과 재규어의 차이점을 찾아보시면 재미있으실거에요^^
여섯번째 사진은 과일박쥐에요.
일곱번째 사진은 다람쥐 시클리드라는 물고기로
물고기 이름과 사진도 같이 첨부해요~"
30,3.6,2023.10.15.,"강추임더
한번 데이트 코스로도 굿"
31,3.5,2023.10.09.,지역 놀이동산 중에서는 가장 괜찮은 곳입니다. 놀이기구는 걍걍인데  버드랜드에서 앵무새랑 노는게 무척 즐겁고 동물원도 크기에 비해 매우 충실합니다. 사파리는 기다린거에 비해서는 평범해서 시간 아깝웠네요.
32,4.1,2023.10.08.,큰 기대 안하고 불꽃축제만 보러 갔는데 버드랜드 등 괜찮았습니다.
33,5.0,2023.10.07.,
34,2.0,2023.10.05.,"경주월드처럼 하드코어한 놀이기구
몇개 조성하면 사람 많이 몰릴것같아요"
35,5.0,2023.09.22.,
36,5.0,2023.09.13.,"국내 동물원 중 최고의 시설인 것 같아요. 가족끼리 비오는 날 놀러와서 사람들 눈치 하나 안보고 편안하게 놀다갑니다! 사자, 호랑이, 표범, 하이애나, 재규어, 코끼리, 기린, 한국늑대까지 다양하고 이제는 국내에서  보기 힘든 동물들을 볼 수 있어서 좋았습니다~ 놀이기구 보다 다양한 동식물등 볼거리를 원한다면 최고입니다. 가격도 저렴해요! 오랫동안 운영되었으면 하는 바램에서 글 남깁니다^^"
37,2.5,2023.09.13.,"솔직히 장비들 노후된게 많이 보였습니다
그거 말고는
가성비 괜찮은곳 같네요
많~~이 넓으니 편한 신발 신고가세요
토요일 불꽃놀이 강추~"
38,5.0,2023.09.10.,좋아요
39,4.5,2023.09.01.,"동물원도 좋지만 개인적으로 버드월드가 가장 인상 깊었음. 큰 새장에 들어가 직접 볼 수 있음. 
아이들과 또 방문 예정."
40,4.6,2023.08.28.,
41,4.8,2023.08.14.,"옆에 공원처럼 조성을 잘 해두어서 산책하기좋고
공연도 잘 봤습니다.
무엇보다 제휴되는 카드사가 많아서 저렴한 가격에 잘 놀다 왔어요."
42,4.1,2023.08.14.,"집에 가까이 이런곳이 있어서 좋습니다
아이들이 부담없이 가서 즐길수 있는곳이 에요~~~~"
43,4.7,2023.07.22.,
44,4.5,2023.07.19.,동물원이 너무 좋아요
45,4.7,2023.07.16.,동물원이 너무 좋아요
46,1.0,2023.07.08.,"역대 최악의 음식이다
왜?식당 하나싶다 
머리카락나오고 반찬은 성의없고 값은 비싸고  넘짜고 냄새가 이상하고  하여간   식당중에 최악이다"
47,3.5,2023.07.01.,"대전에 큰 동물원이 있어서 너무 좋네요
다만 경사가 심해서 좀 힘들긴 해요 ㅎㅎ"
48,2.9,2023.06.17.,동물들 많아요~~
49,4.0,2023.06.16.,"정말 넓긴해요.
동물원만봤을땐  나쁘지않은데  놀이기구는..캐스트분들이 너무 의욕없으셔서  그냥 그래요."
50,4.6,2023.06.01.,
51,3.2,2023.05.31.,비와서 짜증났었음
52,4.6,2023.05.28.,
53,2.0,2023.05.24.,좋아요
54,3.9,2023.05.21.,초등학생까지 놀만한 기구가 많고 좋아요. 그런데 음식은 맛없어요
55,5.0,2023.05.18.,아이들함게 다녀오기 좋아요
56,5.0,2023.05.17.,
57,3.2,2023.05.06.,아이와놀자
58,4.6,2023.05.05.,
59,5.0,2023.05.04.,
60,4.4,2023.05.03.,
61,3.7,2023.05.03.,
62,1.4,2023.04.24.,"자유이용권 금액에 비해 너무볼게 없고 탈게 없다.
에버랜드 사람 많을가봐 대체로 요기 가보자 해서 갔는데 너무 실망했다.  특히 사파리 너무 동물수가 적다. 호랑이 2마리.. 코끼리1 , 기린1 .. 너무 허접했다
만원 더주고 에버랜드 가는편이 좋았을것 같다. 잘못된 선택을했다. 아이들 자유 이용권을 구매해도 막상 놀이기구 몇개들은 돈주고 티켓을 구매해야 하는게 있다. 다시는 가지 않을것이다. 귀한 주말에 고생해 돈배린 느낌이다.  그리고 주차장에서 장사하시는 노인불들 ...핫도그, 핫바. 소떡등 파시는 분들  카드는 안되고 오로지 현금  계좌이체만 되면서 금액은 또 내 기준에 바가지다 . 모하나 좋은 추억이 없었던 곳이다."
63,4.1,2023.04.03.,동물 구경하기도 좋고 예쁘게 꾸며놓은 곳도 많아서 만족스러웠어요 들어가는 길에도 길이 벚꽃길이라 구경하면서 갈 수 있어서 좋았어요~
64,4.2,2023.03.02.,
65,3.9,2023.03.01.,"1. 아이들이 좋아해요
2. 동물체험하기 좋습니다
3. 주차장이 넓습니다"
66,3.4,2023.02.12.,가서밥부터먹었는데밥값만비싸고밥은맛이업습니다.
67,4.2,2023.02.08.,"230204 with baem
놀이기구는 어린이들 용이고
동물 보러 간다고 생각하면 좋습니다!
살다살다 홍학을 보는 일도 있네요
재밌었습니다ㅎㅎㅎ
네이버에서 입장료 구매 후 입장"
68,3.5,2023.02.02.,"나이트 까지 볼 사람들은 제2 주차장에 파킹하고 놀이기구, 동물원은 조금 걸어 내려가 보는 걸 추천합니다.
놀이기구는 성인은 기대하지마세요. 운휴도 많고 그닥 재미도 없습니다. 

사파리는 꼭!! 탈 수 있다면 운전석 바로 뒷좌석에 앉는 걸 추천합니다. 운전하시는 분이 계속 과자를 던지기 때문에 온갖 동물을 다 앞에서 볼 수 있어요. 운좋게 저희는 운전석 뒷쪽에서 봤습니다. 운전석 쪽 라인에 앉으세요.

간식이나 밥은…..ㅎㅎㅎㅎㅎㅎ…….그냥 뭐 딱 유원지 수준입니다."
69,4.7,2022.12.22.,굿!!
70,3.2,2022.12.07.,
71,5.0,2022.12.06.,
72,4.6,2022.12.02.,놀이기구도 많고 풍경도 이뻤었어요
73,5.0,2022.11.14.,
