,평점,날짜,후기
0,3.9,2024.04.25.,"산책로가 많아서 좋았음
공기도 좋고 물소리 새소리 좋음
돌탑은 별로 없음"
1,3.9,2024.04.01.,한국의 앙코르와트래서 가봤는데.... 생각보다 작고 소박함 여기저기 돌탑은 많은데 사진 찍을 수 있는 곳은 적음 새소리 물소리 자연 느끼며 천천히 산책하긴 좋은데 멀리서 찾아갈 정도의 관광지는 아님 정말 딱 이 구간 말고는 부모님 사진 찍을 곳 없음
2,4.4,2024.03.28.,
3,3.4,2024.02.28.,"캄보디아 돌탑 보러 왔어요
넓고 깨끗해요 
돌탑이 꽤 많아요
입구에서 좀더 올라 오시면 
캄보디아 사원 같은 돌탑들이 모여 있어요산책로"
4,4.9,2024.01.31.,
5,2.6,2024.01.18.,"요기 좋아요.
한번씩들 가보세요
추천합니다"
6,4.8,2024.01.01.,Nice place
7,4.9,2023.11.24.,
8,4.4,2023.11.24.,
9,3.0,2023.11.04.,sns에 많은 홍보가 되어있어 기대감을 안고 방문했으나 시기적으로 날파리와 모기가 많아 급히 나올수 밖에 없었음. 보다 내실있는 관리가 요구됩니다
10,3.7,2023.10.08.,최고
11,4.1,2023.09.09.,"이틀동안 방문했는데 연달아 무지개를 봤네요!!
계곡에서 개구리랑도 놀 수 있었구요 🐸🌈

자연 그대로 많이 유지된 계곡이라 좋았어요
(아이들도 가족분들도 많아서 보기도 좋았구요)
주차공간 넓고 여름엔 워터파크도 있다고 하네요
힐링하러 가는 장소로 추천입니다!"
12,4.5,2023.09.08.,"한국의 앙코르와트!!
산책하기 좋아요~
단풍이 물들면 더 이쁠듯~^^"
13,3.9,2023.09.04.,산책하기에 너무 좋은곳이예요
14,4.4,2023.08.07.,이색적인 분위기와 대전에서 거의 유일하게 볼 수 있는 얼음축제~~ 대중교통 이용도 편리함
15,4.2,2023.05.03.,"공기 좋고, 물 좋은 곳에서 캠핑 잘 하다 왔습니다!
밤에는 스폿라이트가 켜져서 더욱 예뻐요 :)"
16,5.0,2023.01.15.,친구들과 사진 찍으면서 구경하기 좋았어요
17,3.4,2023.01.01.,짚라인 운영 안해요 ㅜㅜ
18,1.9,2022.09.14.,놀러간다
19,3.3,2022.05.08.,
20,2.9,2022.05.05.,"그늘이 좋아요
벌래가 많아요
석탑이 멋지네요
포토존정도 크기입니다."
21,4.2,2022.01.19.,인스타보고 신기해서 가봤는데 이국적인 느낌나고 좋았어용 산책하기 좋고 사진 찍기 좋습니당
22,4.3,2022.01.05.,
23,4.7,2021.11.02.,아이들과 함께가기 좋은 곳
24,3.3,2021.05.23.,"관리 잘되어있습니다
관리하시는분들 훌륭하십니다~"
25,2.0,2021.05.01.,
26,4.0,2021.03.18.,
27,4.8,2021.03.06.,"주변 경관 넘 이국적이고 예뻐요!
주차공간도 넓고요!"
28,3.3,2021.01.30.,헛걸음
29,4.3,2021.01.11.,
30,4.2,2020.11.27.,단풍구경잘했어요!
31,4.1,2019.12.21.,편안한 산책로
