,평점,날짜,후기
0,5.0,2024.04.21.,자전거타고 가기 좋아요~♡
1,4.1,2024.04.21.,"메타세콰이어숲이 울창하여 공기도 맑고
가볍게 산책하기 좋습니다"
2,4.2,2024.04.21.,
3,4.3,2024.04.04.,
4,4.3,2024.03.21.,"40m 높이의 우량한 메타세쿼이아 숲!  처음 왔는데 좋으내요 여름 가을에 오면 좋을듯..바람많이 부는날엔 죽은 가지가 낙하할 수 있으니 조심해야 할듯,"
5,4.8,2024.03.20.,"속이 탁 트이는 풍경
가을에 갔다왔는데 단풍이 아주 예뻤어요
지금은 어떤 모습일지 궁금해요 또 가고 싶어요"
6,4.5,2024.03.01.,단풍명소
7,4.0,2024.03.01.,좋은 장소
8,4.0,2024.02.27.,
9,4.9,2024.02.19.,가을 명소 장태산 !! 대전 다녀올곳으로 대둔산과 함께 추천드려여
10,3.7,2024.02.10.,힐링하기 너무 좋은 곳
11,4.9,2024.01.31.,
12,4.8,2024.01.27.,
13,5.0,2024.01.04.,단풍명소 산책로 나들이 포토존
14,5.0,2024.01.02.,작지만  가보면 후회안하실듯합니다
15,5.0,2023.12.30.,
16,4.2,2023.12.28.,"대전 오면 성심당 말고 여길 와야 함
무조건 11월~12월 황금빛으로 물드는 시기 사람 적은 평일 새벽~오전에 와야 온전히 즐길 수 있음
메타세콰이어 나무숲이 울창하고 뷰 끝내 줌
다만 주말 방문 시 극악의 주차 웨이팅과 사람 떼거지와 사진동호회 사람들 때문에 경치 즐기기도 전에 짜증 날 수 있음"
17,3.4,2023.12.26.,"뷰가 정말 좋음.
메타세쿼이아 나무가 멋있으며
주변에 있는 씨앗호떡은 필히 드셔보시길^^"
18,3.4,2023.12.24.,유명하대서 갔는데 사람만 겁나 많고 딱히 왜 좋은질 모르겠더라구요.
19,4.0,2023.12.16.,"휴일엔 들어가기 너무 빡세내요.
그래도 입장하면 좋습니다."
20,4.3,2023.12.16.,"정말 추천합니다. 봄, 가을에 꼭 다시 가야겠어요"
21,4.2,2023.12.05.,
22,4.1,2023.12.04.,지금이에요!
23,5.0,2023.12.02.,장태산 뷰들이 아름답습니다. 가을철에 오시는것 추천요!
