,평점,날짜,후기
0,4.0,2024.04.26.,
1,4.3,2024.04.24.,"한밭수목원.. 짱크구 푸릇푸릇하니 짱 예뻐요^_^💚🍀 군데군데 정자가 있어 간단한 피크닉하기에도 좋고, 입장료도 내지 않았던 것 같아요:)
그래서 그런지 연인, 친구, 가족들끼리 놀러와 하하호호 행복하게 다니는 모습이 너무 좋았어용
다육이 온실 열대식물 온실 등등 테마별로 온실도 있어서 구경하는 재미가 쏠쏠
독특한 식물들 많이 볼 수 있었어요:)
엄마아빠들은 날조을때 애기들 데리구 꼬옥 가보샤요
대전에 간다면 다시 한 번 또 가고싶네요 ㅎㅎ"
2,4.4,2024.04.19.,대전 일정에 넣었는데 산책하기엔 좋아용
3,4.8,2024.04.18.,"무료로 이런 곳이 오픈되어 있는 게 엄청 좋네요
타지 사람인데 괜찮고 사람들도 많고 분위기도 좋고

언니랑 왔는데 날씨도 좋아서 그런지 행복했습니다
대전 이즈 유 💙"
4,4.3,2024.04.09.,
5,3.6,2024.04.07.,넓고 이쁘고 다양한 꽃들이 많아서 좋았어요~!🙂
6,3.9,2024.04.06.,집근처였으면 매일 갔다
7,5.0,2024.04.05.,
8,4.0,2024.03.25.,"대넓은 대지와 자전거, 걷기 좋은곳"
9,4.2,2024.03.23.,봄꽃전령사 매화 산수유 목련구경오세요 가벼운트레킹도좋아요
10,4.8,2024.02.10.,설연휴에 잠깐 들렀어요. 실내 수목원이랑 다육이 정원도 잘 봤어요. 아직 겨울이라 야외는 조용하지만 산책하기 좋았습니다.
11,5.0,2024.02.08.,
12,4.6,2024.01.28.,
13,4.0,2024.01.28.,대전에가면 바람쐬고 싶을때 여기가면 됩니다 산책하기 좋고 자전거 타기도 좋아요
14,4.0,2024.01.23.,
15,4.6,2024.01.23.,가을에 가서 꽃들이 별로 없었는데도 너무 즐겁게 놀고 왔어요~~!!
16,5.0,2024.01.23.,산책로 로 정말 좋아요.
17,4.9,2024.01.22.,"산책하기 괜찮고, 분위기 있음!!!"
18,5.0,2024.01.18.,자전거타기 좋아요👍
19,4.1,2024.01.12.,애들데리고산책하기좋습니다
20,3.7,2024.01.11.,
21,3.8,2024.01.06.,제험학습장소로좋아요
22,5.0,2024.01.02.,타슈 자전거 많아 찾아 타기 쉽고 공원 내 자전거 타고 놀기 좋게 되어있어요
23,4.1,2023.12.30.,"혼자 여행와서 대전 여기저기 다녔는데 한밭 수목원 너무 좋았어요. 겨울이라 나무랑 풀이 푸르르지는 않았는데 한바퀴 크게 돌면서 경치 구경하기 좋습니다. 전망대인가 올라가면 탁트인 도시 풍경을 볼 수 있어요 
열대식물원, 다육식물원은 겨울이여도 푸릇푸릇해서 예뻤어요~ 조금 멀어서 갈까말까 고민했는데 오길 너무 잘한거 같고 힐링하고 갑니다
입장료 무료인데 이렇게 넓고 식물 다양한 곳이 있다니 대전 시민분들 부럽네요"
24,3.0,2023.12.28.,
25,4.8,2023.12.23.,
26,4.1,2023.12.20.,
27,4.4,2023.12.16.,"집에서 자전거라이딩으로 가끔씩 가는데 젊은사람들이 잘오고 음악축제도 하는것 같습니다
최고에요"
28,4.0,2023.12.14.,주차도 편하고 너무 아기자기 아름다운 곳이에요. 잠시 쉬어가며 생각을 정리하기도 아이들과 소풍오기도 좋아보여요
29,5.0,2023.12.07.,
30,5.0,2023.11.29.,"좋네요~
도시속의 공원은 이런 느낌이죠~
주거지에서 접근하기도 좋구요~"
31,5.0,2023.11.24.,
32,4.0,2023.11.24.,
33,4.5,2023.11.16.,대전시민 분들이 가장 부러웠던 곳. 계절별로 달라지는 풍경도 느껴보고 싶다는 생각이 들어요.
34,3.0,2023.11.09.,"여기 완전 짱이예요~ 면적도 넓고 예쁜 식물들이 많았어요~ 봄, 초여름, 가을에 가면 아주 최고입니다 ㅎ.ㅎ 나중에 날이 따뜻할 때 다시 와야겠어요 🥰👍"
35,5.0,2023.11.07.,저희 아들이 좋아합니다 열대관 꼭 가보세요^^
36,4.7,2023.11.03.,힐링최적장소
37,4.1,2023.11.03.,"대전을 누가 노잼도시라고 했을까
그 사람은 한밭수목원를 몰라서 그랬을 것
정말 좋았습니다 최고
개인적으로 서원보다는 동원이 더 볼거리가 많고 재밌네요 열대관도 좋아요"
38,5.0,2023.10.27.,
39,4.9,2023.10.27.,
40,5.0,2023.10.23.,
41,4.0,2023.10.20.,대전에서 제일 좋았어요~
42,3.4,2023.10.16.,도심에서 휴식을 취하기 좋은 곳
43,3.4,2023.10.11.,
44,4.9,2023.10.07.,식물원 볼거리 많음
45,3.8,2023.09.27.,
46,4.1,2023.09.25.,"자연과 평화로움을 느끼기 좋은 공간
대전에 살고싶다는 생각이 들었음"
47,3.2,2023.09.19.,"좋습니다, 물어보면 친절히 설명도 해주시고. 맹그리브나무, 초코민트 보기힘든것을 봤습니다"
48,4.5,2023.09.14.,"넓고 평화롭고 아름다운 곳이었어요.
더워서 많이 둘러보진 못했지만 선선해지면 또 가고싶어요~"
49,4.1,2023.09.12.,
50,4.7,2023.08.29.,"밥먹고 산책하기 딱좋음!!!!저녁에 가면 갈때마다 대전 친구들 만날 수 있음 다들 사는 패턴이 똑같ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
근데 저녁에 어린이들은 자전거 탈때 위험 할 것 같아요~라이더들이 자전거 코스를 쌩쌩 엄청 즐기고 계심..ㅋㅋ"
51,4.9,2023.08.22.,"정말 넓은 수목원입니다. 미국 센트럴파크 느낌이었어요.ㅎㅎ 이렇게 좋은 곳을 무료로 운영하다니. 동측, 서측 정원으로 나누어졌는데 월요일엔 동측, 화요일엔 서측 정원이 휴장이어서 참고하고 이용해야 합니다. 무료여서 부담없이 산책할 수 있고 엑스포과학공원까지 연결되어 있어서 자주와도 질리지 않는 곳. 봄, 가을철 구경하기 딱 좋아!"
52,4.0,2023.08.22.,무료라 생각하면 너무 좋은곳이에요 5월에가면 장미도 볼 수 있는듯? 넓어요
53,3.2,2023.08.14.,
54,4.4,2023.08.14.,"둔산동 살 때 매일 저녁 산책했는데 산책코스로 정말 좋아요
여기는 낮에 와도 그늘이 많아 걷기 참 좋음
 동원은 꽃이 알록달록 예쁩니다 예전에 토끼 몇 마리가 잠시 살았었는데 추억.."
55,4.2,2023.08.11.,"꽃 시기에 가면 정말정말 예쁘고, 시즌 아닌 겨울에 가도 나름의 매력이 있음. 넓어서 산책하기도 좋음. 대전 왔을 때 성심당 다음으로 들리면 좋을 곳!"
56,4.2,2023.08.10.,
57,4.9,2023.08.04.,"좋아요. 주차가 ~
좋아요. 뷰어가 ~ 
좋아요. 모두가 ~"
58,4.0,2023.07.22.,
59,5.0,2023.07.22.,
60,4.7,2023.07.16.,
61,4.8,2023.07.08.,
62,5.0,2023.07.04.,
63,4.0,2023.06.26.,
64,4.1,2023.06.26.,
65,4.5,2023.06.25.,
66,3.2,2023.06.22.,대전 시민 좋겠다 다시 올게요
67,3.3,2023.06.22.,젠장 왜 우리집 앞이 아닌거냐아아
68,4.2,2023.06.19.,내부 깨끗하고 너무 예뻤음! 날씨 선선할때 산책오면 너무좋을듯
69,5.0,2023.06.18.,맨발걷기 좋아서 자전거팀 이끌고 지압자갈길 가끔 방문합니다^^
70,4.5,2023.06.15.,
71,4.9,2023.06.12.,"아름다운 곳이다
다만 그늘이 많이 없어서 여름엔 매우 더울 수 있다"
72,3.2,2023.06.11.,바람쐬기 좋은곳
73,5.0,2023.06.01.,
74,5.0,2023.05.31.,자전거라이딩. 좋아요 볼거리가 가득해요
75,4.0,2023.05.21.,
76,3.7,2023.05.20.,지금 장미가 많이 피어있어요. 주차하기도 좋아요. 여기저기 산책하기 좋게 되어있어요.
77,4.1,2023.05.20.,좋아요
78,4.5,2023.05.19.,
79,3.7,2023.05.13.,"지금 당장가세요
동원에 꽃이 가득하고 장미원도 넘 탐스럽게 장미가 피어있어요"
80,3.6,2023.05.12.,들어가서 구경할 전시관들도 많고 연인이나 아이들이랑 오면 좋겠어요!
81,4.1,2023.05.10.,
82,4.5,2023.05.07.,
83,3.3,2023.05.07.,"입장료 무료인데 시설 좋아요
튤립이 조금 색이 빠져있어서 아쉬웠다고 하네요 전 좋았는뎅"
84,4.5,2023.05.07.,처음 가봤는데 생각보다 크고 알차게 구성되어있어용 비오는 날 수목원 걷는 경험도 좋았어요. 5월 5일이라 그런지 주차비도 없어서 최고의 선택이었음
85,3.5,2023.05.05.,대전으로 놀러가면 필수코스
86,5.0,2023.05.05.,뛰어놀기 좋은것같아요
87,4.8,2023.05.04.,"넓어서 산책하기 좋아요
근처에 시립미술관 이응노 미술관도 있어서 놀러오기 좋아요"
88,2.8,2023.05.04.,"대전에 이렇게 크고 시설 잘된 수목원이 있다는게 대전이나 근처 계신분들은 복 받으신겁니다 !
거기에 무료 3시간주차에 그 어떤 입장료도 없으니...
무조건 대전 지나거나 하시면 꼭 들려보세요 !"
89,3.7,2023.04.29.,"평일인데도 주차장 다 만차이고 입구 많이 막아놔서 돌아가느라 시간 오래 걸림. 화장실에도 쓰레기통 없고, 공원 내에도 쓰레기통이 없어서 쓰레기를 못 버리고 들고 다녀야 돼요"
90,3.8,2023.04.25.,
91,4.4,2023.04.08.,최고예요
92,4.4,2023.04.01.,새똥 조심하세요...🙀😱😨
93,4.3,2023.03.26.,나들이하기 좋고 조경이 깔끔해요. 열대식물원도 추천. 쓰레기통 없는 것은 아쉽습니다
94,3.9,2023.03.26.,대전하면 솔직히 여기랑 성심당이죠
95,4.4,2023.02.24.,
96,3.2,2023.02.15.,"대전명물
백번 넘게간듯..
입장료 주차료 모두 무료"
97,3.1,2023.01.06.,
98,5.0,2022.12.16.,좋아요
99,3.9,2022.11.20.,대전사람들은 좋겠다 :)
100,4.5,2022.11.17.,
101,4.4,2022.11.02.,
102,4.5,2022.10.31.,좋음
103,3.9,2022.10.04.,best
104,4.2,2022.09.21.,자전거 타기 넘 좋았어요:)
105,5.0,2022.09.03.,
106,3.1,2022.08.28.,
107,3.8,2022.08.21.,"주말에도 사람 너무 많지 않고 적당해서 좋아요. 관리도 잘 되어있고, 계절 상관없이 완전 좋음. 다만 쓰레기통 한개도 없으니 봉투 챙겨가셈"
108,3.2,2022.08.21.,
109,4.6,2022.08.17.,
110,4.2,2022.08.15.,
111,3.6,2022.06.23.,관리가 너무 잘 돼있어서 보기 좋아요~
112,4.0,2022.05.14.,
113,4.1,2022.05.09.,너무 좋아요 산책길도 잘되어있구 부모님이랑 같이가니 좋네요^^~
114,2.8,2022.05.09.,"무료
주차도 3시간 무료
산책하기 좋음"
115,5.0,2022.05.05.,"무료인데다가 넓어서 마음이 시원했습니다.
대전시에서 좋은 곳 중 하나에요."
116,3.3,2022.04.15.,"대전 최고 관광지 
대전에선 가볼만한곳 추천할 만한 곳 여기가 최고"
117,4.1,2022.04.11.,
118,2.5,2022.03.19.,무척 넓고 좋음
119,4.3,2022.02.05.,
120,4.0,2022.02.01.,첫 만남. 여전한 만남을 이어줌.
121,3.7,2022.01.11.,넓고 산책하기 좋더라고요 겨울은 어쩔 수 없이 삭막하지만... 다른 계절에 꼭 와보고 싶어요
122,4.9,2021.12.19.,굿굿
123,3.7,2021.12.17.,
124,4.5,2021.11.19.,대전시민들의 안식처
125,3.9,2021.11.15.,
126,5.0,2021.11.14.,♡♡♡♡♡
127,4.4,2021.11.01.,
128,2.0,2021.10.13.,
129,1.2,2021.10.10.,"수목원보다 공원이라고 하는게 맞는듯
무료라서 쉬고가긴좋으나 볼건없다"
130,3.5,2021.10.04.,추천
131,3.5,2021.09.23.,무료라기엔 너무 좋은 곳이다. 초가을에 가서 그런지 꽃은 많지 않았지만 조경이 잘 되어있다.
132,4.1,2021.09.16.,선선할때 둘러보기 딱!
133,4.9,2021.09.10.,
134,4.3,2021.09.02.,
135,3.8,2021.08.15.,따뜻해요
136,3.2,2021.08.10.,"도심공원으로는 훌륭하지만... 지속적인 지도단속이 필요하다. 유치원생에게 마스크를 똑바로 쓰라고 말하던 직원은 중국인 단체로 담배피며 옆을 지나가도 조용할 뿐이다.
롤러나 자전거라이더들이 너무 심하게 과속을 한다. 스피드 훈련장도 아니고 아이들과 노약자들이 다니는 공원이다. 자전거대여점 사장님이 몇번이나 소리치며 주의를 줘도 소용없다. 결국 7월26일 밤 9시쯤 심각한 충돌사고로 구급차가 출동해서 한참을 처치하다가 싣고 갔다. 언제든지 반복될 수 있는 사고였다."
137,4.3,2021.08.04.,
138,3.9,2021.07.25.,
139,4.0,2021.07.25.,
140,3.8,2021.07.21.,"주차 3시간 무료. 그 이후부터 요금 나와요. 
넓어서 거리두기 자동으로 되니까 좋구요 

쉴수 있는 자리도 많이 만들어 놓아서 이용하기에 편리합니다 ~"
141,3.7,2021.07.21.,
142,3.4,2021.05.25.,"주차 무료 좋구요~
장미공원 사진 찍기 좋아요~
식물들 관리가 잘 되어 있어서 보기 좋았어요"
143,5.0,2021.05.21.,"저는 도토리가 없어서 저금은 못했어요
도토리 있는 분들 저금하시면 좋을 듯 해요"
144,5.0,2021.05.12.,
145,4.4,2021.05.05.,"최고에요~!!!
엑스포공원까지 걸어서 가다보면 스트레스도 확 풀리고 머리도 맑아져요~^^
주차료는 무료더라구요~"
146,3.2,2021.04.19.,
147,4.7,2021.04.06.,최고오
148,4.1,2021.04.05.,
149,4.9,2021.04.04.,경치가 끝내줘요~~!!
150,5.0,2021.03.31.,
151,4.3,2021.03.09.,전국 수목원 top 10에 들어가는 정도로 잘꾸밈
152,4.3,2021.02.25.,"한적하게 산책하기 좋고 천연기념물센터나 열대식물관, 곤충생태관 등 알차게 관람할 것이 많아 좋네요.ㅎㅎ"
153,4.3,2021.02.19.,"주차 3시간 무료라서 넘모 좋아요~!
산책하기에 너무 조씁니당"
154,4.8,2020.12.07.,나무 젛아요 ㅠㅠㅠㅜㅜ 휴일 때마다 가는 힐링 공간입니다
155,5.0,2020.11.27.,
156,5.0,2020.11.17.,넓고 좋아요
157,5.0,2020.10.29.,잔디밭 조아
158,3.7,2020.10.02.,
159,4.5,2020.05.15.,"무료 이응노0.5 열대0
주차~3시간 무료
이후 15분당 0.6"
160,5.0,2020.05.14.,
161,3.9,2020.03.28.,
162,4.3,2020.03.04.,
163,3.8,2019.10.12.,"사진찍기도 좋고
가을날 피크닉 오기 최고입니다"
164,3.2,2019.10.09.,"아기자기 잘 꾸며 놓았다
동/서로 꽤나 넓어서 시간을 갖고 누벼야 함
주차공간이 협소해 힘든건 에러..."
165,5.0,2019.06.19.,
166,3.3,2018.08.20.,
167,3.5,2018.05.02.,
168,3.4,2016.03.13.,
