,평점,날짜,후기
0,4.2,2024.04.29.,
1,4.9,2024.04.24.,
2,4.6,2024.04.24.,전에 했던 드론쇼가 멋졌다. 하지만 부산서부쪽에서 대중교통으로 이동이 불편하다
3,4.3,2024.04.23.,
4,3.0,2024.04.23.,
5,3.9,2024.04.19.,
6,4.0,2024.04.11.,
7,4.2,2024.04.06.,😑😒😑😒😑
8,3.7,2024.04.04.,
9,4.0,2024.03.30.,
10,5.0,2024.03.25.,
11,4.6,2024.03.24.,
12,4.5,2024.03.17.,굿
13,4.3,2024.03.11.,
14,4.8,2024.03.10.,
15,4.3,2024.03.09.,일출명소 포토존
16,2.8,2024.03.06.,
17,3.5,2024.03.04.,광안리 사랑해
18,5.0,2024.03.03.,
19,4.1,2024.03.02.,새해 해 보러갔는데 이번에는 못 봤네요.
20,4.5,2024.03.02.,이쁘고 좋고 시원하고 풉리도 하고 여자친구랑 오면 좋릏ㄱ ㅎ가샃아요
21,4.4,2024.03.01.,오랜만에 조용한 바다를 분위기 있게 보았네요
22,4.5,2024.02.28.,"부산 바다는 역시 광안리네요~
야경두 이뻐요~"
23,5.0,2024.02.25.,
24,3.8,2024.02.19.,
25,4.9,2024.02.18.,광안리는 역시 바다가 이뻐요
26,5.0,2024.02.18.,
27,4.7,2024.02.18.,"언제 와도 계절마다 시간대마다 다른 느낌
매번 빛나는 곳"
28,5.0,2024.02.16.,날 흐릴때ㅜ가서 쫌 별로엿지만....날 좋을때 꼭 다시 갈꺼에요!! 완전 이쁨
29,5.0,2024.02.10.,
30,3.6,2024.02.09.,"뷰 예뻐요
해질때가면 더 예뻐요"
31,3.7,2024.02.04.,
32,4.3,2024.01.28.,
33,4.6,2024.01.28.,"잘 놀다갑니다.
부산에 살지만 정말 오랜만에 와보내요..."
34,4.8,2024.01.23.,다시 가고 싶을 정도로 명소죠
35,4.6,2024.01.23.,
36,5.0,2024.01.23.,
37,5.0,2024.01.17.,
38,5.0,2024.01.16.,
39,4.4,2024.01.08.,ここは毎週土曜日の夜に2回行われる広安里Mドローンライトショーが良い。今回1月6日は2024 광안대교 경관조명 점등식があり、広安大橋のLED照明が新しくなったようです。
40,4.8,2024.01.05.,"해운대 빛 축제 매우 예쁘고요, 일출보기 최고"
41,5.0,2024.01.03.,한 달 살기 하고 싶은 매력적인 장소
42,4.5,2024.01.02.,
43,4.1,2024.01.01.,드론해라
44,3.8,2024.01.01.,뷰는 역시 광안리! 요즘 불꽃놀이 못하게 안전요원 계셔서 너무 좋네요. 쾌적해요 🤍
45,4.2,2024.01.01.,
46,4.9,2023.12.30.,진짜 이뻐요 광안리만의 분위기가 좋늠
47,3.5,2023.12.27.,
48,4.9,2023.12.27.,
49,5.0,2023.12.27.,
50,5.0,2023.12.22.,
51,3.6,2023.12.16.,
52,4.3,2023.12.14.,
53,2.5,2023.12.05.,
54,4.0,2023.11.27.,
55,5.0,2023.11.23.,광안대교!!! 황홀하다
56,5.0,2023.11.21.,night view are best!! love it!! and definitely will be back again
57,2.5,2023.11.17.,
58,5.0,2023.11.16.,
