,평점,날짜,후기
0,3.9,2024.04.19.,
1,5.0,2024.04.08.,
2,2.5,2024.04.06.,일몰감상 산책로
3,4.5,2024.04.06.,
4,4.0,2024.03.09.,석양이 이쁨 다른 바다에 비해 큰 메리트는 없는듯
5,3.3,2024.03.02.,몰운대 낙조 보려다가 목적지를 다대포해수욕장으로 변경했습니다. 몰운대 갈려면 작은 산을 넘어야하는데 왕복 1시간정도 걸린다고 하셔서 다대포로 갔어요. 날씨가 맑아서 멋있는 낙조를 봤습니다.
6,4.5,2024.03.01.,"일출 일몰 다 볼수있고 그냥 산책하기도 좋아요
주차도 공영주차장 10분 200원이라 부담 없어요"
7,5.0,2024.01.23.,
8,3.7,2024.01.20.,뷰도 좋고 바닷가로 가면 아무도 없는 해변을 볼스있음
9,4.6,2024.01.15.,
10,5.0,2024.01.13.,날씨도 좋고 바다도좋네여
11,2.5,2024.01.12.,
12,4.1,2024.01.04.,
13,4.0,2024.01.01.,
14,3.8,2023.12.30.,부산 최고의 바다
15,3.5,2023.12.23.,조용했고 사람이 많이 없었어요.
16,5.0,2023.12.20.,
17,5.0,2023.12.10.,
18,5.0,2023.11.25.,일몰감상
19,3.0,2023.11.20.,Nice peaceful place. Recommending to visit for a walk or for picnic. Hard to swim there bcz it’s not deep but for children is good place to play.
20,5.0,2023.11.18.,
21,4.3,2023.11.18.,
22,5.0,2023.11.12.,
23,3.9,2023.11.10.,"부산 남쪽아래 자리하는 해수욕장

그곳은 해수욕장이라기 보다
바다에 접한 모래평야라는 묘사가 적당해 보인다

모래평야는 해변인가?
뭐, 경치만 좋으면 아무래도 좋은 법이다"
24,3.9,2023.11.07.,제일좋아하는장소
25,5.0,2023.11.04.,
26,1.0,2023.11.01.,
27,4.6,2023.10.29.,주변에 카페에서 보는 뷰도 좋아요
28,5.0,2023.10.28.,일몰감상 물놀이
29,4.7,2023.10.27.,일몰 최고.
30,4.1,2023.10.25.,멋진 노을을 볼 수 있어요 :)
31,4.6,2023.10.17.,일몰 보러간거였는데 흐려서 못봤어요..바다 바로 앞 해변이 평평하고 단단해서 둘레 걷기는 좋았어요
32,4.4,2023.10.08.,일몰감상
33,5.0,2023.10.08.,일몰감성 가득한 이 곳
34,4.7,2023.10.06.,"일몰감상 ..
멋져요"
35,4.3,2023.10.04.,
36,3.8,2023.10.02.,명불허전 ㅠ 따뜻한 바다 막차타고 갑니다~!
37,5.0,2023.10.02.,
38,3.5,2023.10.01.,주차 질서가 너무. 힘들어요!^^
39,5.0,2023.09.28.,you must go here when summer
40,3.2,2023.09.21.,
41,2.0,2023.09.18.,
42,4.8,2023.09.08.,
43,4.0,2023.09.07.,
44,4.0,2023.09.01.,
45,5.0,2023.08.29.,일몰감상 너무좋아요
46,4.8,2023.08.29.,
47,5.0,2023.08.22.,
48,3.5,2023.08.21.,탁 트인게 가끔 가면 마음이 평온해짐
49,4.5,2023.08.12.,"푸르른 바다보며 휠링하고 주변 카페에서 일몰감상 하고 왔습니다
 추천해요 !!"
50,5.0,2023.08.10.,
51,5.0,2023.08.10.,
52,5.0,2023.08.08.,
53,4.7,2023.08.06.,
54,4.7,2023.08.06.,
55,5.0,2023.08.04.,
56,5.0,2023.08.04.,
57,5.0,2023.08.04.,걷기 좋은 장소입니다. 일몰이 특히 예뻐요
58,5.0,2023.08.02.,
