,평점,날짜,후기
0,4.1,2024.04.29.,여유있는 데이트를 하기 너무 좋은 곳입니다~
1,5.0,2024.04.27.,놀이기구는 적고 유아용이 많지만 자이언트 3종 세트를 보면 괜춘
2,4.9,2024.04.26.,
3,3.2,2024.04.10.,This amusement park has many rides for kids and three rides for more thrill. I gave it four stars only because I would like a few more rides for adults. The main two rides by the gate were exciting and scary enough for me to ride each for a second time. The lines were average 30 minutes per ride. I went to the park on a Saturday and arrived close to the time of opening. Not many crowds this day but depends on the season. The park is quiet in places with many options of food and places to sit. It is very easy to find and had a lot of parking. You could easily access the park via public transit as well.
4,5.0,2024.04.06.,"접근성 좋은 놀이터로 강추합니다
짚라인은 생각보다 덜무서워요"
5,4.1,2024.04.06.,"루이테라스 결제금액 10% 할인 걸어놓고
음료만 10%할인 해줌
연간회원 가입하는데 다시 찾아가서 물어봤더니 전화로 답준다더니 전화 안옴
잊고 있다가 다시 방문했는데
여전히 음료만 10%할인하길래 리뷰씀"
6,5.0,2024.04.03.,
7,3.1,2024.03.23.,"놀이공원 크기가 작아서 어트랙션이 부족하지만, 
이동하기 편함


평가
시설☆☆☆☆☆☆
무서운 거 아니면 시시한 거 밖에 없음(중간이 없음)
가격☆☆☆☆☆☆☆☆
할인하면 저렴하고 가성비 좋고, 매직패스 가격도 서울 롯데월드 생각하면 선녀같은 가격
상품점☆☆☆☆☆
레스토랑☆☆☆☆☆☆
식당들 괜찮고, 특이한 레스토랑(롤러코스터 레스토랑 BBQ(원래는 라라코스트였는데 BBQ로 바뀜),  자이언트 스윙뷰 롯데리아 등)도
있어 좋긴 한데.. 죄다 간식이라 간식집 빼면 사실상 먹을 거 별로 없음
로리캐슬☆☆☆☆☆☆
서울 롯데월드보다는 좀 아쉬움. 다만 분수대랑 같이 보면 꽤 괜찮음.
테마☆☆☆☆☆☆
..........(맨 아래 10줄 참조)
퍼레이드☆☆☆☆☆☆☆☆
노래도 좋고 만족하는 편이지만, 흠이라면 파크가 작은 만큼 퍼레이드 코스가 짧다는 단점이 있음
친절도☆☆☆☆☆☆☆☆

재방문 의사 : 가끔씩 가면 재미있게 놀 듯.










(사실 원래 바이킹이랑 악령의 저택이라는 어트랙션이 만들어져야 하는데 예산이 부족해서 그런지 만들 수가 없어서 그런건지는 모르지만 어쨌든 무산됨ㅋ
롯데월드 부산은 파크 전체가 스토리가 하나로 이어져 있는데 그 스토리에 정말 중요한 요소인 악령의 저택을 안 만듬ㅋㅋㅋㅋㅋ
스토리에 따라 파크를 만든게 아니라 파크 다 만들고 스토리 끼워맞춘 듯ㅋㅋㅋㅋ 25년이나 26년에 확장하면서 운영을 시작한다는 말이 있긴 한데..  그 때 진짜 운영 시작하긴 할까.....?)"
8,1.0,2024.03.23.,"잠실 생각하고 오면 개실망!
가격 보고 방문  하면?
2만 이하 들어오시면 나쁘지 않은곳

기대말고 적당히 실망하고  생각말고  가시길"
9,4.1,2024.03.16.,"잠실 롯데월드와 비교했을때 아담하고 어트랙션고 조금 부족하지만 다 재밌었어요! 평일 아침부터 가서 그런지 사람이 별로 없어 많이 탈수 있어서 좋았습니다. 그런데 적자나는게 아닌가 걱정되더라구요..ㅋㅋㅋㅋ 퍼레이드도 재밌었고 중간중간 공연도 많이 하고 볼거리는 많은데 잠실 롯데월드랑은 다른 분위기에요. 로리 로티 캐릭터도 있긴한데 트롤? 같은 캐릭터가 메인인거 같아요.
부산 롯데월드는 크지 않아서 30분 정도면 한바퀴 돌 수 있을 정도이고, 주차장도 넓고 물품 보관함도 밖이랑 안에도 있어 편하게 다닐 수 있었어요! 얼른 더 개발되어서 더 재밌는 어트랙션이 생기길 바랍니다.ㅋㅋ"
