,평점,날짜,후기
0,4.7,2024.04.20.,
1,4.6,2024.03.19.,오륙도 20호 방문했습니다~ 예약해서 2인 랍스터 코스 (16만원) 먹었구요 이런곳 처음이라 떨떠름 했는데 가격도 그렇게 비싼편도 아닌거 같아서 나름 만족합니다
2,2.5,2023.12.27.,가고서 기분나쁘고 싶지 않으면 가지마세요 랍스터 안시키면 나가라고 합니다 777
3,4.7,2023.11.15.,랍스타는 여러명이서 가면 먹을만합니다. 비싼거라 할매들이 잘해 주심 ㅋ 가격 거품 좀 빼고 할머니들 서비스 마인드 좀 바꾸면 부산의 명물이 될 수도 있는 곳인데 안타깝기 그지 없네요.
4,3.3,2023.10.31.,"⭐️⭐️⭐️1/2…
괜찬아요…"
5,3.8,2023.10.29.,"다시는 가고 싶지 않고
여긴 정말 돈 있으면 가시고
호구 되고 싶으면 가면 되는 곳 입니다.
정말 각박을 경험하고 싶다면 ㅇㅋ"
6,3.9,2023.09.27.,추천할게없네
7,4.4,2023.09.23.,"가지 마세요.ㅠㅠ.
영업하시는 어머님들이 왜 이렇게 컨셉을 잡으셨을까 안타깝습니다.이것저것 가볍게 먹으려 했더니 바닷가재랍스터 시켜야 모든게 다 나온다고..3인 20만.쩝..아이고.. 그냥 술안주 몇 개 먹으려 했더니.계속 눈치.. 2-3년만다 가보면 이런 시스템이 계속 이어지는 듯..몇 년전에는 메인이 다른거였는데.ㅠㅡㅡ..그래도 그냥 회 먹으려한다했더니 미포쪽 저어어~~끝으로 가보라 해주시니. 그것만이라도 감사합니다. 우리가 생각하는 포차의 모습으로 돌아오시길 간곡히 바래봅니다."
8,2.3,2023.09.17.,떡볶이랑 우동 소라 파는 그 끝집에 갔는데 얼마니 걸리냐길래 폰만 보면서 자기가 손님들한테 몇시에 가냐고 다 물어봐야 하냐면서 큰소리로 말하면서 사람 망신 주고 맛도 맛이지만 서비스가 진짜 .. 가지마세요 그냥 전 안갑니다 이제
9,3.5,2023.09.01.,
10,4.5,2023.04.22.,나는 이 곳의 이모들을 좋아함.
11,4.0,2023.03.27.,잘 찾아서 들어가면 친절하신 아주머니 계심 서비스로 이것저것 많이 주심 원래 이런 곳음 바가지 씌여도 분위기로 먹는 맛임
12,3.3,2023.01.19.,"후기를 보고도 여길 가는 사람은 없겠죠? 기분좋게 부산와서 기분상하지 마세요. 여기 포차는 일반적으로 생각하는 그런 저렴한 분위기의 포차가 아닙니다. 포차서 랍스터랑해서 15만원정도는 팔아줘야 사람취급하는 그런 포차입니다. 난 호구다 하는 사람만 가세요.

이곳 해운대는 국내에서도 원탑찍는 관광지입니다. 이런곳에서 바가지나 입뻰 당해서 기분상하지 마시고, 조금만 검색해보시면 현지인들 가는 싸고,좋은곳 아주 많아요. 특히 부산은 더욱 그래요.
모처럼 오신 부산에서 좋은 추억만 많이 만들어 가시기 바랍니다~♡♡♡♡♡"
13,3.6,2022.12.28.,"바가지 당하는건 맞아요.
여행왔고, 포장마차준위기에 부산 이모님을 만나다는 생각으로 방문하시는거면 한번쯤은 괜찮아요.
2명이서 랍스타 + 소주2병 168,000원 나왔어요.
개불, 산낙지, 멍게, 돌멍게, 전복, 홍가리비라면2개
분위기를 즐기기에 좋았어요"
14,2.5,2022.11.19.,시즌별 바가지 장사가 기본
15,4.1,2022.11.17.,"왜 1명은 안받아주실까요? 3번의 “예약이 있다” 라고 하시는 거짓말에 속은 다음, 겨우 한 곳에서 해산물 먹을 수 있었습니다. 사정은 모르겠지만 1명이라고 무조건 안받아주시는 건 문제가 있어 보입니다."
16,4.4,2022.11.15.,가격이 비싼건 둘째라 치더라도 시간제인건 ..
17,3.7,2022.11.11.,랍스터 안시키면 수조에 보이는 것도 없다고 하면서 나가라고 하는곳. 이러니 관광객들이 현지인들 하는곳 안가지...완전 하대합니다~~가지마세요ㅋㅋ
18,3.9,2022.10.22.,"2인15만원
비싸다고하면 비싼건데 싱싱하고 맛있음
놀러와서 기분좋게 한잔하기좋은곳
갈매기11호였나..4호자리쓰시던데 친절하시고 좋아씀!"
19,4.2,2022.10.16.,랍스터회 맛있어요
20,2.2,2022.09.27.,현지 택시기사님들도 절대 가지말라고 당부하십니다 이유가 있겠죠?
21,4.0,2022.08.24.,
22,2.5,2022.08.23.,완전 바가지 상술에 불친절 절대 비추.
23,3.9,2022.07.19.,"여기 후기 보고갈껄
랍스터 아니면 손님으로 보지도않는 곳
산낙지 있는거 다 보이는데 없대요^^
돈되는 손님만 받으려고 다들 욕심만 그득그득 한 곳
그냥 평범한 포장마차인데 여기서 굳이 이돈주고 랍스터 먹고싶진 않죠 깨끗하고 좋은데가서 먹지"
24,2.7,2022.07.09.,"랍스타가 기본입니다.
포차정취 기대할거면 패쓰ㅋㅋ"
25,1.0,2022.07.09.,"너무 불친절 비싼거 시키지 않으면 나가라고 쫓아냄
대놓고 나가라고 하는 모습에 화가 나네요"
26,1.0,2022.06.17.,"후기 글들을 좀 더 세심하게 
볼 필요가 있었는데
제가 바보였네요

난생 처음으로 큰맘먹고
부산이란 곳으로 혼자 
힐링여행을 와서 검색을 해보니
숙소근처에 포차촌이 있더군요

후기를 보니
살갑고 구수한 사투리에
정겨운 이모님들의 친절함...
작성자들의 에피소드까지 더해져
정말 꼭 가봐야겠다는 생각이 들더군요
혹시나 카드가 안될수도 있을거란
생각에 현금까지 찾아들고 갔습니다

낙지랑 전복을 포장해와
숙소에서 편안히 먹어야겠다는 생각에
도착했는데

어디라고는 말 안하겠습니다
이건 포차어디나 똑같은
포차만의 룰인거 같아요

절대 혼자가지 마세요
몇명이냐고 묻길래
혼자라고 하니
혼자는 안받는답니다ㅎㅎㅎ
그리고 낙지도 없답니다;;;

제 뒤에 같이 있던 
세명의 손님이 저 따라 
쪼로록 들어왔는데
그 손님은 반갑게 맞이하더군요ㅎㅎ

결국 나와서 다른 몇곳도 
물어봤더니 없다고 하더군요
혼자와서 안받나 봅니다
포장할건지 물어보지도 않고...;;;


낙지나 전복은 전통시장에도
있지만 후기보고 일부러 가봤던건데
괜히 내가 뭘 잘못한것같아
뻘쭘하고 민망하더군요

그래서 후기들을 다시 보니
그제서야 눈에 들어오더군요
모두 매뉴가 랍스타라는거...^^;

오후의 바닷바람이 
더욱 싸늘하게 느껴지는 하루였습니다"
27,4.0,2022.05.30.,최악
