,평점,날짜,후기
0,4.6,2024.04.29.,
1,4.9,2024.04.18.,야 해가 운대 ㅋㅋㅋㅋㅋㅋㅋㅋ
2,5.0,2024.04.14.,
3,3.7,2024.04.13.,
4,4.7,2024.04.12.,와 모래바람이 너무 불고 갈매기 비둘기가 너무 많다. 해수욕할거 아니면 다시 올 거 같지 않아요 ㅠㅠ
5,3.7,2024.04.04.,
6,4.1,2024.03.28.,역시 광안리👍해운대👍 또오려고 매모 끄적
7,3.3,2024.03.23.,주차 하기가 빡심
8,4.8,2024.03.22.,
9,5.0,2024.03.21.,
10,4.2,2024.03.20.,
11,3.0,2024.03.20.,
12,5.0,2024.03.15.,
13,4.4,2024.03.11.,
14,2.9,2024.03.08.,해변이 걷기좋고 동백섬 더베이 야경 끝내줘요
15,3.8,2024.03.07.,
16,4.4,2024.03.06.,"2박3일의 부산을 떠나기전 마지막 해운대
의미있는곳이었다
바다야 건강해라
- 두더지 연구소 -"
17,4.5,2024.03.03.,
18,4.6,2024.03.01.,
19,4.1,2024.02.25.,사람이 너무 많아서 사람구경 하고프면 좋은 곳. 개인적으로는 별로였다.
20,5.0,2024.02.22.,
21,3.0,2024.02.13.,역시 바다는 해운대입니다
22,4.2,2024.02.13.,
23,4.4,2024.02.13.,유명한만큼 기대도 컸던곳인데 그 기대를 만족시키는 곳이다. 다만 여름에 사람 많을때 오기에는 생각보다 크기가 크지 않아서 딱히.. 차라리 겨울에 오는게 더 이쁘고 한적하니 좋을듯 하다.
24,3.6,2024.02.09.,바다 예쁘고 지하철가까워서 더 좋아요👍
25,3.7,2024.02.04.,
26,3.8,2024.02.04.,뷰가 좋다
27,4.3,2024.01.27.,
28,2.6,2024.01.23.,
29,5.0,2024.01.23.,
30,3.5,2024.01.21.,정말 최고!!
31,4.7,2024.01.20.,일출명소 빛축제때 가면 사진이너무 잘나와요
32,4.9,2024.01.18.,풍경이좋다
33,3.7,2024.01.11.,
34,3.7,2024.01.05.,겨울의 해운대도 너무 좋다
35,5.0,2024.01.05.,
36,3.7,2023.12.31.,겨울이나 여름이나 다녀봄직한 제1의해수욕장
37,4.9,2023.12.28.,좋아요
38,5.0,2023.12.27.,
39,4.6,2023.12.25.,바다가 예뻐요~~^^
40,3.5,2023.12.23.,조금 더럽고 다른 해수욕장이 더 좋습니다.
41,5.0,2023.12.20.,
42,3.6,2023.12.16.,끝내 줍니다 일출명소 포토존
43,4.3,2023.12.14.,
44,4.6,2023.12.09.,좋아요
45,2.5,2023.12.05.,
46,3.8,2023.12.01.,밤산책로
47,4.8,2023.11.30.,사람이 많긴 하지만 너무 좋아요 부산의 10대 명소
48,3.8,2023.11.27.,"국내 쵝고해수욕장  
부산하면 해운대
이곳의 갈매기들은 굉장히 공격적이다"
49,3.1,2023.11.26.,
50,4.5,2023.11.24.,"해운대해수욕장의 밤바다모습
언제가도 마음속이 후련해요"
51,4.7,2023.11.24.,
52,5.0,2023.11.23.,해운대!!! 여기가 해운대다!!!
53,1.0,2023.11.23.,"해운대 가는길에 맵은 우측길을 안내하고 전 좌측길이 안전하고 좋아서 좌측으로 달렸는데 맵이 계속 우측길로 가라고 재탐색하면서 위험한 도로로 돌아가라고 난리쳐서 정말 왕짜증나게하네요ㅠㅠ 

같은 방향이면 좀더 안전한 길로 가는게 맞는데 카카오맵은 끝까지 자기가 제시한길로 가라고 그길이 위험하던말던 유저의 의사는 개무시하는 독불장군 카카오맵을 좀더 유연하고 유저를 배려하는 앱으로 만들어주세요!! 제발요!!"
54,5.0,2023.11.20.,
55,5.0,2023.11.11.,
56,5.0,2023.11.02.,
57,4.6,2023.10.29.,조용하고 좋음. 근데 모래장식이 자연경관을 해침
58,3.2,2023.10.28.,
59,4.9,2023.10.27.,
60,2.9,2023.10.21.,한국 최고의 백사장과 해변가
61,3.3,2023.10.19.,
62,5.0,2023.10.18.,
63,4.2,2023.10.17.,"왼짝에 있는 의자 앉아서 멍때리기 조아연
아 근데 선크림 조금만 발랐더니 해지는 시간에 갔는데도 그새 햇빛이 뚫고 타버린.."
64,3.6,2023.10.15.,"동남아 다녀보고 깨달음
해운대가 좋구나… ㅋ"
65,4.7,2023.10.15.,좋아영
66,5.0,2023.10.13.,
67,5.0,2023.10.08.,나의 해수욕 인생 정말 좋은 곳이다!
68,4.7,2023.10.06.,
69,5.0,2023.10.02.,"The view is stunning, but i recommend to visit in evening after 4 pm because the weather is to hot even in September 29 . i recommend night view. 포토존"
70,2.2,2023.10.01.,경치가 좋아요
71,5.0,2023.09.30.,"Me encantó el ambiente de esta playa, muy colorido y a la vez tranquilo."
72,5.0,2023.09.30.,uaaaaapikkk polll cok
73,4.6,2023.09.29.,
74,3.8,2023.09.28.,해운대는 언제가도좋죠-!
75,5.0,2023.09.27.,
76,5.0,2023.09.26.,
77,2.4,2023.09.25.,찾아와서 비키니 입고 시원하게 즐겼다
78,5.0,2023.09.23.,"This beach is so nice a place to visit in Busan, Korea!"
79,4.8,2023.09.16.,
80,4.9,2023.09.16.,
81,5.0,2023.09.14.,
82,4.7,2023.09.10.,
