,평점,날짜,후기
0,4.2,2024.04.30.,우리나라의 대표적인 궁궐~그리고 경복궁이 얼른 완전히 복원이 됐으면 좋겠습니다😀
1,4.6,2024.04.28.,역시 킹복궁 멋짐 강추
2,4.1,2024.04.27.,"한국을 대표하는 궁궐로, 중국과 일본보다 더 빠르게 한국에 전기가 처음으로 들어온 곳이기도 하지만, 일본의 침략으로 명성왕후께서 잔인하게 시해를 당한 가슴아픈 역사가 있는 장소이기도 합니다."
3,5.0,2024.04.26.,
4,4.4,2024.04.23.,
5,5.0,2024.04.21.,
6,4.4,2024.04.15.,
7,3.6,2024.04.12.,"주변 아침에 러닝하기 좋음
오후에는 관광객 득실득실"
8,3.3,2024.04.11.,궁 좋다..
9,3.9,2024.04.09.,
10,3.8,2024.04.05.,
11,4.1,2024.03.30.,
12,4.5,2024.03.30.,
13,4.2,2024.03.27.,
14,5.0,2024.03.23.,
15,5.0,2024.03.23.,다시 가고 싶어요~~^^
16,5.0,2024.03.22.,나만의 공간 경복궁
17,5.0,2024.03.20.,
18,5.0,2024.03.19.,"Gyeongbokgung is way bigger and more beautiful than I had originally thought. There's so many cool looking structures, the walkways were well kept, and the trees and other nature were awesome too! I definitely wanna come back next year :)"
19,4.0,2024.03.18.,갈때마다 좋네. 카페가 더 필요
20,4.2,2024.03.13.,나들이
21,5.0,2024.03.10.,
22,3.4,2024.03.09.,
23,4.5,2024.03.09.,한국 문화재 1등 설명끝
24,3.8,2024.03.08.,
25,3.3,2024.03.08.,전통한복은 아니어도 예쁜 한복을 입은 사람들이 많아서 기분이 좋아진다
26,3.9,2024.03.05.,
27,2.3,2024.03.04.,
28,3.2,2024.03.03.,
29,3.5,2024.03.01.,야경 굿
30,3.9,2024.03.01.,맛있고 분위기 좋고 아주 좋아요
31,3.1,2024.03.01.,멋지다.
32,4.6,2024.02.22.,"너무 웅장하다.....
조선 총독부 부수길 잘한 것 같은 곳
다음에 또 오고 싶다"
33,4.9,2024.02.22.,한국의 멋이 느껴지는 멋있는 곳
34,4.5,2024.02.17.,나들이 벚꽃명소 단풍명소
