,평점,날짜,후기
0,2.6,2024.04.27.,아이스링크는 비추해요 가격에 비해서 빙질도 앙 좋고 슈즈도 별로에요
1,5.0,2024.04.27.,존잼
2,4.2,2024.04.23.,사람이 많긴 하지만 좋았어요!
3,5.0,2024.04.23.,눈치게임만 잘하면 됩니다^^
4,4.2,2024.04.22.,눈치게임대실패
5,4.9,2024.04.16.,환상의나라롯데월드로~사람 너무 많은것만 빼면 최고.
6,3.7,2024.04.15.,
7,5.0,2024.04.14.,ggggggggggggggg
8,3.7,2024.04.13.,모험 밖에는 무슬림들을 위한 기도실이 없습니다. 안에서만 사용할 수 있습니다. 기도실을 사용하려면 돈을 지불해야 합니다.
9,5.0,2024.04.13.,"어렸을때도, 어른이어도 항상 즐거운 롯데월드🩷"
10,4.9,2024.04.12.,
11,3.2,2024.04.09.,
12,4.3,2024.04.06.,벚꽃명소 롯데월드
13,5.0,2024.04.06.,롯데월드 나이 들어서 가니까 더 재밌다
14,3.6,2024.04.05.,매직패스 짱
15,3.5,2024.04.02.,오  예    동방신기 마법의성 동방신기&슈퍼주니어 쇼미 러 러브 H.O.T. 캔디 뮤비 영화 그놈 목소리(2007.출연:설경구.김영철.김남주외) 그외 다수 연예인 촬영지
16,4.7,2024.04.01.,들어길때 직원이 불친절했어요..ㅠㅠ 그래도 들어가서 재미있게 놀았어요! 안틀란티스는 수리중이더리구요ㅠㅠ그래도 다른 자이로 놀이기구들이 굉장히 재미있어요!!👍👍
17,4.8,2024.03.31.,
18,4.8,2024.03.29.,작년에 방문했었지만 엄청 만족했어요!
19,4.6,2024.03.27.,
20,4.0,2024.03.24.,놀이기구가 재밌고 풍경이 좋음
21,3.8,2024.03.22.,
22,4.0,2024.03.22.,
23,4.3,2024.03.15.,
24,4.3,2024.03.11.,무조건 3월초 평일에 가야되는곳.. 3월초 평일 혜성특급 앞에 줄없는거 첨봄.. 안에 들어가면 줄 서긴해야되지만. 아틀란티스 30분 대기하고 탄적 살면서 처음...
25,3.8,2024.03.09.,직원 영혼 1 공장이냐
26,5.0,2024.03.09.,
27,4.5,2024.03.09.,"언제봐도 이뻐요~
먹거리도 많고 데이트하기 좋아요~"
28,4.0,2024.03.08.,
29,4.5,2024.03.06.,
30,4.4,2024.03.05.,
31,3.4,2024.03.04.,실내인게 큰 장점이지만 늘 사람이 많음
32,4.3,2024.03.03.,"바이킹의 정석은 여윽시 롯데월드다. 그리고 롯데월드하면 또 츄러스가 빠지면 섭섭하다. 자이로드롭도 너무 재밌고, 롯데월드 실내를 돌아다니는모노레일은 많이 흔들거리긴 하지만… 실내를 한 번에 구경하고 싶다하는 사람들에게는 강추합니다. 근데 방학 기간에는 평일에도 사람이 많으니 바이킹이나 자이로드롭 같은 꼭 타야하는 놀이기구는 미리 매직 패스를 사 놓는 게 좋습니다!"
33,4.3,2024.03.02.,
34,5.0,2024.02.29.,
35,4.5,2024.02.29.,평일에 갔는데도 사람이 너무너무너무너무 많음
36,4.0,2024.02.29.,"최근 평일에 아이와 함께 다녀왔습니다. 매직패스 필수입니다! 저는 운좋게 예매해서 빅5 거의 다 타고 왔는데 없었으면 아마 별로 못탔을 것 같네요. 일반대기는 3시간씩 걸렸어요. 번지드롭만 그냥 일반대기로 타봤는데 그것도 기본 1시간 대기였고요. 그냥 1시간은 기본이다 싶네요. 방학이라 더 심했겠지만요. 그럼에도 재밌게 잘놀았어요. 제가 다닌 곳은 직원 다 친절해서 불편함 못느꼈고요. 다만 매직패스도 놀이기구마다 줄서는 안내가 달라서 헤매는 사람들도 있었고, 그 줄을 뚫고 일일히 확인받아야 하는 경우가 많아서 불편했어요. 이런건 개선하면 좋겠네요."
37,3.8,2024.02.27.,
38,4.0,2024.02.25.,"절대 오지마세요
사람 무조건 들여보내서 
웬만한 인내심 아니면
놀이기구 못탑니다

다들 지쳐서 바닥에 앉아있습니다"
