,평점,날짜,후기
0,4.0,2024.04.27.,
1,3.9,2024.04.25.,"생각했던 것 보다 
실내 정원이 잘 되어있어서 좋았음
아직 추울때가서 꽃은 많이 없었지만
늦봄부터 가을까지가 이쁠듯
깔끔하고 산책이나
애들 데려가기에도 좋고
이동경로도 잘 되어있었음"
2,4.7,2024.04.24.,서울 최고의 공원 💚💚💚
3,4.6,2024.04.21.,또 가고 싶어요.. 힐링 잔뜩하구 왔어요 ㅎㅎ
4,5.0,2024.04.14.,
5,3.7,2024.04.14.,"다 좋은데...
주말 주차는 너무 힘드네요
방문객 대비 주차여건이 부족"
6,4.8,2024.04.12.,실내식물원 걷기좋은 데이트코스
7,4.0,2024.04.11.,
8,4.7,2024.04.01.,
9,3.6,2024.03.31.,
10,4.6,2024.03.30.,"서울시민들께 선물 같은 식물원입니다.
 
온실내부 뿐만 아니라 호수, 넓다란 야외공원... 등이 다양한 나무, 꽃들과 조화롭게 어우러진 커다란 규모의 공원입니다.

한강까지 걸어서 갈 수 있도록 전망좋은 육교도 있어서 가슴이 뻥뚫리는 기분 느끼실 수 있습니다.

9호선,  공항철도 마곡나루역 입니다"
11,3.8,2024.03.29.,아이들과 가기 좋아요
12,3.7,2024.03.24.,
13,3.9,2024.03.20.,4계절 언제든 방문하기 좋아요. 다만 추울때는 외부에 볼게 없긴 합니다
14,4.1,2024.03.17.,"식물원이니 좋죠
조금 더울 수 있으니 옷은 가볍게,
보관함 수가 늘었으면 좋을것 같아요"
15,2.6,2024.03.07.,"기대보다 별로였다
볼만한것도 없다
초여름에 갔는데 습하고 더웠음
겨울엔 갈만할듯"
16,4.1,2024.03.07.,"온실 말고는 생각보다 볼거리가 적었습니다
큰 기대안하고 소소하게 걸으면서 구경하기에 좋습니다!"
17,4.8,2024.03.06.,
18,4.0,2024.03.03.,아주 오래된 고목식물들과 아름다운 꽃을 보며 힐링하기좋아요
19,4.6,2024.03.01.,
20,5.0,2024.03.01.,실내식물원 걷기좋은
21,4.9,2024.02.27.,걷기좋은 실내식물원
22,4.4,2024.02.24.,걷기 좋음
23,5.0,2024.02.23.,온실 내 다양한 아열대식물 볼 수있어요~
24,3.4,2024.02.22.,구경할 것도 많고 주변에 산책할 곳도 많아 놀러가기 좋다 ㅎㅎ
25,4.2,2024.02.21.,산책하며 구경하기 좋은데 온실이라 그런가 확실히 습하고 덥다 안에 카페도 있고 수유실도 잘되어있어 아기랑함께가기 편했고 날 좋을때 바깥쪽 산책까지하면 좋을듯 식물원 말고 박물관처럼도 꾸며놔서 재밌었다
26,4.7,2024.02.17.,친구랑 가족이랑 오손도손 얘기하며 둘러보기 좋습니다. 봄이 오면 온실 말고 바깥 정원도 제대로 살펴보고 싶네요.
27,5.0,2024.02.16.,
28,4.1,2024.02.15.,너무 이쁘고 구경할거 많아요
29,4.5,2024.02.14.,2024년 새해때 갔는데 사람이 너무 붐벼서 금방 지쳤고 사진도 원하는만큼 못찍어서 너무 아쉬웠다. 입장료도 저렴하고 관리도 잘 되어 있어서 가족들과 함께 오기 좋은 장소. 덜 붐빌 때 재방문해야지.
30,3.0,2024.02.13.,
31,4.5,2024.02.13.,신기한 나무도 많고 날씨 추운날 온실에서 따듯하게 산책 좋아요! 온실코스는 구경하면서 걸으면 1시간정도 걸리더라구요
32,3.8,2024.02.01.,
