,평점,날짜,후기
0,4.5,2024.04.25.,
1,4.1,2024.03.29.,다양한 동식물을 무료로 관람 할 수 있어 좋습니다.
2,3.7,2024.02.10.,
3,4.0,2023.08.23.,걷기좋은 산책로
4,5.0,2023.08.18.,서울에 편하게산책할곳이 없는데 너무좋아요
5,3.3,2023.05.22.,어린이대공원 짱조와
6,5.0,2023.05.20.,
7,4.5,2023.05.15.,재미있는 공원이었다
8,4.6,2023.03.23.,나들이하기 좋아요!!
9,4.0,2023.02.15.,"사계절이 다 예쁜 공원인데, 봄에 벚꽃도 예쁘고 가을에 단풍이 들었을 때 특히 더 운치있고 예뻐서 계절마다 방문하기 좋은 곳입니다! 면적이 상당히 넓고 쾌적해서 아침 저녁으로 운동하거나 산책하는 분들이 많고 데이트하기에도 좋습니다. 사람들이 더 잘 이용하고 문화생활을 즐길 수 있는 다양한 프로그램과 어린이들이 행복할 수 있도록 지원이 많았으면 좋겠습니다 :)"
10,3.6,2023.02.10.,가을 단풍 명소입니다!! 크고 이쁘고 다양합니다.
11,3.4,2022.08.10.,걷기 좋지만 일부 시설들은 관리가 잘 안되는 느낌이에요
12,5.0,2022.01.10.,"최고,좋습니다."
13,3.4,2021.11.08.,생각보다 좋았던 곳.
14,3.2,2021.10.26.,
15,5.0,2021.10.13.,좋습니다
16,2.0,2021.10.11.,
17,3.3,2021.10.06.,"유년의 추억이 많은 곳,"
18,5.0,2021.09.26.,너무 좋아요
19,4.4,2021.09.19.,
20,4.0,2021.08.10.,"유치원 때 부터 고등학생 때 까지 그리고 대학생 때도 언제나 좋은 기억을 만들어준 고마운 곳. 학령인구 감소로 놀이동산의 놀이기구를 줄이고 관람 시설을 많이 늘려감. 언젠가 인구가 다시 늘어나는 날이 올 때는 꼭 놀이기구를 많이 늘려주어서, 삭막한 도심 속에서도 어린이들이 즐겁고, 소중한 추억을 갖는 곳이 되길 바람. 최근에는 코로나 때문에 운영이 힘들겠지만, 대한민국이 존재하는 그 날 까지 없어지지 말고, 예산을 투입해 끊임없이 개선하여 많은 시민들에게 소중한 추억을 주길. 명불허전 대한민국 대표 놀이동산."
21,4.0,2021.08.01.,너무 더웠음. 근데 동물들도 보고 좋습니다~
22,3.7,2021.07.03.,
23,3.6,2021.07.01.,
24,4.4,2021.06.19.,
25,3.7,2021.04.09.,
26,4.6,2021.03.19.,운동하러 걸어갔다오기 딱좋아요 넓고 이런곳이 집근처에있어서 좋아요
27,5.0,2021.02.17.,
28,1.9,2021.02.14.,
29,3.3,2021.02.03.,최고예요
30,4.4,2021.01.29.,
31,3.1,2020.12.08.,
32,4.3,2020.09.21.,새소리가 좋았어요
33,4.7,2020.08.17.,
34,3.3,2020.07.08.,정말 좋은 어린이대공원 근데 코로나때문에 운영 안하는 곳이 많으니 참고하세요
35,4.6,2020.07.01.,산책하기 정말 좋은 곳
36,4.1,2020.04.11.,동물원 무료 좋아요
37,3.4,2020.03.09.,아이랑 오기 좋아요 아이가 진짜 좋아하네여
38,2.4,2020.02.17.,애들 데리고 산책 나오기 좋은 곳 같네요.
