,평점,날짜,후기
0,4.1,2024.04.29.,
1,4.4,2024.04.28.,
2,4.8,2024.04.27.,벚꽃명소 봄나들이 걷기좋은 포토존 포토존 산책로
3,3.9,2024.04.26.,"생쥐 챗바퀴 놀이를 즐기는 시민들 구경 가능 👍
벚꽃 시즌에 가면 1년동안 볼 커플 수 다 봄 ㅋㅋ"
4,5.0,2024.04.24.,벚꽃명소 봄나들이 걷기좋은 산책로
5,3.7,2024.04.24.,분위기도 좋고 잘 관리되어 있습니다
6,3.3,2024.04.14.,봄날 거닐기 좋아요. 주차가 어려워요. 그냥 걸어가세요 ㅋㅋㅋ
7,4.0,2024.04.11.,
8,5.0,2024.04.11.,
9,5.0,2024.04.10.,벚꽃명소 말모말모 ㅎㅎ
10,4.0,2024.04.10.,4월쯤되면 풍성한 벚꽃이 아름다운곳. 사람은 매우 많고 다들 사진찍으며 즐기기 바쁜곳. 여유있게 한바퀴 도는것도 좋을듯!
11,4.6,2024.04.09.,산책하기 정말좋은곳 ㅎㅎㅎ 사람많아도 기안빨리는 유일한곳
12,4.2,2024.04.09.,
13,3.9,2024.04.08.,사람이 너무 많지만 벚꽃 너무 예뻐요.
14,5.0,2024.04.08.,"석촌호수 벗꽃축제~
행복항 하루~
아름다운 추억~
마음속에 저장~
추억속에 저장~"
15,4.4,2024.04.07.,워매 사람 많은 거ㅜㅜ
16,4.0,2024.04.05.,걷기좋은 봄나들이 산책로 벚꽃명소 포토존
17,4.3,2024.04.05.,"하 인간들 너무 많음 
목요일 1시에 갔음에도 사람들 틈에서 쓸려 다님 주말엔 얼마나 많을지 예상도 안 됨 
카페? 꽉 참 식당? 자리 없음 
씽크홀 또 생기는 거 아님? ㅠㅠ 
그럼에도 벚꽃은 예쁘다"
18,5.0,2024.04.04.,
19,4.2,2024.03.22.,
20,3.5,2024.03.19.,👍
21,5.0,2024.03.13.,
22,4.3,2024.03.09.,
23,4.4,2024.03.09.,
24,4.2,2024.02.27.,
25,4.7,2024.02.14.,"The best time to visit this lake is spring,  I think. Looks so beautiful when the cherries blossom bloom"
26,4.1,2024.02.13.,걷기도 좋은 곳입니다.(특히 1월은 더)
27,3.7,2024.02.13.,
28,2.7,2024.02.05.,관리 잘되어 있음 굿
29,5.0,2024.02.03.,
30,5.0,2024.01.28.,
31,4.6,2024.01.25.,
32,4.3,2024.01.23.,
33,3.0,2024.01.23.,
34,4.4,2024.01.20.,산책하기 좋은 호수예요
35,4.8,2024.01.18.,"Beautiful location to walk around the lake and see Lotte World. There were a lot of people, but everyone was very respectful and it felt very safe."
36,1.0,2024.01.02.,여자 시체 나온 호수
37,2.8,2024.01.01.,무난
38,4.5,2023.12.05.,
39,5.0,2023.11.22.,
40,3.6,2023.11.02.,
41,5.0,2023.10.27.,
42,4.8,2023.10.14.,저녁이든 아침이든 전부 이쁜 포토존
43,2.9,2023.10.13.,"사람이 많은것만 아니면 너무나 좋은곳 가끔은 물비린내가 나긴 해요. 노름하는 할아버지들
제발 이제
그만!!! 할배들때문에 많은 편의시설이 사라지고 있음 ㅡㅡ"
44,5.0,2023.10.12.,예쁘
45,5.0,2023.10.09.,
46,5.0,2023.09.22.,걷기좋은
47,4.1,2023.09.19.,일본인 친구 와서 잠깐 돌았는데 좋다
48,5.0,2023.09.13.,
49,5.0,2023.09.01.,
50,4.0,2023.09.01.,주변 카페등 많아서 날 좋을 때 산책하기 좋고 놀이공원 가고 싶게 되는 길이에요😊😊
51,5.0,2023.08.31.,
52,4.5,2023.08.14.,
53,3.8,2023.08.10.,
54,2.8,2023.08.01.,한강물끌어다가 돈 10원도 안내는 일본기업 ○데호수 잘만놀러가는 개호구들 많음
55,3.3,2023.07.29.,좋아요
56,5.0,2023.07.27.,
57,4.4,2023.07.23.,
58,4.9,2023.07.22.,
59,4.0,2023.07.22.,산책하기 너무너무 좋았습니다 !
60,5.0,2023.06.30.,
61,5.0,2023.06.24.,
62,4.0,2023.06.23.,"서호는 매직아일랜드를 구경할 수 있다.
자이로드롭, 아틀란티스, 자이로스윙 등등.
청춘남녀들의 희노애락 터지는 환호소리와 비명 그리고 욕설들을 듣고 싶으신 분들은 오시라!
점심, 저녁식사 후 가족, 친지, 지인들과 걷기 좋은 곳."
63,4.8,2023.06.13.,
64,5.0,2023.06.10.,벚꽃시즌에는 사람이 많긴해도 함께 걷기 좋아요
65,3.9,2023.06.07.,경치 좋고 걷기는 좋은데 커플들 없이 조용한곳에서 진짜….. 나 혼자 걷고 싶다고 좋은곳인건 틀림없는데 사람들 많아져서 너무 시끌시끌해짐.. 윽 다들 사진 찍느라 바쁘느라고 내가 제대로 된 경치를 느끼면서 산책을 할수가 읎다 😥
66,4.1,2023.06.01.,간단하게 산책하기 좋지요
67,5.0,2023.05.27.,
68,5.0,2023.05.25.,
69,3.6,2023.05.20.,아무생각 없이 걷기 좋아요
70,5.0,2023.05.19.,벚꽃명소 봄나들이 걷기좋은
71,4.5,2023.05.15.,this예쁜 대형 녹조라떼
72,4.5,2023.05.14.,"뷰가 좋았다.
또 가고 싶다."
