,평점,날짜,후기
0,5.0,2024.02.21.,좋아요
1,4.9,2024.01.09.,
2,3.0,2024.01.05.,
3,4.7,2023.12.24.,
4,3.3,2023.05.19.,고향같이 푸근한 곳
5,1.0,2023.05.12.,
6,5.0,2023.05.07.,
7,2.1,2023.05.06.,뷰가 너무 좋았네요..근처 카페도 많으니 잠시 쉬어가시는 것도 추천
8,4.0,2023.05.06.,굿
9,4.8,2023.05.04.,둘레길을 걷고 이쁜 카페에서 차 한잔도하고~~~
10,4.9,2023.03.20.,
11,1.2,2023.01.01.,
12,4.7,2022.06.17.,너무 좋아요 저수지가서 힐링되고 왔어요
13,5.0,2022.04.08.,
14,3.1,2022.02.20.,
15,5.0,2021.12.28.,예쁜 카페가 너무 많아요.
16,5.0,2021.05.26.,
17,5.0,2021.03.21.,
18,5.0,2021.03.17.,
19,4.9,2021.02.07.,평일 아침에 갔습니다. 정말 한산하고 평화로웠던 곳
20,4.2,2020.11.08.,"고복저수지 한바퀴  걷는데 1시간 30분 소요.
테크길 편도 한시간. 되돌아 올때는 반대편 도로로 30분. 가을 햇살에 비타민D 맛있게 먹으며?^^  걷기 좋음!"
21,5.0,2020.10.12.,산책로로 좋아요
22,3.6,2020.05.01.,"저수지가 생각보다 커요, 산책할수있는 나무다리도 엄청길더라구요. 이쁜카페도 있구. 드라이브로도 좋았습니다"
23,3.0,2020.04.19.,"세종에서 유일하게 유명한 저수지...
인근 와서 갈곳 없으면 여기 오시고 커피숍도 주변에 있으니 한번 바람쐬러 가시면 됩니다.
저수지 테두리에 산책할수도 있어서 좋습니다."
24,4.3,2020.03.06.,호수가 좋아요
25,3.1,2018.04.17.,시원하게 탁 트인 전경이 일품인 저수지.
26,4.4,2016.04.11.,벚꽃 ㅎㄸㄸ
