,평점,날짜,후기
0,4.1,2024.04.22.,남녀노소 방문하기에 너무 좋다. 가격도 저렴하도 공간도 엄청 다양하게 넓어서 좋다. 양산이나 우산도 빌려준다.
1,5.0,2024.04.21.,
2,4.4,2024.04.21.,
3,4.3,2024.04.20.,
4,3.9,2024.04.18.,"설날에 갔는데도 너무 좋더군요. 가족들과 또 함께 하고싶어요. 묘목, 건물 다 너무 예쁩니다."
5,5.0,2024.04.17.,"잘가꾸어진 온실, 최고였습니다."
6,2.0,2024.04.13.,
7,2.8,2024.04.09.,
8,3.8,2024.04.07.,나들이하기 너무 좋은 곳이에요
9,2.9,2024.04.01.,
10,3.5,2024.03.31.,뷰도 좋고 여기저기 편의점 있어서 좋음
11,3.2,2024.03.23.,온실원이라고 해야지 수목원은 아닌데요  나무를 울창하게 가꿔주세요 잔디밭은 호수공원 으로 충분함
12,3.1,2024.03.16.,"몇몇은 생각을 일률적으로만하는 바보들같네
수목원을 완성된 상태에서 개장하는줄 아는가봐 사실 너무 크다보니 휑해 보이는건 맞는데 원래 차츰 보완하는거고 묻고싶은게 댁들  태어날때부터 현재 신장이었나? 나무들도 저마다 생장 속도라는게있는데 울창해지려면 세월이 흘러야된다는걸 모르는건지? 다른 수목원들은 그만큼 오래됬으니까 울창한건데 그런곳들하고 비교를 한다는게ㅎ 뭣도 모르면서 단순히 징징거리는 불편러들은 수목원(식물원) 이용할 자격없다! 추가로 정당한 댓가를 치루지않는걸 당연시하는 그지 근성들도 마찬가지^^"
13,4.5,2024.03.13.,
14,5.0,2024.03.08.,
15,3.6,2024.02.29.,
16,3.8,2024.02.23.,
17,4.2,2024.02.19.,프로그램도 다양하게 운영중이고 식물 관리도 정말 잘 되어 있어요. 겨울에도 열대 온실은 더우니 안에 반팔 입고 가세요. 주차공간 넓직하고 수도권에서 방문해도 만족스러워서 자주 방문하고 싶은 곳입니다🧡
18,3.2,2024.02.17.,
19,3.3,2024.02.13.,"산책 코스에 퀘스트가 있어서 깔끼하게 걷고 왔습니다.
퀘스트 완료 시, 씨앗을 줍니다!
바질이랑 봉선화 받았습니다! 😄"
20,4.0,2024.02.12.,
21,4.3,2024.02.09.,"입장료 저렴하고 시설 쾌적해요
봄이 오면 자주 가고싶네요"
22,5.0,2024.02.08.,
23,3.8,2024.01.28.,Good
24,5.0,2024.01.23.,
25,2.6,2024.01.20.,너무너무 잘꾸며져있고 입장료도 싸서 기분좋게 다녀왔어요~~ 날씨 좋은날 전체 둘러보고 싶어요 ^^
26,5.0,2024.01.14.,아이와 방문하기 좋은 곳입니다 잘 꾸며져 있어요🤗
27,4.4,2024.01.13.,동식물을 다 볼수있음! 산책하기 좋음
28,4.3,2023.12.29.,"넓고 물과 나무가 어우러져 경치가 좋아요.
온실도 여러동이 있어서 겨울에 방문해도 좋습니다."
29,3.6,2023.12.29.,"식물 좋아 하시면 가볼만 합니다. 키우고 싶은 식물이 잔뜩 늘어나고 보는 눈이 커진 것 같습니다.
 또한 식집사들을 위한 상담도 합니다. 상담 받아봤는데 안타깝게도 상담 받은 식물은 못 살릴 것 같습니다. 상담 받으면 씨앗도 주십니다. 얼른 싹이 났으면 좋겠군요. 전시된 다양한 식물들에 비해 아쉽게 판매하는 식물들의 종류는 그리 다양하지 않습니다.
 가족단위 관람객이 많습니다. 보호자분들에게 아이가 전시되어있는 식물과 물건들을 함부로 만지지 않게 알려줄 수 있는 안내가 있다면 더욱 좋을것 같습니다."
30,4.5,2023.12.28.,언제나 꽃과 식물로 눈 호강을 하는 곳~~~
31,4.2,2023.12.24.,나들이 다 좋은데 입장료가 비싸죠. 음식도 좀 비싸요. 자연의 맛이 좀 떨어집니다. 그래서 3점
32,4.8,2023.12.24.,
33,3.9,2023.12.08.,기대안하고가면 괜찮음
34,4.5,2023.12.05.,나들이 갈때 좋고 9월? 10월에 야간개장도 함
35,4.0,2023.11.27.,너무너무 넓고 좋음. 가을이나 봄에 한번 더 와야할듯.
36,3.6,2023.11.25.,"봄에 가면 더 예쁠듯 함
11월에는 온실구경은 좋았음
애기들이랑 같이 간다면 스탬프 투어 추천!"
37,3.8,2023.11.19.,
38,5.0,2023.11.17.,
39,4.8,2023.11.17.,나들이
40,4.3,2023.11.13.,와이프와 행복한 데이트했어요  ^^
41,3.9,2023.11.13.,식물원을 많이 가봐서 그런지 다양하거나 특별히 잘 꾸며놨다는 느낌은 그닥 없었어요.. 세종 시민은 할인해서 그런지 세종시 사람들이 거의 대부분 같았어요. 식물이 옹기종기 모여있어서 사진찍기는 편했어요. 밤에 가는걸 추천해요.
42,4.2,2023.11.04.,여기 조아요 넘 재밌었음 ㅋㅋㅋㅋㅋㅋㅋ
43,3.2,2023.11.03.,좋아요 굿
44,4.5,2023.10.30.,
45,4.2,2023.10.22.,가까운 곳에 수목원이 있어서 좋아요!  세종시민 50% 할인. 행사가 많아 무료이용하는 날도 많음.
46,5.0,2023.10.15.,
47,3.3,2023.10.10.,그래 이 정도 규모는 돼야지
48,3.0,2023.10.02.,
49,2.7,2023.09.30.,"야간개장 구경하러 다녀왔어요
호롱불도 받고 야간에는 처음 가봤는데 야경도 볼 수 있고 좋았어요
다만 사람이 많아서 이런 행사 중에는 늦게 가면 주차 어려울 수 있어요"
