,평점,날짜,후기
0,5.0,2024.01.23.,
1,4.0,2024.01.07.,가을 억새밭이 유명한데 다른 계절도 운치가 있습니다
2,4.0,2023.11.24.,억새밭 👍
3,4.5,2023.11.12.,"풍경은 그림!!

바람진짜 많이 불어서 손이 시리니까 이제는 장갑끼고 마스크하고 귀마개하고 만반의 준비를 다하고 가세요. 밖에서 먹는 라면은 비추. 손이 얼어요.."
4,4.4,2023.11.07.,바람은 많이 불지만 눈호강하고 왔네요
5,4.6,2023.11.04.,억새밭 멋지네요
6,3.6,2023.10.28.,"대학 동아리에서 다같이 우르르 가 본 잊지못할 추억..이 될 곳. 능선타고 올라가면 시간 덜 걸렸을텐데 아쉽. 평소 운동을 하지 않는 초심자에게는 추천하지 못할 곳.
내일 몸살 예약 = 단풍 + 프라이빗 바위 뷰 + 억새밭. 순간과 추억을 위한 나름 좋은 등가교환(?) 일지도. 평생 한 번은 올만한 곳.
간월꼬부랑 11-11 완클... c Аима"
7,4.0,2023.10.21.,
8,3.5,2023.10.13.,
9,4.5,2023.10.12.,인생샷 바로 건질 수 있는 간월재ㅋ 굳
10,4.9,2023.10.05.,"변화무쌍한 날씨를 제대로 느꼈습니다~
비가 오지않았으면 더 좋았겠지만!!!
운치있는 풍경과 비에 새앙쥐마냥 홀딱 젖어버린 경험도 꽤나 즐거웠습니다!
사슴농장에으로 가서 복합웰컴센터로 내려가는분들은 공룡능선은 죽음의 길입니다... (산 경사면에  웬 밧줄이...) 비박하는 분들께 여쭤보지않고 다음맵지도 보고 갔다간 이 글도 못 쓸뻔...
간월재휴게소 정면으로 오른쪽 간월산길(간월꼬부랑)로 가다가 이정표 잘 보고 샛길로 빠지셔야해요!!
포장도로라고 행복하게 내려가다 길 잃고 멘탈터진 경험담... 뭐 초행길인분들은 도움이 되려나.??
그리고 등산화 필수!!!!!! 돌계단 돌길이라 매우 험난하네요! 나중에 억새 더 완연해졌을때 또 가고싶어요!! 준비 제대로해서!!"
11,4.5,2023.09.09.,
12,5.0,2023.06.12.,
13,4.0,2023.05.22.,"입이쩍 벌어지는 나이스뷰는
인생 베스트샷에 랭킹급."
14,4.5,2023.05.03.,"10월말 억새 컵라면
한국사슴농장(해발600m)~
해발905m 왕복3시간12km

통도사 진하해변

배내통하우스 코코무 금호정"
15,5.0,2023.03.01.,아름다운 기억!
16,4.5,2022.10.29.,간월재 억새평원 아름답네요.
17,4.0,2022.10.25.,
18,4.1,2022.10.11.,"십년만에 다시 방문한 간월재는 여전히 많은 사람들이 찾네요! 왕복 4시간 걸렸지만 정말 영남의 알프스라는 표현답게 아름답고 멋진 곳이에요 :) 어린 아이들, 강아지들도 많이 보였어요! 정상에서 다들 정말 라면 많이들 드시더라는 ㅎㅎ 정상은 정말 냉장고에 들어온마냥 추우니 조심하세요!"
19,4.6,2022.09.08.,사슴 농장 쪽으로 올라오면 1시간 반동안 터벅 터벅 걸으면 됨 뭐 언덕이나 계단이 없어 매우 편한 코스. 다 올라와서 라면먹으니 꿀맛👍
20,3.8,2022.01.26.,"완만한 경사가 끝없이 이어진 등산로 
산을 돌고돌고 돌아서 간월재에 도달하는듯 ㄷㄷ
도착해선 멋있고 좋았지만 
바람이 지나가는 길인가? 바람때문에 춥고 정신못차림
라면파는 매점도 있지만 안에서 먹을순 없었음
억새밭이 사진이 기깔나게 잘나옴"
21,4.4,2021.11.03.,"아이 어른 상관없이  오는 수 있는곳
꾸준히 걸어야 하는 시간이 조금ᆢ
선택길이 많음"
22,5.0,2021.10.23.,
23,3.4,2021.10.10.,
24,3.8,2021.09.17.,
25,5.0,2020.11.08.,
26,4.8,2019.10.30.,"가을 억새 명소입니다. 
웰컴센터애서 오르다보면 공룡능선을 볼 수 있는데 풍경이 정말 예술입니다bb"
27,5.0,2019.10.06.,
28,4.1,2016.08.28.,억새 명소
29,3.1,2016.03.13.,
