,평점,날짜,후기
0,5.0,2024.03.17.,
1,2.7,2024.01.02.,"네비 등록하고 목적지 도착 했는데 간판도 없고 입구를 몰라 010 7311 6813 전화 해도 연결도 안되네요
이런곳이 있을까 두리번거리다가 그냥 왔죠"
2,4.1,2023.08.23.,너무 귀여웠어요 또 가고싶어요 직원분들 너무 친절하시고 동물 소개도 열심히 해주셨아요
3,3.8,2023.02.11.,"처음 입장했을때 생각보다 작다라고 느꼈지만 생각보다 볼 동물들도 많고 무엇보다 직원분들이 친절하게 소개해주셔서 좋았어요!
다 봤다 싶다가도 새로운 친구들을 연이어 소개시켜주시고 사진도 잘 찍어주셔서 좋은 추억쌓고가요!
(민식님 위에 올라가계신 양아치 친구 ㅋㅋ)"
4,3.9,2023.01.14.,"직원분들 친절하고 동물들과 교감해서 좋긴한데
동물들도 직원들에게도 구경하는사람들에게도 환경이 너무 안좋은거같아요 라마인지 사슴인지 구토하고 돼지가 그거 바로 받아먹고ㅠ.. 밖에 나와있는 사슴류들은 상처도많고 털도 듬성듬성해서 좀 불쌍했어요. 좁은 공간에서 똥치우고 털치우고 손님들은 서로보겠다고 우르르 몰려다니고 먼지가 너무 심하고 향초를 군데군데 피워놨는데 문은 다 닫혀있어서 머리가 너무 아프더라구요. 향초 너무 오래 피우고있음 기관지에 진짜 안좋아요 일산화탄소도 나오고요.. 동물냄새 없애려고 피우신거같은데 그냥 공기청정기 큰거 돌리심이 ㅠㅠ 모두의 수명을 단축시키는 지름길같아여..잠깐 있었는데도 머리가지끈했는데 직원분들이랑 동물들은 오죽할까..ㄷㄷ 환기도 주기적으로 시키고 브레이크타임도 넣으시는게 좋겠어요. 동물아이들이 대부분 좀 힘이없어보여서 안타까웠어요"
5,2.6,2022.08.14.,
6,2.8,2022.07.17.,"정말 좋아했던곳인데

기존에 볼 수 있던 동물의 3분의 1을 
다른 사업장으로 옮겼다내요..
황당하게도 가격은 올렸습니다
알파카 사슴 계속 다가와서 옷이고 머리카락이고 물어뜯고
찌린내 정말 숨쉬기 힘드내요
이 좁은 곳에 애어른 못해도 20명은 함께 있는데
정말 곤욕이내요
아이가 졸라서 왔는데


날씨만 덥지않으면 울산대공원 동물원가지
두번다신 안오겠습니다"
7,1.9,2022.04.23.,동물은 예쁜데 사람들이 너무 동물에 대한 예의가 없네요 특히 아이들; 가만히 보고있는 부모도 답이 없음. 보고 있다가 개화남 자꾸
8,3.9,2022.01.25.,동물 좋아 하면 애 없어도 기분 전환차 가기 좋은곳!
9,4.6,2021.08.27.,"알파카가 내손 씹어먹음..ㅋㅋㅋㅋㅋㅋ

살살깨물어 준건지.. 사람이빨 같아서 아프진 않네요

사장님도 이것저것 체험 해보게 해주시고 좋았어요


녹차라떼 맛집임!!"
10,4.2,2021.08.03.,"동물 관리해주시는 사육사 언니 오빠들도 엄청 친절하셨고 , 딱 사람 몰리는 시간만 피하면 진짜 좋을거같아요 ! 동물들도 엄청 착하고 특히 알파카 친구 인형같았어요.. 타지에서 왔는데 새로운 이색 데이트 너무 좋았어요 혹시나 키즈카페라서 젊은분들이 가기 두렵다면 걱정 마세요 ! 저희도 걱정많이했는데 은근 커플들도 많이와요 8월 3일 오전에 계셨던 직원분들 너무 친절했었어요 !!"
11,5.0,2021.04.09.,"진짜 실내동물원중 최고!
울산 필수방문코스!"
12,2.2,2020.10.27.,
13,5.0,2020.09.16.,또가고싶어요
14,5.0,2020.09.11.,
15,3.7,2020.01.01.,사육사분들도 다들 너무 친절하시고 동물들도 엄청 많아요!!가격도 별로 안비싸고 좋아요 특히 동물들 관리를 무척 잘해주시는지 냄새도 안나요!평소에 잘 못보던 동물들 만져볼수있고 그래서 좋았습니다!
