,평점,날짜,후기
0,5.0,2024.04.13.,
1,3.5,2024.04.13.,"비수기라 그런지 생각보다 큰규모치고는 막 그렇게 볼만한건 없었고 어느 부분은 물도 많이 떨어지고 물도 고여있었습니다.
동굴안에 음식점? 카페? 같은건 운영을 안했고
(저는 평일 오후에 가긴 했습니다.)
아이들이 좋아할만한 공룡부스? 같은곳은 공룡 이빨이나 손가락도 다 부숴져서 관리를 안하시는건가.. 싶었어요
분수대 고래도 이끼가 다 끼고 ㅠㅠ
전체적으로 입장료 대비 많이 아쉬웠습니다.
하지만 주차장도 넓고 화장실도 크고 깨끗해요
그래도 차라리 사람 너무 많아서 복잡한거보다 여유롭게 보고 구경하는게 좋았던 것 같습니다.
평일이여도 사람은 꽤 있었거든요
좀 더 관리가 되고 다른 볼거리와 체험적인게 더 추가가 된다면 재방문의사는 있습니다."
2,1.9,2024.03.24.,아이들가는곳 6세 ~10세 어른들 가기엔 그닥
3,4.0,2024.02.29.,"자수정을 '채굴했던' 동굴입니다. 지금은 그냥 동굴이고 자수정은 시멘트로 붙여놓은것 조금 빼고는 없습니다. 
보트는 비추합니다. 
보트 타고 제자리서 빙글빙글 돌고 왔던 곳 다시가고 왜 그러나 했더니 좁은 곳에서 그냥 볼게 없어서 그런거였습니다. 꾸며 놓은건 있지만 그냥 90년대에서 멈춘 느낌이랄까.. 그리 추천하는 곳은 아닙니다."
4,4.3,2024.02.11.,"와 ㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 너무너무너무 조잡함
자수정동굴인데 자수정보다 다른 게 너무 많아요"
5,5.0,2024.02.10.,
6,3.3,2024.01.23.,
7,2.4,2024.01.09.,양아치들아 제발 남들에게 피해주지 말고 살아라
8,5.0,2024.01.06.,"오후되니 눈이 녹아서 조금 아쉽다
비닐 안쳐진 평상 공짜라서 텐트 필수
요리해먹기도 좋다!!
주차는 정문 후문 어디에 주차해도 괜찮음
아아들이 좋아해서 또 방문의사있음"
9,4.0,2023.12.31.,"애들과 가면 좋아요
나들이 추천합니다"
10,4.8,2023.12.26.,
11,3.3,2023.12.19.,
12,4.0,2023.11.20.,"동굴보트 탈만함.
동굴도 안이 넓어서 걸어다니기 편함.
여름에 피서하기 좋은곳"
13,5.0,2023.11.07.,
14,4.5,2023.10.31.,
15,5.0,2023.09.19.,
16,4.5,2023.09.10.,
17,2.5,2023.09.08.,"동굴 안에서 보트 타는건 그 자체로 특별함.
보트엔진 매연냄새는 어쩔수가 없음.

아이들 데려가기엔 괜찮고, 어르신 모시고 가기엔 볼거리가 부족.
공룡, 원시인 이런것들?
자수정에 관한 내용, 역사들이 더 많았으면 좋겠음."
18,3.3,2023.09.06.,만족만족합니다 만족만족합니다
19,4.1,2023.09.06.,"예전에 가서 좋았던 기억으로 근처갔다가 너무 더워서 들렀어요
이번엔 아이와 함께 ㅋㅋ 16개월이라 무료여서 더 좋았네요 
근데 예전보단 시원하지 않아요 
그땐 입김도 나오고 땀이 쏙 들어가서 오히려 반팔은 추웠던 기억이 있거든요 
아이가 있어 긴옷을 손에 들고 들어갔는데 계속 들고만 있었네요 ㅜㅜ
저는 아이때매 더 더워서 땀 뻘뻘 ㄷㄷ
그래도 예전엔 그닥 구경 거리는 없었던거 같은데 지금은 많이 바꼈네요 
더 다양해진거 같아요
아이랑 구경하기도 좋았어요 
꼭 한번쯤은 가보셔도 좋을거 같아요 
저는 아이가 좀더 크면 가야겠어요 보트타러 😂 
근데 진입로가 두가지인데 
네비따라갔더니 물놀이장이 나와서 헤맷네요 
거기서부턴 길이 있는지 없는지 안내도없고 
헷갈려서 그냥 멀리보고 짐작으로 올라갔어요 
나올때보니 두갈래길이 만나더라구요 ㅡㅡ
표시를 좀 더 자세히 해두면 좋을거 같아요"
20,4.4,2023.09.01.,더운 여름엔 무조건 동굴로 가세요 에어컨보다 더 시원함
21,4.5,2023.08.29.,
22,4.0,2023.08.16.,
23,4.7,2023.08.14.,입구부터 시원하고 좋은데 음수대 수질검사지가 19년도라 그냥 손만 적시고 나왔네요 빠른 시일 내에 검사하면 좋겠네요
24,3.7,2023.08.11.,"더울 때 방문해서 구경하고 다녀 오기 좋은 곳인데~
매번 갈때마다 시설 변화가 없는게 아쉽습니다."
25,5.0,2023.08.10.,
26,5.0,2023.08.03.,
27,4.0,2023.07.31.,
28,5.0,2023.07.22.,
