,평점,날짜,후기
0,3.6,2024.04.19.,"은근 볼거 많고 흥미로움
입장료도 저렴하고 대중교통이 아주 편하지는 않지만 근처 왔다면 가볼 만하다"
1,5.0,2024.03.17.,
2,3.4,2023.09.30.,
3,4.6,2023.08.22.,"볼거없고 미지근하게 습함
아이들은 좋아할지도?
폭포있는 곳 마지막 작은 동굴이 젤 예쁨 
인스타 광고하는 불빛 많은 거북이 있는 곳"
4,3.6,2023.08.10.,아이와 구경하기 좋은곳이었어요 좋습니다
5,4.1,2023.08.05.,"딱히 볼건 없음
타지역에서 가볼만한 곳은 아닌듯
동굴치고 더워요"
6,4.2,2023.08.04.,아이들과 함께 방문하기 좋습니다. 주차장과 넘 멀어 조금 힘들었네요~
7,4.0,2023.08.04.,짧은 코스이긴 하나 울산 갔다면 사진 찍기 좋은 곳
8,3.5,2023.07.26.,"동굴 내 일제강점기의 역사 설명이 좋았어요.
7월달 무더운 날씨에 시원함을 느끼러 갔지만 
시원하진 않아요. 동굴 내 다양한 볼꺼리를 만들었어요.
방문객이 없어 여유롭게 보다 나왔는데 생각보다 길이가 짧습니다."
9,5.0,2023.07.25.,
10,5.0,2023.06.23.,https://m.blog.naver.com/altjd489/223136358440
11,4.8,2023.05.23.,태화강 동굴피아 추천합니다.
12,4.0,2023.05.19.,
13,4.8,2023.05.04.,"입장권 발부부터 내부 입장관리 해주시는 분까지 모두 친절하시고 생각보다 예쁘게 관리가 잘되어있어서 친구들과 좋은시간 보냈습니다.
추자장이 생각보다 멀리있어서 입장마감시간 넘을까봐 조마조마했던 순간까지 추억이 되었네요 :)"
14,3.7,2022.08.17.,너무 즐겁고 재밌어요 입장료가 아깝지 않게 알찹니다 컨츠텐츠가 끊이지 않아요
15,2.0,2022.05.30.,애들이 좋아해서 갔었는데 갈때마다 느끼지만 질서란 없음 주차장 새치기 장난아니고
16,1.0,2022.02.01.,"입장객도 없는데 관리비 만 엄청 많이 들고 세금 
 잡아먹는 하마 빨리 폐쇄가 답이다"
17,3.2,2021.09.27.,
18,4.5,2021.04.24.,"크지 않은 시설이지만 재미와 역사적배경, 볼거리까지 만족스럽다. 이천원 입장료도 아깝지 않음."
19,2.1,2021.02.10.,현재는 코로나로인해 휴장입니다 알아보고가세요
20,3.7,2020.08.06.,
21,3.6,2020.05.14.,돈들여서 이것저것 만들었으나 별건 없음. 오히려 역사 설명판이 좋았음. 당시 흔적이 남아있다면 좋았을텐데 죄다 새거라 그냥 동네 동굴 느낌.
