,평점,날짜,후기
0,5.0,2024.04.03.,
1,3.3,2024.03.10.,
2,3.2,2024.03.04.,
3,3.8,2024.02.04.,
4,3.7,2024.02.03.,
5,3.8,2023.12.02.,벚꽃명소
6,4.2,2023.11.18.,
7,5.0,2023.11.08.,
8,4.5,2023.09.02.,
9,4.0,2023.08.13.,벚꽃명소
10,3.3,2023.08.04.,기억이 안 남
11,3.5,2022.12.14.,예전에 동화 마을에 대한 기억이 굉장히 좋게 있어서 재방문을 했습니다 방문하지 않은 그 기간 동안 엄청난 변화가 있었고 물론 예쁜 그림들과 조형물들은 더욱 많이 늘어났지만 어쩐지 사람의 냄새를 느낄 수 없고 시설들만 관리받고 있을뿐 그곳에서 장사를 하거나 터를 잡고 있던 사람들은 관심이나 관리를 받지 못한 듯 대부분이 떠났으며 죽어가는 동네가 되고 있다라는 느낌을 받았습니다
12,3.8,2022.11.22.,예전같지않네요 여기도
13,3.2,2022.11.12.,무난한 벽화마을
14,4.6,2022.10.14.,좋았다
15,1.9,2022.10.12.,벽에 낙서좀 하지 말자. 중국인이랑 다를게 없네
16,4.4,2022.08.27.,차원이 다른 벽화마을
17,5.0,2022.05.06.,
18,3.1,2022.03.09.,
19,4.5,2022.01.30.,
20,4.2,2021.10.31.,
21,4.7,2021.07.01.,
22,5.0,2021.05.28.,
23,3.7,2021.02.20.,넘 기대말고 사진찍으며 간단히 보시면 갠츈
24,2.7,2020.10.19.,
25,3.4,2020.07.09.,
26,4.4,2020.06.10.,
27,4.0,2020.05.01.,"인천여행으로 이곳을 찾은 관광객은 ""마을 벽에 그려진 동화의 주인공이 막 뛰쳐나오는 것 같도록 가능한 한 리얼하게 꾸며져 있다.""라며 ""친구들과 동심에 세계로 온 것 같아 동화 속 백설 공주처럼 멋진 추억을 사진에 담으며 즐거운 시간을 보내고 있다""라고 말했다. 연인, 친구, 가족단위로 찾는 관광객들의 발길이 송월동 동화마을로 찾아와 활기를 불어 넣고 있는 곳으로 인천을 대표하는 관광명소로 탈바꿈하게 되었다."
28,4.1,2020.01.13.,별 기대 안했는데 꽤 이뻐서 당황;;
29,3.9,2019.10.29.,
30,3.6,2019.10.06.,
31,3.0,2019.09.29.,
32,3.8,2019.08.05.,넘 조잡해보이네요. 애기들은 좋아할듯
33,4.2,2019.03.10.,
34,4.1,2019.01.23.,
35,3.9,2018.09.25.,차이나타운에서 밥먹고 소화시킬겸 사진 찍을겸 산책 코스로 나쁘지 않음.
36,4.1,2018.06.04.,
37,3.1,2018.01.14.,동화마을.
38,4.0,2017.11.18.,
39,3.6,2016.12.17.,
