,평점,날짜,후기
0,5.0,2024.04.29.,
1,5.0,2024.04.26.,"분위기 
맛 
데이트
유람선 최고 꼭 타야함 
재방문"
2,2.2,2024.04.20.,"잡상인 노점상들 철거해라
게다가 음료수 가격 간식 가격이 왜케 비싸냐?"
3,5.0,2024.04.04.,
4,3.8,2024.03.22.,추운날 월미도에 왔어도 기분은 좋았습니다
5,4.8,2024.02.26.,
6,3.8,2024.02.15.,
7,4.0,2024.01.15.,
8,5.0,2024.01.07.,
9,5.0,2024.01.04.,
10,5.0,2024.01.02.,
11,3.7,2023.12.30.,
12,3.6,2023.12.24.,화창한 날 드라이브라면..
13,4.5,2023.12.23.,
14,5.0,2023.12.13.,주차시설완벽해요
15,3.9,2023.11.24.,
16,5.0,2023.11.12.,
17,5.0,2023.11.08.,"평일 저녁 월미도는 한산했다. 계획없이 버스를 검색해 두어 번 갈아타 정류장에 내렸다. 음산한 모텔 거리와 스크린 야구장을 지나 해안공원 쪽으로 향했다.

서로 사진 몇 장 찍어 주고선 횟집을 찾았다. 바다는 잘 기억나지도 않는다. 어차피 바다를 보는 것보단 멀리까지 바다 보러왔다는 감각이 중요했다. 식당 한 군데에 들어가 회 가격을 묻자 사장님은 오만 원을 불렀다. 비싸다 하자 둘이서 사만오천 원에 맞춰주겠다 했다. 회는 맛있었지만 양이 적어 감자샐러드만 세 번을 리필해 먹었다. 처음엔 쓸개까지 내어 줄 것처럼 호객하던 사장님은 점점 퉁명스러워졌고 우리는 어른이 우리에게 그러는 게 웃겨서 마주보고 킬킬대며 매운탕까지 먹고 나왔다. 스무 살이었다.

식당을 나오니 버스가 끊겨 있었다. 열두 시가 좀 넘은 시간이었는데 어떡할지 고민하다 히치하이킹을 시도했다. 도로 위에 서서 낄낄대며 엄지손가락을 세우고 손 흔들며 차 몇 대를 보냈다. 그러다 승용차 한 대가 서더니 어디 가는지 물었다. 삼십대 초반으로 보이는 남자 둘이 타고 있었다. 우리는 인천 시내까지만이라도 데려다 달라했고 그들은 흔쾌히 우리를 태웠다.

가는 길에 작은 슈퍼가 열었길래 내려서 함께 담배를 샀는데, 당시 단종되어 가던 레종프레쏘였나 하는 담배를 기막히게도 판매하는 걸 보고선 친구가 신나서 당장 샀다. 그 담배를 서랍 속에 넣어 두면 서랍 열 때마다 헤이즐넛향이 진동을 한다느니 하며 고속도로를 달리는 내내 아저씨들과 떠들었다. 블루투스 스피커로 이하이의 한숨이 나왔는데 노래가 너무 슬프다고 불평하자 아저씨들은 기가 차 하면서도 다른 노래로 넘겨 주었다. 시내 분기점에 다다랐을 때 우리는 시끄럽게 인사하며 그 차에서 내렸다. 야간버스를 타고 기숙사로 얌전히 돌아와 골아떨어졌다. 성인 되고 처음 가본 바다였다."
18,4.8,2023.11.01.,
19,5.0,2023.10.20.,
20,3.2,2023.10.14.,예전그대로 애들 가는곳
21,4.3,2023.10.09.,
22,5.0,2023.10.09.,
23,3.5,2023.10.03.,
24,3.1,2023.09.17.,
25,4.9,2023.09.16.,
26,4.3,2023.09.15.,It’s okay.
27,5.0,2023.09.04.,
28,5.0,2023.08.28.,
29,4.0,2023.08.27.,
30,5.0,2023.08.27.,
31,4.2,2023.08.26.,
32,3.2,2023.08.25.,날씨 좋을 때 오면 더 좋을 것 같아요^^
33,5.0,2023.08.18.,
34,5.0,2023.08.07.,
35,4.4,2023.08.06.,뷰 👍
36,4.2,2023.08.04.,놀이기구도 있도 밥집들도 많았지만 그닥… 해변도 없었고 그냥 무난..
37,3.8,2023.08.03.,
38,3.0,2023.07.30.,
39,4.3,2023.07.19.,데이트나 가족 나들이 장소로 좋습니다~
40,5.0,2023.07.10.,
41,4.0,2023.07.07.,
42,5.0,2023.07.05.,"오랜만에 갔는데 많이 변했더라구요!
가끔 힐링 하러 가기에는 너무 좋은거 같아요^^"
43,4.4,2023.07.03.,
44,4.9,2023.06.26.,
45,4.3,2023.06.24.,"박효신 닭꼬치 아저씨. 
더운날 뜨거운 불 앞에서 비싼닭꼬치 파시면서 힘든건 알겠지만, 조금만 더 친절했으면 좋겠습니다. 
휴양지는 친절, 노바가지 그래야 사람들이 많이가지요. 그래야, 사장님도 좋구요.
기분 많이 상했지만, 아들이 더운데 불앞에 있으면서 많은 사람을 상대하니 이해해주시라 해서 돌아왔습니다.
닭꼬치 맛은 일품입니다."
46,5.0,2023.06.18.,
47,4.0,2023.06.10.,
48,2.2,2023.06.02.,
49,3.6,2023.05.27.,"처음으로 가봤는데 한번 가면 딱히 더 안가도 될 걸 같습니다..
기본적으로 주말에 가면 주차 전쟁이기도 하고
그냥 낡아보이는 놀이시설들에 바다쪽 보고 갈매기 새우깡 주고 끝나는 정도..?
제가 갔을 땐 무슨 어르신들용 콘서트도 하고 그래서 분위기는 더 좋았는데 그것 외에는 딱히.."
50,4.2,2023.05.15.,산책하고.. 돌아보고.. 좋습니다
51,5.0,2023.05.12.,
52,5.0,2023.05.11.,
53,5.0,2023.05.11.,
54,4.0,2023.05.10.,
55,3.7,2023.05.08.,월미도는   바다도 느끼고 휴식할수 있어좋아요
56,4.1,2023.05.06.,
57,3.7,2023.05.05.,"월미도는 예전부터 인천 시민들에게
편안한 휴식을 갖게 해주는 장소입니다"
58,1.0,2023.05.05.,
59,5.0,2023.05.05.,
60,4.1,2023.05.05.,
61,5.0,2023.05.04.,
62,5.0,2023.05.04.,
63,5.0,2023.05.04.,
64,5.0,2023.05.03.,
65,5.0,2023.05.03.,
66,5.0,2023.02.22.,좋음
67,4.5,2023.01.17.,
68,4.6,2023.01.10.,
69,5.0,2023.01.06.,
70,4.2,2022.12.31.,2022 마지막 일몰..
71,3.6,2022.12.23.,가까워서 좋지만..볼게없당
72,1.9,2022.11.16.,"오랜만에 갔는데 가격보고 경악.
일반 대인이 하나타는데 기본 6000~6500원이고
바이킹 옆에서 파는 치킨꼬치 하나가 무려 5천원이네요 슬러시가 3천원. 맛이라도 있으면 모를까 치킨꼬치 맛 진짜 없음.
안경쓴 젊은 아줌마가 파는곳인데 제가 외국인들하고 같이가서 덤탱이를 씌운건지 원래 그 가격인지 몰라도 너~~~~무 비싸요!
셋이서 놀이기구 딱 3개 타고 10만원 썼네요 ㅋㅋㅋ"
73,3.9,2022.11.13.,"해변가는 없지만, 사람들이 많아서 그런지 흥이 나는 분위기에요~ 디스코팡팡 구경 하다보면, 바다뷰의 아쉬움은 사라집니다~ 배타고 영종도 놀다와도 되고요~"
74,4.1,2022.09.07.,막상 가면 확 트인 바다를 볼 수 있는 곳이 한정되어 있습니다. 바로 옆에 박물관이 공사중이라서 막혀있고 좀 복잡해요. 디스코팡팡(타가다) 할거 아니면 딱히..
75,5.0,2022.08.26.,
