,평점,날짜,후기
0,4.4,2024.04.29.,
1,3.5,2024.03.08.,굳
2,4.3,2024.01.10.,바이킹이 쩔어요
3,3.6,2023.10.24.,
4,4.1,2023.08.13.,"생명이 소중하다면 하이퍼드롭 타지마세요 저 과부될뻔 했습니다
안전바 반이상 올라가는데 괜찮다고 그이상 안열리니 그냥타라고 합니다 3개타는게 3만원인데 점검을 안하는거같아요.."
5,4.0,2023.08.04.,
6,5.0,2023.06.23.,벚꽃명소 아이와놀자 유람선
7,4.5,2023.05.04.,
8,4.1,2023.02.23.,
9,2.9,2022.08.27.,여기는 아닌듯...
10,1.0,2022.06.20.,가지마세요
11,2.0,2022.06.12.,"진짜 개 거지같음 직원들 개 불친절함 
태워주기 개 싫어하는 표정 
상술 쩔고 다신 안올듯"
12,4.8,2022.03.07.,"둘 밖에 없어서 바이킹 6분이나 태어주셨어용
바이킹 오래 타면 정말 좋겠다 생각했는데 꽤나 어지러움 ㅎㅎ 그래도 재밌었어요~~~"
13,5.0,2022.03.06.,
14,4.5,2022.02.20.,
15,2.5,2022.01.08.,"참 월미도 놀이파크 운영하는 놀이기구는 달랑 두세개이면서 이용권만 팔아 먹으려고만
하고 직원들 불 친절에 짜증이 얼굴에 써있고
아이들 놀이파크에 왜 일하고 있는건지?
서울랜드 자유이용권 15000천원이면
이용할 놀이기구도 많고 볼것도 많은대
더 비싼 월미도는 불친절에 탈것도 없음.
완전 비추~~~~"
16,4.6,2022.01.07.,진원들이 상당히 불친절하고  고객한테   짜증을 내네요 참으로  너무 하네요
17,3.5,2021.12.06.,
18,5.0,2021.10.23.,
19,2.0,2021.10.11.,
20,3.8,2021.09.27.,
21,5.0,2021.07.19.,
22,4.8,2021.06.26.,
23,5.0,2021.05.23.,타가다 디스코 완전 짱. DJ 완전 재밌음. 그외에도 2층 바이킹 등 재밌는 게 많음. 어린이에게는 천국 같은 곳 이다.
24,5.0,2021.05.15.,"This park is very cool. Many things are really nice. Everything is made for a family holiday. Thank you  
But today is raining and it's very sadly   , because some amusement rides are not working"
25,1.2,2021.05.12.,
26,3.9,2021.03.06.,애들 놀기 좋은... 그닥 싸진 않음
27,5.0,2021.02.17.,
28,3.1,2020.12.13.,
29,4.1,2020.10.18.,
30,3.7,2020.10.05.,
31,3.4,2020.07.13.,
32,3.5,2020.07.11.,"바다도 보고
놀이 기구도 있고
디스코팡팡!!!!!!"
33,3.4,2020.07.09.,
34,4.9,2020.02.01.,
35,2.7,2019.11.09.,애들 놀기 최고입니다. ( 초등고학년 정도?)
36,3.9,2019.10.29.,
37,3.6,2019.10.06.,
38,4.0,2019.07.06.,걍 조음
39,3.6,2018.11.16.,
40,3.3,2018.10.21.,
41,3.9,2018.09.25.,주차 헬 ㅠㅠ 사람 많고 시끄럽고 복잡하고..
42,4.8,2018.07.20.,
43,4.5,2018.06.01.,인천이라면
44,4.0,2017.10.13.,
45,3.5,2016.03.17.,6/10
