,평점,날짜,후기
0,4.1,2024.04.19.,"일찍일어나 강아지 산책겸 만보걷기겸 다녀옵니다
내가 애정하는곳 입니다
오늘 겹벚꽃도 예쁘게 피었네요
한그루 뿐이지만 너무 예뻐요
곳곳에 쉴수있는 곳과 조용하게 산책하기 최고의 장소입니다 
진짜 인천대공원이 저의 힐링타임은 책임지고 있습니다"
1,4.4,2024.04.18.,
2,3.9,2024.04.17.,수목원만 둘러봤는데도 좋았다.
3,3.0,2024.04.11.,
4,3.1,2024.04.10.,"벚꽃 성수기 때 방문할거면 주말보다는 평일에 가는걸 추천합니다. 
주차 못하고 다시 돌아갈 정도로 혼잡합니다."
5,4.7,2024.04.09.,
6,1.0,2024.04.08.,"80년대로 타임머신탄 줄 알았어요~
현판을 바꿔보는 것도 괜찮을 것 같은데...
대공원에서 풍경만 보는 건 아니잖아여 ㅎㅎ"
7,4.0,2024.04.07.,벚꽃명소 단풍명소 산책로 봄나들이 아이와놀자
8,3.6,2024.04.06.,"벚꽃시즌 축제있는 주말 제발 가지 마세요.
주차장 진입 고가도로에서 300미터 이동하는데 90분 기다렸어요. 도로 최악이구요.
갑자기 오후 4시쯤 없던 경찰이 나타나더니 오토바이로 도로 막아버리고 못 들어가니까 그냥 가라고 막 화난듯 얘기해요.
그럼 일찍 일찍 통제를 하시던지, 2~3시간 기다렸다가 입구 근처에서 그냥 가라고 해버리니 황당하지 않겠어요?!

우여곡절 끝에 도로가에 세우고 들어갔는데 화장실도 밖까지 줄 서 있고 공원 안 휴게소, 편의점도 수십명씩 줄 서서 기다려야 합니다.
다신 안가요.
도로에 있던 제 시간이 너무 아까워요."
9,5.0,2024.04.06.,
10,4.6,2024.04.05.,"대공원남문쪽이벗꽃명당이네요.멋있어요.
벚꽃터널 .벚꽃명소"
11,3.8,2024.03.30.,
12,5.0,2024.03.22.,
13,4.8,2024.03.12.,
14,4.8,2024.03.10.,"4인 자전거가 매력적이에요 
봄에 가면 예뻐요 
가깝고 좋은곳"
