,평점,날짜,후기
0,4.4,2024.04.29.,
1,3.3,2024.04.17.,
2,5.0,2024.04.14.,
3,5.0,2024.04.14.,
4,4.4,2024.04.12.,"거리가 길진 않아서 금방 둘러봄..
또 갈지는 잘 모르겠음"
5,4.1,2024.04.10.,"오래 된 화교 요리사들의 중식 먹을 수 있어요.
 동네 중국집 맛 기대하고 가면 좀 심심할 수 있는데 각 요리 재료 맛을 더 잘 느낄 수 있어요~"
6,3.4,2024.04.07.,북적이는 차이나타운도 좋지만 골목골목 다니는거도 재미납니다 작지만 이쁜 카페들도 많고 4월초 벚꽃 시즌 걸어다니면 너무 행복합니다
7,5.0,2024.04.03.,
8,3.5,2024.03.30.,
9,4.6,2024.03.29.,차이나타운구경하고 자장면한그릇하고.....
10,4.2,2024.03.28.,
11,5.0,2024.03.27.,나들이 좋아요 월미도 가까워요
12,4.0,2024.03.24.,
13,3.5,2024.03.16.,짜장면과 찹쌀탕수육 먹으러 올만 함. 헌데 주차가 쉽지않고 주말이면 사람이 꽤 많음. 인천역 바로 앞이라 전철로 접근가능해요
14,4.3,2024.03.16.,구경 할 곳도 많고 음식도 맛있어요
15,2.5,2024.03.13.,타이완타운이 왜 삭제 대상이냐
16,4.3,2024.03.12.,오르막길이 생각보다 많아서 오래 걷기는 힘듬.
17,2.7,2024.03.11.,
18,3.3,2024.03.10.,
19,4.5,2024.03.09.,짜장면을 먹을 수 있어서 좋았다.
20,4.5,2024.03.06.,
21,4.9,2024.03.05.,
22,4.5,2024.03.05.,"2024.3.4첫방문
아주 아주 좋아요"
23,4.5,2024.03.04.,좋아요~!^^
24,3.9,2024.03.03.,"딱히 특별한건 없는데 사람이 너무 많다
주차 공간 매우 부족"
25,3.9,2024.03.01.,"주말에 음식 드시러가는 것은 비추!
도로,  식당 앞은 인산인해입니다.
단, 뷰가 먼저인 분들께는 강추!
식사하시려면 
한적한 평일을 추천합니다
주말에는 11:00 ~ 한적한 시간없이 사람들이 무척많으니 참고하세요"
26,3.4,2024.02.13.,
27,4.0,2024.02.01.,
28,5.0,2024.01.27.,
29,5.0,2024.01.23.,나들이
30,4.9,2024.01.23.,"골목골목 구경꺼리들이 좀 있고
산책하기 좋은 산길?도 있어 가족과 즐거운 시간보냈네요."
31,3.2,2024.01.23.,
32,2.8,2024.01.23.,
33,3.0,2024.01.23.,나들이 포토존
34,4.2,2024.01.23.,멀지만 않다면 또 가보고 싶어요
35,4.0,2024.01.23.,
36,4.9,2024.01.18.,"수학여행으로 한 번 가고, 가족여행으로 한 번 더 갔는데 너무 좋았고 짜장면집과 탕후루가 널려있고 가족여행이나 친구랑 함께 가도 좋은 것 같아요!"
37,3.7,2024.01.15.,생각보다 음식들이 엄청 맛있다거나 하진않고 멀어서 그냥 한 번쯤 가볼만하지 또 갈 것 같지는 않아요.
38,2.3,2024.01.02.,"원피스 카페랑 맥아더 동상 공원 매인거리 딱 그정도..
특히 겨울엔 길거리에 구경할것도 딱히 없고.. 뭐 그럼..
아무래도 블로거들은 포장을 잘 하는듯"
39,5.0,2023.12.31.,
40,3.6,2023.12.24.,인천시민으로서 오히려 점차 특색이 사라지는 것 같아 슬프다
41,4.5,2023.12.23.,
42,4.0,2023.12.22.,
43,3.7,2023.12.20.,
44,4.3,2023.12.15.,
45,5.0,2023.12.09.,나들이
46,5.0,2023.12.02.,
47,3.8,2023.11.27.,오랜만에 재미있었어요👍
48,4.6,2023.11.24.,
49,5.0,2023.11.24.,
50,4.0,2023.11.24.,
51,4.0,2023.11.24.,
52,4.6,2023.11.10.,
53,4.0,2023.11.09.,주차는 헬인데 재밌는 곳
54,4.4,2023.11.04.,인청 차이나 타운 볼거리 먹거리 많은곳~
