,평점,날짜,후기
0,4.0,2024.04.09.,
1,5.0,2024.03.03.,담양하면 우선 관방제림이 떠오르는 것은 접근성이 편리하기 때문일 것입니다.
2,3.4,2024.02.28.,
3,4.0,2024.01.01.,
4,4.2,2023.12.30.,
5,4.2,2023.12.24.,아름다운 곳입니다. 가볍게 산책하니 넘 좋아요~주차가 힘들뿐입니다.
6,4.1,2023.12.17.,
7,4.0,2023.12.11.,반영이 멋있어요
8,4.3,2023.12.08.,단풍이 물들 때 가면 눈이 호강합니다
9,4.3,2023.11.11.,"바깥기온 5도에서 차박
새벽에는 추웠음~~~"
10,4.2,2023.11.05.,가을에 가기 넘 예뻤어요
11,1.9,2023.11.02.,나쁘지 않음
12,4.1,2023.10.18.,
13,4.6,2023.10.17.,"소화시킬 겸 걸으면 너무 좋은 곳.
걸어도 좋고 자전거 타도 좋고 피크닉 하기도 좋음.
가을에 너무 멋진 곳."
14,3.7,2023.10.16.,"전라남도 담양군 담양읍 남산리에 있는 수해 방지용 숲. 천연기념물 제366호. 담양 지역은 비가 많이 내리는 곳으로 수해를 방지하기 위하여 1648년 담양부사 성이성이 제방을 축조하고 나무를 심기 시작하였다고 전해진다.
https://naver.me/5xL06szX

담양은 길마다 너무 예뻐요"
15,4.2,2023.10.15.,야경명소 관방제림
16,4.3,2023.10.13.,"외지사람들에게 남김
이곳에 여행오기전에 간접만족용 으로 제가 사진 남깁니다
마음껏 사진감상하소서~~"
17,4.9,2023.10.09.,두번째 찾은 담양 관방제림은 걷다보니 사진은 거의 안찍었네요 ㅎ;; 지난번 갔던 죽녹원과 메타세콰이어길이랑 연결되어 있어서 세군데 다 잘 구경했네요ㅎ
18,4.4,2023.10.09.,걷기 좋아요 담양에 살면 매일 걸을것 같아요
19,3.3,2023.10.02.,수면에 비친 풍경이 예술이네요~ 가을 단풍에 와야 진면목을 볼 거 같아요
20,4.3,2023.07.28.,힐링하고 싶을 때 찾는 최애장소에요. 쭉 걷다보면 고목들에게 위로받는 기분
21,4.5,2023.07.26.,
22,4.1,2023.07.10.,7월엔 오지마세요.. 30분정도 있었고 계속 걷다가 2분 앉아있었는데 모기 10방 물렸는데 너무간지러워요ㅠㅠ 야경이고 뭐고 차로 도망쳤어요
23,5.0,2023.07.10.,좋아요~~~~아이스크림 먹으면 도너츠  서비스로 주시는데 맛있어요.
24,4.7,2023.06.25.,
25,4.2,2023.06.25.,밤야경이 기가막혔던 곳
26,3.7,2023.06.09.,걷기좋은곳
27,4.5,2023.06.08.,해 떨어질 무렵에 걷고 있으려니까 여기 살고 싶어지더라고요. 담양 분들 부러워요ㅜㅜ
28,4.9,2023.05.28.,
29,4.7,2023.05.24.,
30,4.0,2023.05.07.,
31,3.7,2022.12.02.,
32,4.2,2022.11.24.,
33,3.3,2022.10.29.,Healing @ Summer/Fall
34,4.4,2022.05.17.,아름다워요 ....⸝⸝ʚ̴̶̷̆ ̯ʚ̴̶̷̆⸝⸝ ♡
35,3.0,2022.04.23.,이 지역분들에겐 정말 좋은 산책길이 아닌가 생각이 듭니다. 좋았어요
36,4.2,2022.04.11.,굳
37,5.0,2022.02.26.,환상적이고 감성적인 분위기를 느낄수있어요! 입구에 군밤아저씨 군밤이 진심 세젤맛
38,4.1,2022.02.26.,"밤에 너무 예뻐요.
지도상에 표시된 관방제림에서 하천 건너가 레이저쇼를 해서 예뻐요.
그리고 관방제림 주차장근처 군밤아저씨! 군밤 나눠주시길래 먹어보고 샀는데, 진짜 잘까지고 맛있어요ㅎㅎㅎㅎ
군밤 5천원치 샀는데 물도 한병 주셨어요!"
39,4.4,2022.02.26.,"옆에는 강이 흐르고 나무 산책길이 너무 멋있습니다.
강을 건널 수 있는 다리와 돌다리도 많아 좋았습니다."
40,3.1,2022.01.25.,"별기대없이 걸었던 관방제림
선조 담양군수의 혜안으로
후대가 이렇게 멋짐을 즐길수 있다니
조상께 감사해야할 담양임에 틀림없다
이른아침 산책 1번으로 아쉬워 점심 후
다시 관방제림을 거닐었는데
아침과 달리 나뭇잎 사이로 오후 햇살비침이
얼마나 멋있는지 취하다시피 멋짐 여행의 한페이지를 장식할수 있었다"
41,4.4,2021.12.30.,
42,4.4,2021.10.06.,끝물이었지만 수채화 같은 풍경 잊지모대
43,3.9,2021.07.30.,So gorgeous to walk along the path of the river. Also close to the bamboo forest and noodle street. Highly recommend.
44,4.6,2021.06.18.,여유롭고 향긋하고 너무너무 좋았습니다
45,5.0,2021.06.09.,관제방림 산책과 함꼐 담양 숯불떡갈비 죽록원 이슬먹은 댓잎향기 담은 대통밥
46,4.5,2021.05.26.,길따라 걸으면서 산책하기 좋아요
47,4.7,2021.05.05.,"여름날을 재촉하는 힘찬 햇살
살랑살랑 불어대는 시샘 바람결
봄기운 왕성한 5월 어느날 오후
살짝 상기된 발걸음으로
친구와 함께 관방제림 산책길을 걸었습니다"
48,3.5,2021.04.01.,오래된  나무가  있는 개천
49,3.3,2021.01.06.,일부러 올 곳은 아니나 지나가며 보기 좋음
50,3.4,2021.01.02.,"관광지라기보다 동네 산책하기 좋은 길
좋긴 좋아요"
51,4.7,2021.01.02.,
52,4.7,2020.12.17.,
53,4.7,2020.11.28.,"계절때문인지 잎이 떨어진 풍경이 조금은 황량했다
밥먹고 소화시킬겸 산책하기 딱좋음
쭉 걸어가다보면 메타쉐콰이어길 나옴"
54,3.2,2020.11.09.,"국수거리로 유명한 곳
산책하기 좋으나 사람이 너무 많다.."
55,4.7,2020.10.02.,"꼭 밤에 가세요 ㅠㅠ
조명켜면 진짜 예뿜"
