,평점,날짜,후기
0,3.4,2024.04.26.,"크리스탈이나 일반이나 바닥보이는거 말고
별차이없고 여러명 탑승한다면 일반 타고 세이브 되는
돈으로 먹는거에 더 투자하는게 나을지도 모르겠음. 
케이블카 이동시간, 고하도 둘러보는 전경, 
유달산 정상 절약시간 등등 여러가지 고려하면
인당 2.5~2.9만은 나쁘지 않은 금액이라 생각됨
(여러가지 우대할인 혜택있음)"
1,5.0,2024.04.09.,
2,5.0,2024.04.05.,
3,3.6,2024.04.02.,"가격이 부담스러울 수 있지만,
목포여행이라면 꼭 추천합니다.
서너시간 여유를 가지고 충분히 보셔야해요
(산책 다 하시려면 시간 더 필요해요^^)

북항에서 출발해 종착역에서 내리면 
스테이션안에 식당이 있어요.
깔끔하고 맛있었습니다.
개인적으로 목포여행에서 먹은 식사 중 가장 만족스러웠네요.
저는 낙지탕탕이. 낙지전복뚝배기. 매생이떡국 먹었습니다~^^"
4,3.8,2024.03.30.,"날씨 안좋을 때 타면... 돈아까워요 흑흑
그리고 유달산에서 하차하면 북항으로 돌아올 때는 그냥 동승을 하게 하더라고요! 4인 가족이었는데도 다른 분들이랑 탔어요;;ㅜ"
5,4.5,2024.03.23.,부산 캡슐열차는 팀별로 탑승해서 혼자 여행가면 오롯이 혼자 즐길 수 있습니다. 목포 케이블카는 전엔 그렇게 탑승가능했었는데 이번에 가니 다른 팀과 합류하라했는데 그 가족들이 아이들 통제가 안되어 다른 팀과 합류부탁했는데 안된다하여 표 버리고 왔습니다. 요즘 혼자여행이 늘어나는데 너무 트랜드에 따라가지 못해서 저는 비추입니다
6,1.0,2024.03.17.,케이블카 이용을 지인이나 친구 방문때 마다 이용하는데 오늘은 아침부터 기분이 썩 좋지 않아서 올려봅니다. 제가 목포 토박이 이고 잠시 경기쪽에 있다가 내려온지도 4년 넘는데 지역 할인으로 신분증 제시하니까 창구 여직원이 신분증 뒷면 확인하고서 지역사람 아니라고 정상결재 하더라구요. 어처구니가 없더라구요. 요즘 전입신고도 인터넷 하고 그러는데 신분증까지 전입 신고 하는게 있을까요? 4000원 할인 안받아도 상관없지만 아침부터 기분상해서 다시는 이용 안할거고 주변 추천도 안할겁니다. 창구 직원도 너무 쌀쌀맞게 그런거 보면 짜증이네요.
7,4.9,2024.03.10.,경치는 좋은데 가격이 좀 비싸네요.
8,3.8,2024.03.02.,"비온 뒤라ㅡ산책하기에 길이 너무 질어 신발들이 고생했지만
케이블카도 타고 산책도 하고 좋았습니다."
9,4.3,2024.02.28.,"네이버 예약하면 천원 할인됌.
목포시 랜드마크라 그런지 평일 오전에는 사람 별로 없었는데 오후에 바글바글함.
날씨 좋은날을 고르고 골라서 뷰가 너무 좋았음.
고소공포증이나 이런거 무서워 하는 사람이면 불안할 순 있을듯. 생각보다 속도 빠름.
뚜벅이여행이었는데 버스도 잘 다녀서 괜찮았음."
10,3.7,2024.02.23.,"저는 비가 엄청 오는 날에 가서 사방이 안개뷰긴 했습니다..!! 근데 날씨 감안하면 중간중간 보이는 뷰는 너무 이뻤고, 나중에 날씨 좋을 때 한 번 더 와보고 싶어요 👍"
11,4.7,2024.02.14.,
12,4.4,2024.02.03.,
13,5.0,2024.01.21.,"2월말까지 수험생 50% 행사해요
덕분에 할인받아 좋은 경치 눈에 담아가요.
고하도 해변데크가 잘 꾸며져 있어요."
14,4.0,2024.01.15.,
15,4.4,2024.01.13.,비싼 값을 하네요 좋아요
16,4.5,2024.01.09.,
17,4.5,2024.01.04.,"고하도에서 한번 내려서 바닷가길 산책하고 유달산에서 내려서 유달산 정상 한번 찍고 다시 돌아오면 정말 좋아요
목포 전경 구경하면서 산 바다 전부 한번에 볼 수 있는 코스"
18,3.4,2023.12.26.,"풍경 너무 멋있으나
명절에는 피하시길ㅜㅜ
웨이팅 4시간.."
19,5.0,2023.12.23.,바다 전망이 좋습니다.
20,4.3,2023.12.05.,기상악화로 타보지 못했지만. 제법 길고 바다위로 가는거라 다음 기회에
21,3.1,2023.11.24.,
22,4.5,2023.11.22.,"쿠팡에서1000원할인받아1인당22000북항에서
일반탐
3시간주차무료 우린5시간걸려 추가비용3000냄
고하도에서내렸다가 오는길에 유달산에서내려
유달산올라갔다가 다시타고 북항에내림
한번으로족하다"
23,4.2,2023.11.15.,코스가 엄청 길어서 좋았어요 ! 가격도 착해요🥹 산책로도 좋아요
24,4.8,2023.11.01.,
25,4.4,2023.10.30.,"시설도 좋았고 중간 유달산에서 근무하시는 박선주직원의 몸에 벤 친절함에 감사드립니다.
친절 사원으로 징찬을 올리고 싶었는데 방법을 못찾아 여기에 올립니다."
26,4.5,2023.10.29.,
27,3.2,2023.10.28.,"유달산 조각공원 앞 주차 후 15분이면 올라갑니다.. 경치 더 많이 구경 할 수 있고, 이동 루트 똑같습니다.. 지역주민은 케이블카 아무도 안탑니다.. 내려오면서 목재체험장 및 조각공원 한번 거쳐서 내려오는 코스 추천 드립니다.
그리고 28(토) 오전 승강장 옆 주차 관리요원 성격 너무 안좋네요, 잠깐 지나가는데 성질부리네요.. 하기 싫으면 일을 하지를 말던가요.. 교육 제대로 하시기 바랍니다.."
28,3.4,2023.10.24.,요금이 비싼편이지만 경치가 너무 멋졌어요~
29,1.9,2023.10.18.,최고에요
