,평점,날짜,후기
0,5.0,2024.04.26.,"순천만국가정원 넘 좋아요
넓어서 하루에 다 볼 수 없어요
포토존도 많고 뷰가 미쳤어요 
걷기 힘들면,싫으면
코끼리열차, 유람선,
스카이큐브도 타보세요 
ㅋㅋㅋㅋㅋ 재미있어요"
1,4.3,2024.04.23.,평일 오후 5시쯤 야간입장으로 입장료 오천원 내고 들어갔어요~ 주차공간 여유로웠고 생각보다 규모가 크고 정원들이 관리가 잘되어있어서 좋았어요 :) 기대 이상이였습니다!
2,4.0,2024.04.18.,"산책 삼아서 거닐기에 좋음.
가끔은 시설(온실, 열차)과 뷰(연못)가 매우 굿."
3,3.5,2024.04.15.,
4,3.4,2024.04.12.,"야간개장으로 다녀왔는데, 
야간을 위해 별도의 조명을 마련했다 보긴 어렵습니다.
이쁘디 이쁜 꽃들을 보기 어려웠습니다."
5,4.1,2024.04.11.,"지금 방문하면 딱 좋을 것 같습니다. 튤립이 예쁘게 폈고 스페이스 브릿지는 리모델링을 잘한거 같아요~ 아이들이 정말 좋아할 것 같습니다.
입장료가 만원이라 비싼감이 있지만 그만큼 값어치를 하는 것 같습니다. 날씨좋을때 꼭 방문해보세요"
6,4.6,2024.04.10.,1년만에 다시 찾은 순천만국가정원.우주인도 놀러온다는 테마주제로 새롭게 단장해서 신비롭게 꾸며놨더군요.봄의기운이 물씬 풍기며 꽃들이 어우러져  맘껏 힐링하고 왔네요.여행은 언제나 즐겁답니다.
7,4.7,2024.04.06.,아직 안가봤으면 당장 고고
8,3.0,2024.04.06.,정원안 식당 너무너무 기다리다보니 밥 기다리다 지치고 지쳤음.  가시는분 참고 하시길
9,3.2,2024.04.02.,"순천만습지 만원인데 당일에 국가정원가면 순천만습지표로 무료입장 가능하더랴구용벚꽃명소 ^^
여미지+동궁원 느낌이고  좋어용 무조건 편한복장!"
10,3.9,2024.04.01.,"입장료가 1인당 15.000원입니다
감안하고 가야합니다"
11,3.8,2024.04.01.,개장날이라 그리화려한건 없지만 엄청 걸었어요  볼거리도 다양하구요
12,2.8,2024.03.29.,
13,4.5,2024.03.20.,
14,4.5,2024.03.09.,"예전에 갔었는데 좋아요.
(오늘 간 거 아님.)"
15,3.7,2024.02.04.,
16,5.0,2024.01.28.,
17,4.3,2024.01.16.,23년 11윌부터 봄까지 들어가지 못하냬ㅣ요
18,5.0,2024.01.09.,
19,3.9,2023.12.02.,
20,4.8,2023.11.29.,
21,5.0,2023.11.24.,
22,3.4,2023.11.20.,
23,3.6,2023.11.17.,"진짜 잘 꾸며놓음 
힐링되는 공간이에요"
24,3.8,2023.11.14.,가족여행으로 순천만국가정원 갔다왔는데 너무 넓어서 걸어서는 못다녀요.
25,2.8,2023.11.14.,"국가정원 내년 봄까지 운영안한답니다
순천만습지는 운영해요"
26,4.2,2023.11.14.,입장료가 비싸요.경로우대는 쓸만
27,4.0,2023.11.12.,볼거리가많아서 좋았어요 그런데 너무넓어서 나이드신분이나  노약자가 이용하기가 힘들듯해요
28,4.5,2023.11.10.,폐장 전에 다녀왔는데 너무좋았습니다. 내년에 또 가고싶어요. 그늘이 많지않아서 한여름은 힘들것같습니다. 내부 음식점(카페) 퀄리티가 떨어지는게 흠이었는데 이부분은 개선되면 좋겠네요
29,3.0,2023.11.07.,너무 더웠지만 예뻤어요
30,3.7,2023.11.05.,"일시 폐장 되었습니다 
내년 재개장을 위한  재정비기간입니다"
31,3.0,2023.11.05.,코스모스 멋드러지게 피었네요
32,3.5,2023.11.04.,"한국에 이런 곳이 있다니 참 좋다고 생각했어요
여유롭게 걷고, 앉아서 쉬고, 사진 찍으며 시간 보내는 동안 행복했어요~ 박람회 기간에 다녀왔는데 잘 관리되고 있는 것 같아 너무 좋고 감사했어요"
33,4.0,2023.11.02.,
34,3.1,2023.11.02.,무료입장 기간에 와서 다행이지. 돈주고 볼만한곳은 아니네요. 볼것도 별로없음. 인공정원...조미료가득한 음식처럼..
35,3.7,2023.11.02.,"기분좋게 순천만국가정원에 관람왔는데 순천사랑도민증을 제시하면 할인해준다고 되어있어 발급받아서 제시했더니 입구에서 안된다고 하네요. 그러면 입장료안내에도 나와있는데 지우고 안내를 했어야하는데 안내도없었고 된다고만 되어있었는데 여기까지와서 다시 돌아가라는 건가요? 기본적인 관리가 안되어있네요. 정말 기분좋게 왔다가....흑
그래도 들어가서 돌아다니니 좋긴 하네요(^^) 변덕이...ㅋ"
36,4.5,2023.11.01.,
37,3.5,2023.11.01.,
38,5.0,2023.11.01.,
