,평점,날짜,후기
0,3.9,2024.04.24.,
1,4.3,2024.03.30.,"말로만 듣던 순천만 습지, 기대 이상의 명소.
순천만 국가정원과 함께 꼭 가봐야할 최고의 경험 제공"
2,4.8,2024.03.03.,
3,4.8,2024.03.01.,생태탐조선과 겨울철 새 탐조활동 모두 최고입니다
4,4.0,2024.02.29.,
5,3.9,2024.02.28.,
6,3.7,2024.02.04.,
7,3.4,2024.01.31.,"아무생각 없이 걷기 좋은 장소
사람많은 주말보다 평일을 추천
전망대까지 쉬운 코스이니 반드시 가보길"
8,5.0,2024.01.28.,
9,5.0,2024.01.23.,
10,4.6,2024.01.22.,지금 빨리들 보러가세요. 흑두루미들 먹이먹는 모습들 나르는 모습 장관입니다. 알려주시고 자세히 소개해주신 이경숙 해설사님 감사드려요. 해설사님 아니었으면 놓칣뻔했어요.
11,4.8,2024.01.06.,일출명소 억새밭
12,4.0,2024.01.04.,생태관 건물 전망대에서 멀리 논에서의 흑두루미 집단 먹이활동을 망원경으로 꼭 조망하세요. 순천시 공무원의 안내와 설명이 베리 굿입니다.
13,4.2,2023.12.24.,7000원 입장료가 너무 비싸요. 3000원이면 5점
14,4.9,2023.12.23.,산책하기 좋았습니다.ㅎ
15,3.9,2023.12.18.,
16,3.7,2023.12.17.,"1. 해설 신청하기: 생태관광해설사분과 함께하는 투어! 그냥 구경만 하고 지나치면 몰랐을 새, 습지환경에 대한 알찬 지식을 쏙쏙 들을 수 있다. 이제 청둥오리와 두루미를 구별할 수 있고, 두루미가 겨울철새라 시베리아에서 6-7개월 묵다가 겨울에 한국으로 가족단위로 넘어와서 순천만 습지 등지에서 6개월 정도 머무른다는 사실을 알았다..ㅎ
2. 늦은 오후 쯤에 방문해서 노을이 드리워진 하늘 배경으로 갈대밭에서 사진찍기! : 아주 운치있다.
* 천문대는 흐린 날이면 관측이 어려워 취소될 수 있음. 양지하고 신청하기"
17,3.5,2023.12.15.,
18,5.0,2023.12.01.,
19,4.8,2023.11.29.,
20,3.9,2023.11.27.,최고!
21,5.0,2023.11.24.,
22,5.0,2023.11.24.,
23,4.9,2023.11.19.,"철새 구경하기 정말 좋네요 
생태체험선 탑승은 강추."
24,3.6,2023.11.19.,
25,4.4,2023.11.14.,BEAUTIFUL!
26,4.2,2023.11.11.,
27,4.2,2023.11.10.,"정식 개장 완료되어, 추가 개장때 무료로 갔다. 왜 사람들이 가는지 이해된다. 모든것이 만족스럽다. 다음해에도 기대된다."
28,3.7,2023.11.05.,"항상 일부러 라도 가는곳입니다
일몰 무렵 가는것을 추천합니다"
29,3.7,2023.11.04.,
30,4.1,2023.11.01.,저녁 노을질때 최고..
31,4.2,2023.10.30.,
32,4.8,2023.10.25.,언제가도 예쁘지만 너무 덥거나 추울때는 걸어다니기 힘듭니다. 전망대까지 갔다 돌아오면 넉넉하게 2시간정도 걸려요
33,2.9,2023.10.21.,"국가정원 끼워팔기로 순천만습지 입장료는 1인 15,000원입니다."
34,4.4,2023.10.17.,
35,3.6,2023.10.16.,살면서 한번쯤은 꼭 가보세요
36,4.7,2023.10.11.,갈대밭이 탁 트여서 장관입니다~ 전망대 까지 올라가려면 운동화 필수! 다만 순천만 국가정원과 입장권을 묶어서 판매하는데 국가정원 방문의사가 없고 순천만습지만 보고싶었습니다만 입장료 가격 만오천원으로 동일해서 아쉬웠습니다
37,5.0,2023.10.09.,
38,2.0,2023.10.01.,"여기 근처 식당들 맛이 엄청 없습니다.

몇년전에 여기 와서 게장 먹었었는데 넘 비렸습니다."
39,3.4,2023.09.22.,"교통이 살짝 불편하긴 해도, 감수하고 갈 만큼 좋아요. 노을지는 시간 겹치게 가면 사진 찍기도 좋아요!"
40,4.9,2023.09.21.,
41,5.0,2023.09.16.,"혼자여행은 추천하지않아요^^
순천역주변 백반집1인분 팔지도받지도않고요
배짱입니다^^
기분좋게여행했는디 순천역주변식당들 비추
배짱장사합니다
터미널주변은그나마 팔더라고요
참고하세요 ^^"
42,3.2,2023.08.27.,가볼만은 한데 입장료 15000원에 주차비 3000원까지 따로 받는건 좀 아닌거같아요
43,3.8,2023.08.23.,한여름의 갈대습지는 초록의 물결이네요...바다쪽이라 바람이 불어주니 8월의 더위도 식혀주네요~ 날이날인지라 인파는 한적하네요...그래서 조용히 사진찍고 산책하기는 좋았어요...스카이큐브타고와서 갈대열차환승해서 국가정원과 왕복이용했는데 이게 편하고 좋네요...가을에 오면 멋진곳~ 사람들 다 친절해서 더욱 좋아요~~
44,4.6,2023.08.22.,최고에요 ㅎㅎ5다습지답네요
45,4.0,2023.08.20.,"땡볕에 다니기는 좀 힘들어요.
봄가을엔 좋을것 같네요.
연인들 데이트 장소로 딱 좋을것 같아요"
46,3.6,2023.08.11.,
47,4.3,2023.08.10.,
48,4.5,2023.08.06.,
49,4.0,2023.07.28.,순천에 와서 가장 좋았던 곳. 걸으면서 기분이 좋아져서 다음에 또 방문하고 싶음
50,5.0,2023.07.12.,
51,5.0,2023.06.30.,
52,4.2,2023.06.30.,여러 번 가도 늘 좋은 곳
53,3.6,2023.06.29.,"힐링 명소
사람 많지만 이것저것 하루 코스로 좋아요"
54,3.9,2023.06.22.,순천 살 때 가보고선 너무 좋아 기회 닿을 때마다 간다.
55,4.1,2023.06.18.,"걸으면서 드넓은 경치를 볼수있는곳
자전거를 대여해서 관람할수도 있다
날씨가 더울때 가면 양산을 챙기는게 좋을것같다

#억새밭 #시원한바람"
56,3.9,2023.06.15.,"작년에 8천원이었던 입장료를 15,000원으로 두배 가까이 인상했더군요. 허허벌판에 시간무관 주차료 3천원은 덤이고. 
근데 입장료를 15,000원으로 처올려놓고 65세 이상 무료는 좀 심한거 아니오?"
57,4.4,2023.06.14.,"날이 흐렸음에도 불구하고 전망대까지 오른 보람이 있는 뷰였습니다. 전망대 오르는 길이 처음에만 좀 가파르고 그 다음부턴 수월해요. 오르기 전 마지막 화장실 들르시면 좋아요. 중간중간 있는 전망 포인트나 다리도 좋았고요. 가을이 아니라 푸른 갈대모습인데도 정말 좋았습니다. 바람에 흩날리는 갈대소리도 걸음을 멈추고 꼭 들어보세요. 물이 많이 빠졌을때라 칠게나 짱뚱어도 많이 보였어요. 오후 5시즈음 가서 어싱길도 맨발로 걷고, 전망대 왕복 사진 찍으면서 2시간 정도 걸렸어요. 가을에 또 가고 싶습니다."
58,4.0,2023.06.09.,
59,4.0,2023.06.09.,
60,3.5,2023.06.08.,"4번째 왔는데 
여름에 오세요

4월 말까지 갈대 베기 작업합니다
그래도 멋지긴 합니다

추가:23년 3월 까지 휴장임"
61,3.8,2023.06.03.,
62,3.9,2023.06.01.,탁트인 습지에 갈대숲이 멋진곳.
63,3.0,2023.05.31.,광활한 자연에 속이 다 시원합니다.
64,4.6,2023.05.31.,요즘은어떨지모르겠으나 주차장도 야외치고 자리많았고(근데 여기꽉찰정도면 완전피크일듯함) 자연 만끽하기에 딱좋은곳 포토스팟도많고 5월 및 11월이 절정임
65,4.0,2023.05.30.,
66,2.7,2023.05.21.,"힘들엇지만 좋앗어요 ㅎㅎ
주말엔 사람이 많아요"
67,4.0,2023.05.20.,잡상인들이 너무많고 주차질서가 안되서 관리인이 필요합니다
68,3.8,2023.05.18.,"처음이나 재방문 했을때나 다시 오곺은 곳
좋았네요"
69,4.4,2023.05.10.,좋은 시즌에 가면 볼거도 많고 좋아요
70,4.4,2023.05.07.,
71,2.3,2023.05.07.,"볼거도 없는데  1만5천원  주차비 3천
와  4인갔더니  6만3천원   오지게 장사하네  
순천시 너무하네"
72,3.5,2023.05.06.,"어르신들 다녀오시기엔 너무좋구
봄엔 꽃들과 각국가들 정연 너무 아름답습니다
많이들 다녀오세요"
73,3.8,2023.05.04.,모든 편의시설이 잘 되어  있어요
74,4.8,2023.05.03.,
75,3.5,2023.05.03.,
76,3.3,2023.05.01.,
77,2.6,2023.04.10.,"4월에는 습지가 이렇게 생긴 줄 모르고... 전망대 가보려고 했는데 그냥 산책로만 걷다 왔어요 
전에 가을에 갔다가 시간이 없어서 못보고 온 거 후회돼서 이번엔 꼭 보고 오겠다고 기대하고 갔는데 모내기 막 끝낸 농지 보는 것 같았어요 진짜 휑해요 
꼭 가을에 가세요..."
78,3.9,2023.04.07.,요금 바뀐게 그렇게 안좋나 경치 좋으면 됐지
79,4.1,2023.03.23.,"4월1일부터 요금 바뀜.
공지가 없어서 재방문하시는 분 당황하실 듯"
80,4.1,2023.02.06.,가을에는 무조건 한 번 와야함
81,3.1,2023.01.08.,"사람이 많아서 조용한 자연을 느끼기엔 아쉬움.. 신성리 갈대밭이 차라리 공짜라서 나을듯.. 기름값, 시간, 입장료주고 굳이 이 멀리까지 가기엔..  홋카이도 같은 조용한 설원이 그립습니다.."
82,5.0,2022.12.06.,사계절 언제나 좋은 순천만이지만 지금이 가장 예쁘다 갈대밭과 철새가 장관
83,3.7,2022.10.30.,정말 아름다운 갈대밭이었습니다. 가족들과 같이 갔는데 모두 만족했습니다. 생태체험선 필수로 추천드립니다. 가이드님이 친절히 설명해주시고 철새도 많이 볼 수 있습니다.
84,3.8,2022.10.19.,
85,4.6,2022.10.17.,
86,4.3,2022.10.14.,순천국가정원과 같은날온다면 매우 다리가 아플거예요
87,4.8,2022.10.11.,가을 최고의 명소
88,4.1,2022.10.01.,최고에요.
89,4.1,2022.09.15.,"바람에 스치는 갈대 밑에 도둑게와 망둥어
노을을 스치며 날아가는 왜가리 떼
멀리서 보는 것과 습지 않으로 가서 느끼는 것이 다름"
90,4.8,2022.09.10.,
91,4.0,2022.09.02.,또 오고싶은 곳. 다음엔 꼭 용산전망대까지 가봐야지!!
92,4.3,2022.08.13.,"입장료가 부담이었으나 힐링이 되는 장소였다
순전에 오면 반드시 봐야 하는 필수코스라고 생각함
특히 용산전망대 뷰는 더운 날씨에 고생한 보람이 있었다"
93,4.6,2022.06.24.,계절마다 달라지는 테마 너무 멋진곳
