,평점,날짜,후기
0,5.0,2024.04.17.,
1,4.4,2024.04.11.,주차장은 노후됐지만 쏘쏘~
2,4.0,2024.04.07.,
3,4.5,2024.04.05.,
4,3.6,2024.03.29.,
5,4.5,2024.03.20.,
6,3.6,2024.03.14.,"막상관광지라 갔는데 20분 둘러보고 후퇴
볼게 이순신동상이랑 거북선이 끝.."
7,5.0,2024.02.27.,
8,5.0,2024.02.25.,신에게는 아직 별점 5점 짜리 리뷰가 있습니다 당신께 바칩니다 이순신장군님
9,4.1,2024.02.19.,전에 왔을때 거북선을 들어가보지 못했었는데 들어가볼수 있어서. 좋았습니다.
10,5.0,2024.02.08.,
11,3.9,2024.02.06.,
12,3.3,2024.02.05.,
13,5.0,2024.01.23.,
14,4.9,2024.01.23.,거북선에 못들어가는게 아쉬운데 이뻐요
15,5.0,2024.01.02.,
16,4.0,2024.01.01.,
17,4.5,2024.01.01.,주위에 맛집도 많아요.
18,5.0,2024.01.01.,"주위 맛집이 많습니다
웨이팅이 있을수 있습니다"
19,3.9,2023.12.31.,좋아요
20,4.8,2023.12.28.,
21,3.5,2023.12.15.,
22,3.9,2023.12.08.,먹거리가 많아서 좋음^^
23,4.2,2023.11.10.,
24,4.5,2023.11.04.,이순신광장 구경하기 좋아요!
25,4.4,2023.10.31.,
26,4.2,2023.10.30.,
27,4.6,2023.10.29.,"여수에 가면 방문해안 하는 곳. 바다 뷰와 케이블카, 포차거리와 이어져 있음"
28,4.6,2023.10.28.,
29,3.7,2023.10.26.,"주변에 인스타에서 핫플로 떠오르는 바게트버거, 딸기모찌 등을 팔아서....
지하 1층에 있는 주차장은 항상 만차임.
딸기모찌는 아이디어가 기발하긴 하지만... 
찹쌀 모찌 하나 먹고, 생딸기 하나 먹으면 됨
줄 서서 먹을 맛은 아니라는 거... ㅜ,.ㅠ)
바게트버거도 마찬가지... 햄버거 빵을 딱딱한 바게트 빵으로 대체한 특이함 정도~?
관광지에 왔으니 유명하다는 특이한 음식 먹어 보는 것이 나쁘진 않지만....
1시간 이상 줄 서서 먹어야 하나~? 하는 의문이 생기는.... *^^:"
30,3.7,2023.10.25.,
31,4.3,2023.10.23.,
32,2.9,2023.10.21.,볼 거 없고 딸기모찌랑 쑥아이스크림 맛잇긴한데 굳이 이가격에..? 휑함 일년 내내 여수밤바다 틀어놓움
33,3.1,2023.10.19.,
34,3.4,2023.10.13.,분수대 동상 거북선모형 카페거리..
35,4.6,2023.10.01.,"주간에 1번, 야간에 1번 가야함."
36,4.9,2023.10.01.,
37,3.4,2023.09.23.,
38,2.9,2023.09.21.,이순신 장군님 앞에서 술 취한 아제들 싸움 보고왔습니다. 나라의 망신! 지저분하고 볼것 없습니다.
39,4.5,2023.09.05.,경치가 좋아요
40,5.0,2023.08.29.,
41,3.4,2023.08.28.,"장엄한 장군의 동상과 거북선의 위용이 멋진 곳.
이순신장군 동상 뒤편으로 초계국수 간판은 좀 치웠으면 좋겠음."
42,5.0,2023.08.27.,"야경이 특히 멋있는곳
밤 10시까지는 버스킹 음악 공연을 하는곳
먹거리가 풍부한곳~~여수"
43,4.6,2023.08.22.,조금 아쉽긴해요ㅠㅠ
44,3.4,2023.08.18.,임진왜란 GOAT
45,3.8,2023.08.14.,
46,3.8,2023.08.13.,너무 좋아요
47,5.0,2023.08.09.,
48,4.2,2023.08.05.,아이데리고 여수온김에 1번은 가볼곳인듯합니다. 주변에 맛집이 많은데 줄을 오래 기다려야됩니다.
49,4.3,2023.08.03.,"거북선 모형과 용머리 데크
이순신광장의 새로운 단장이 이뤄졌습니다.
주변 시설들과 잘 어울려요."
50,4.2,2023.08.01.,볼거리도 있고 괜찮아요
51,4.0,2023.07.28.,"딱히추천거리는없음
거북선부서져있고 광장 공사중
더운데 앉을곳도없음"
52,4.0,2023.07.24.,
53,3.7,2023.07.13.,
54,1.0,2023.07.12.,
55,4.0,2023.07.09.,
56,3.4,2023.07.01.,
57,4.0,2023.06.24.,광장 옆 간장게장 제일 맛있게 먹었네요!
58,5.0,2023.06.10.,
59,4.2,2023.06.10.,여수 관광객들의 집결장소 답게 음식점과 간식거리가 풍부한 장소. 관광객이 차 안끌고 걸어다니면서 놀면 좋은 곳.
60,4.0,2023.05.30.,"광장 자체는 평범하지만, 긴 바닷가 산책로를 따라 걸으니 좋았습니다. 청춘들에게 핫한 곳답게 젊은 연인들이 많고 근처에 식당들이 많아 한끼 해결하기도 좋아요."
61,4.4,2023.05.25.,
62,5.0,2023.05.23.,
63,5.0,2023.05.23.,공사하고 있고 주차는 단속 돌아요 조심
64,5.0,2023.05.20.,먹거리 짱
65,4.5,2023.05.19.,이순신광장처음봄 ㅋㅋ ㅋㅋ  멋지네요
66,4.8,2023.05.19.,이순신광장첨봤는데 멋있어요ㅋㅋ
