,평점,날짜,후기
0,4.1,2024.04.26.,"전주시 한옥마을 인근에 위치한 전각..
입장료 3,000원..  볼거리에 비해 좀 비싼편..
조선태조 이성계의 어진은 국보로 지정되어 있고 어진박물관에 모셔두고 경기전에 있는 초상화는 복제본이다.
주변경관이 아름답다."
1,3.3,2024.04.25.,좋아요
2,4.5,2024.04.14.,
3,4.0,2024.03.13.,
4,4.2,2024.02.22.,"겨울엔 볼 게 없습니다. 어진 박물관도 공사중이라 볼 게 더욱 없었습니다.
다른 계절에 방문하는 걸 추천합니다."
5,1.6,2024.02.13.,"다신 방문노 설이던 휴무던 다 뗘나서 주차 개판 주차개선도 안됐는데, 돈 부터 달라 글구 주차장 너무  개판임"
6,3.6,2024.02.04.,"태조이성계 어진 실제로 보니까 너무 멋있어요
박물관 공사중이라 입장 불가인데  입장료는 평상시 처럼 다 받아서 아쉬웠어요"
7,4.1,2024.01.19.,"인생샷 많이 찍었어요
사람이 많았는데 워낙 넓어서 분위기도 좋았어요"
8,3.8,2023.11.18.,고목이 멋지다
9,4.3,2023.11.15.,박물관 휴관에 제사를 지낸다고 구경못하고 자리도 제지당하고 다른곳도 음식을 하는지 닫고 못보는데 왜 입장료 전액 받으시는걸까요? 설명도 없어 많이 아쉽네요.
10,5.0,2023.10.15.,
11,3.1,2023.10.05.,"좋지도 나쁘지도 않은....

다양한 컨셉의 사진찍는 포토존을 만들고 관리하는게 필요함!!

예를들어 그네를 타며 찍을 수 있다던가 다딤질을 하며 찍는다던가 서책을 읽는 컨셉을 한다던가 밥을 먹는 컨셉이던가... 정작 각 건물의 용도는 만들고 랄려주면서 체험을 못하니 아쉬움.. 그리고 먼지 쌓인 인테리어는 관리가....필요함 세계인이 오는 곳인데... 창피함"
12,3.9,2023.10.04.,야행프로그램 추천합니다
13,4.3,2023.09.30.,
14,3.4,2023.09.30.,"나의 뿌리가 있는 이곳  

먼가 경이롭고 경건한마음이 절로 나게되는

그분의 성스러운 기운과 기품을 잔잔히 감상할수있었다

어진박물관 공사가 너무 아쉬웠지만"
15,4.0,2023.09.12.,
