,평점,날짜,후기
0,5.0,2024.04.29.,"하루 나들이 굿
볼거리ㆍ먹거리ㆍ즐길거리

행복한 날"
1,3.3,2024.04.27.,"️⭐️⭐️1/2…
여기도…그냥 그럭 저럭…"
2,4.0,2024.04.07.,
3,4.4,2024.04.05.,근처에 들릴일있음 가보는것도 나쁘지않음
4,4.1,2024.03.31.,"기대하고가서 좀 실망했어요.
아이들 옛날 교복입고 사진 찍는데 대충대충..
다른장소에서 찍은건 저장도 안되있고..
컵에 사진박는데 말귀를 못알아들으신건지 같은 사진 두장을 한곳에 프린트할뻔.
다른곳은 모르겠는데 제가 간 사진관은 정말 아니네요.
아이들은 신기한게 많아서 재미있어했고요.
저희어른들은 살짝 옛추억에 젖어왔네요"
5,3.5,2024.03.30.,
6,4.4,2024.03.20.,
7,4.0,2024.02.24.,
8,3.8,2024.01.25.,"군산 폐철도를 이용해 간단한 
상품.음식판매를 주업으로 하는 
관광테마파크
한번쯤은 가볼만한 곳입니다."
9,3.7,2024.01.24.,"종이공장과 연결돼있던 화물철도를 따라 집들이 다닥다닥 붙어 생겨난 마을. 후에 공장이 사라지고 열차도 더 이상 다니지 않게 됐지만 특유의 분위기로 유명새를 타 현재는 시장처럼 변모한 곳이다. 나름 좋았던 곳. 막 북적이지 않고 적당히 사람들이 있을 때 방문하니 여유롭고 좋았다. 추억이란 컨셉에 맞게 거리가 정말 아기자기하게 꾸며져있고, 지금 세대에겐 생소한 옛날물건들이랑 불량식품들을 체험해볼 수 있다. 관광지다보니 대부분 체험들이 가격은 살짝 있는 편. 그리고 워낙 여러군데 있어서 어디라고 집지는 못하겠는데 달고나집 아주머니도 정말 친절하셨다."
10,4.1,2024.01.20.,주차장이 없어 반대편에 주차해야하지만 그래도 건너편이라 좋은구경하고옴
11,3.6,2024.01.16.,"주차는 맞은편 이마트에 하는게 편함
그냥저냥 관광지임"
12,3.5,2023.12.27.,짧지만..그런되로. 엿날 생각 나게 해주었네요..
13,5.0,2023.12.16.,
14,3.8,2023.12.15.,"좁은 철길따라 추억소환되는 상점들이 즐비함
지정주차장이 따로 없어서 불편하지만 들려볼만함"
15,5.0,2023.11.29.,
16,2.5,2023.10.28.,
17,4.5,2023.10.16.,
18,3.7,2023.10.13.,"일단 입장료 없어서 좋구요
주차 늦게 가면 뺑뺑 돌아야 합니다."
19,2.7,2023.10.09.,"주차장은 따로 없고 길건너편
이마트에 주차가능
교복입고 사진찍어주는 사진사?들이
많이 보이던데.. 그건 추억도 될듯
그거빼고는... 딱히 볼게없네요."
20,3.0,2023.10.07.,규모 작고 볼 것 없이 옛날 불량식품만 판매중
21,3.1,2023.10.06.,군산 추억의 경안동 철길마을
22,4.2,2023.10.02.,"전형적인 K-관광지. 관광지와 무슨 연관이 있는지 모를 것들이 많이 있어요
그래도 한 번쯤 가볼만 합니다. 사람이 꽤 많고 거리가 상당히 좁아서 썩 쾌적하지는 않습니다"
23,1.4,2023.10.02.,진짜 1점도 아깝다.. 다시는 이곳에 발들이지 않으리.. 이런 사기가 다있다 왁스젤리? 하나에 일본 제로칼로리 젤리 하나 샀는데 5천원이라니.. 놀러왔다 기분만 나빠짐
24,3.6,2023.09.30.,주차는 이마트에서 하고  겄는데 철길이 짧고 같은 유형은 상점들이 반복적으로 있어 실망스러운 곳이네요
25,4.2,2023.09.24.,철길을 따라서 옛날 문화를 체험하거나 구경할 수 있는 가게들이 빼곡하게 몰려있어요. 가격대는 평범한 관광지 수준인 것 같고 군산 온김에 잠깐 들리긴 나쁘지 않았어요. 총 길이가 그렇게 길지는 않습니다.
26,4.0,2023.09.11.,
27,4.8,2023.09.01.,
28,3.5,2023.08.27.,"철길마을이라는 컨셉은 전혀 없고 그냥 옛날 물건 파는 구멍가게들 모아 놓은 곳처럼 느껴진다. 세네 가게 건너면 똑같은거 파는 가게가 또 나오는 개성없고 재미없는 공간이다. 철길마을이라는 정체성이 전혀 없는곳.. 
그래도 관광지로 꾸며는 놓았으니 지나가다 시간나면 한번정도 볼만한곳 같다."
29,3.1,2023.08.24.,
30,3.4,2023.08.17.,"길건너 이마트 주차장 이용
볼꺼 없고 교복도 썰렁
10분정도 보먄 끝"
31,4.7,2023.08.15.,가볼만해요
32,5.0,2023.08.09.,
33,5.0,2023.08.08.,
34,2.4,2023.07.31.,분위기가 너무 좋고 사진찍기좋아 좋음 밤이 더운치있고 좋은곳 그러나 상인들이 너무 상술이 심하고 불량식품이 무슨2000-3000원이 제일쌈 추억만 생각하기좋은곳
35,4.8,2023.07.22.,
36,3.9,2023.07.16.,옛 정취는 사라짐
37,3.5,2023.07.01.,
38,3.7,2023.06.11.,
39,4.1,2023.06.09.,"추억의 시간을 회상하게하는
멋진장소 입니다"
40,3.6,2023.06.07.,이름은 철길마을인데 그냥 철길을 끼고 옛날 물건 파는 비슷한 가게들만 모여 있는 골목시장임.
41,3.6,2023.06.06.,
42,4.4,2023.05.29.,"기대하고 간다면 100퍼 실망 , 철길이 주도 아닐뿐더러 사진찍기도 협소 , 먹거리도 없어요 주차도 힘드니 눈치껏합시다.

달고나 , 교복 , 풍선 터트리기 , 건어물 꾸어먹기 정도 밖에없어요"
43,4.2,2023.05.24.,
44,4.5,2023.05.21.,
45,4.2,2023.05.16.,포토존이 많은데 걸어다니기는 불편합니다.
46,1.0,2023.05.07.,
47,4.1,2023.05.06.,잡화상만 드럽게 많고 볼게 없음... 그냥 돈에 오염된 관광지
48,3.9,2023.05.06.,
49,4.3,2023.05.06.,
50,4.0,2023.05.06.,"옛날 70년대 분위기를 느껴볼수 있는곳이고
옆은 아파트 단지
주차는 도로변 노상 주차(무료) 또는 길건너 이마트 주차하고 갈때 물건사는 방법
뭐니뭐니 해고 교복 입고 사진과 뽑기 그리고 오징어께임에 나온 달고나 뽑기"
51,5.0,2023.05.04.,사진 찍기 너무 좋아요!
52,4.5,2023.05.03.,옛생각~
53,5.0,2023.05.03.,
54,5.0,2023.05.03.,"아이들과 옛날 교복 대여해서 놀았어요. 사진찍기가 좋고, 맞은편 E마트 주차장에 주차하니 주차걱정도 없었네요 ^^"
55,5.0,2023.05.03.,
56,4.0,2023.05.03.,
57,4.5,2023.05.02.,"옛모습이 정겨웠다
다시가도 재미날것같다."
58,3.2,2023.03.11.,사람들 많고 할 것이 많다. 옛 추억을 되살릴 수 있는 이 곳 제가 추천합니다.
59,3.3,2023.03.03.,장사꾼들만 모여있습니다 추억의 불량식품 가격이 전혀 추억의 가격이 아닙니다 당연히 비싸지만 애초에 가격을 적어두지 않아 사고 싶은 것을 담고 그 때마다 가격을 측정해서 불러주기에 젤리 10개에 만 5천원 주고 샀습니다 달고나 만들기도 스스로 만들고 체험 하고 싶은데 주인들이 이래라 저래라 가르치며 만들어줍니다 그럼 그냥 만들어져있는 것만 팔지 그러셔요
60,2.7,2023.03.01.,"주차는 이마트 주차장, 좁고 사람만 많고 뭐 하기엔 뭐가 없음. 그냥 상업성에 찌든 폐 철로 그 이상 이하도 아닌곳. 이런곳이 관광지라니…"
61,5.0,2023.02.16.,
62,4.1,2023.02.16.,
63,3.9,2023.02.01.,"1. 아이와함께 가볼만함
2. 주차장은 이마트에 이용했음
3. 입장에 돈이 들어가진 않으나 사람이 많아 사진찍기힘들고 잡다한 물건파는곳 상업성이 너무 진해짐"
