,평점,날짜,후기
0,4.3,2024.04.29.,평화롭고 좋았어요 다양한 새들과 동물원에 대해 잔잔하게 설명해주신 남자 사육사님이 기억에 남네요
1,4.3,2024.04.29.,"아이들과 산책하기 좋은 곳입니다.
사자 호랑이도 있어서 볼거리도 충분했네요."
2,5.0,2024.04.27.,
3,3.1,2024.04.11.,"다른곳에서 볼수없는 신기한동물들 많습니다
얼룩말, 하마는 처음보네요 ㅎㅎ
다보는데 2시간 30분정도 걸리는것 같습니다."
4,5.0,2024.04.11.,
5,5.0,2024.04.09.,
6,3.7,2024.04.02.,벚꽃은 참 예뻐요~ 동물원 포차도 감성 즥입니다 좀 아쉬울뿐
7,4.5,2024.03.30.,
8,3.0,2024.03.24.,"입장료는 저렴하지만.. 별로 볼건 없고 놀이공원은 물론 주차도 힘들어 대기만 1시간씩 잡아야 하는게 조금..그냥 생각 없이 걷기엔 좋아요.
주차장 들어가기까지 도로위에서 대기만 보통 1시간이상 걸립니다.."
9,2.8,2024.03.17.,
10,3.8,2024.03.07.,
11,3.9,2024.02.15.,"아주 작은 동물원입니다. 
저렴한 입장료와 조용하고 한적한 분위기, 편안해 보이는 동물들
대도시의 시끄럽고 복잡한 동물원보다 더 좋습니다."
12,3.9,2024.02.01.,
13,4.7,2024.01.03.,"전주와 가까운 익산에 살고 있어서 자주 방문하는데요! 이정도 금액과 거리에서 사자와 호랑이를 쉽게 만날 수 있다는게 큰 메리트인거같아요~
다양한 동물들이 살고 있고, 잔망둥이 다람쥐원숭이들이 바닥에 앉아 풀을 뜯어먹고 있는 모습과 새끼원숭이가 누구든 등에 업히려는 모습을 보고 귀여워서 한참 웃었어요 😂
수달은 몇 번을 갔는데 얼굴을 안보여주구요ㅜㅜ
오늘 처음으로 늑대도 만났는데 너무 귀여웠답니다~
비가 살짝 와서 그런가? 아기 코끼리도 보러가는 길에는 있었는데 도착하니 없어서 읭? 금새 들어갔나 했구요 큰 코끼리는 어딜갔나 도통 보이질 않아 속상했어요 ㅜㅜ
얼른 드림랜드 재개장 하면 좋겠어용 관람차 타고싶어요~"
14,4.0,2023.12.22.,"전주 1박2일 가족여행 중 2일째 날 조카를 위한 날이라서 동물원을 갔어요
성인은 동물원 입장료가 1인당 3천원, 65세이상인 엄마와 3세된 조카는 무료로 입장했어요 
동물원 입장료가 저렴해서 큰 기대를 하지 않고 입장 하였는데 생각 보다 넓었고 날씨가 춥기 전이라서 여러 종류의 동물들을 많이 볼 수 있었고 동물들을 보다보니 두시간이 훌쩍 지나가서 너무 놀랐어요^^
오랜만에 가족과 함께 동물원에 와서 조카는 평소에 관심을 가지고 좋아하는 동물들을 많이 볼 수 있어서 신나고 즐거워 했고 어른들은 가족과 함께 동물들을 봐서 좋고 동물들을 보고 신나하고 즐거워 하는 조카를 보며 더욱 즐거운 시간을 보냈어요 ^^"
15,4.8,2023.12.20.,
16,4.7,2023.12.01.,
17,3.6,2023.10.28.,"데이트 코스
아이와 가족 나들이
굳"
18,3.0,2023.10.10.,
19,3.2,2023.10.02.,
20,3.8,2023.09.29.,
21,4.3,2023.09.29.,"코끼리, 호랑이, 하마, 얼룩말!! 

큰 동물들을 볼 수 있어 좋았어요. 
안에 식당은 없어요! 씨유 있음!! 2023.9.방문"
22,5.0,2023.09.02.,"mid-sized but great zoo. not that many animals, but still great. recommended"
23,3.3,2023.08.29.,생각지도 않은 넓이에 기대이상이었네요
24,5.0,2023.08.25.,
