,평점,날짜,후기
0,4.2,2024.04.26.,
1,4.3,2024.04.24.,
2,4.5,2024.04.17.,대분분 관광지먹거리와 기념품가게에 실망 전주 현지분들은 갈일 없을듯 하네요 성당은 너무 좋았습니다
3,3.9,2024.04.15.,
4,3.0,2024.04.15.,알러뷰 솥빙수
5,3.6,2024.04.13.,
6,4.8,2024.04.11.,
7,5.0,2024.04.10.,
8,3.7,2024.04.10.,
9,5.0,2024.04.10.,
10,5.0,2024.04.09.,
11,2.4,2024.04.07.,"실망했어요. 콘크리트 건물이 한옥인지요.
이왕 만들거면 전통 방식으로 만들어야지요"
12,5.0,2024.04.05.,
13,4.0,2024.04.05.,사람들이 너무 많지만 구경하기좋고 먹거리도 많아서 괜찮았습니다.
14,4.1,2024.04.04.,
15,5.0,2024.04.03.,전주한옥마을에서 멀리 떨어진 곳에 주차를 했는데 셔틀버스를 운행하셔서 편하게 다녀왔네요! 예쁜 카페도 많고 볼거리도 많아서 좋았어요!
16,4.6,2024.04.03.,"한복입고~
경기전으로입장하시면
예쁜사진을담을수있어요~~~"
17,5.0,2024.04.02.,
18,4.6,2024.03.31.,먹거리들이 엄청늘었지만 그냥 아무생각없이 둘러보기좋음. 돈쓸데긴많음ㅎㅎ
19,4.7,2024.03.30.,
20,2.1,2024.03.23.,
21,3.0,2024.03.20.,좋은 구경하면서 많이 재밌어요. 비빔밥맛집도 맛있었어요.
22,4.0,2024.03.19.,"전주한옥마을 예쁘지만 많이 상업적인 모습이라 조금 아쉬운 점이 있네요. 그래도 주변에 경기전, 전동성당 등 유명관광지는 모여있어서 걸어다니기 좋아요! 평일에 기차타고 다녀오시는걸 추천!"
23,4.2,2024.03.16.,"외국인 8
한국인 2

내가 문어꼬치 구워먹는치즈 탕후루 먹으러 여기까지 온건 아닐텐데"
24,1.6,2024.03.16.,"점점 먹자골목인듯 시장통인듯 얄팍한 상술의 못된
상인들이 들끓는곳.한옥마을인데 다른지역 한옥마을처럼 한옥을 구경하거나 한적하게 거릴 거니는 그런 상상을 하고 가면 절대 안되는곳.
이게 무슨 마을이냐 되지도 않는 식당 카페만 때려 넣은 곳이지.어휴 외국사람들 지나갈때마다 내가 죄송스럽더라 이게 머냐"
25,4.9,2024.03.15.,
26,4.0,2024.03.13.,
27,3.2,2024.03.12.,
28,4.5,2024.03.09.,
29,3.7,2024.03.09.,"아......아쉬워요. 
전통을 전통스럽게 살리지 못하고 상술만....ㅠㅠ ㅠㅠ
기대없이 가야하는 곳."
30,4.0,2024.03.06.,
31,2.4,2024.03.04.,"주차가 정말 ㅠㅠ
제1공영,2공영,유료주차시설 주변농협할것없이 주차가 꽉차있습니다.
공휴일이었고요.
평일도 만만치않다지요
결국 남부시장천변주차(노면이 요철 무지심한블록형)해놓고 10분?쯤걸어서 경기전앞으로왔네요
거기다 인도없는골목길 어린이들데리고
다니기 힘들어요
좁고 주차된차들사이로 지나가는차비키고 다니고 바람부는 강추위에 너무고생이었습니다
날씨 개떡같은날은 안가는것이좋겠고
사실 근처도시 살았었지만  관심없다
커서 돌아보는데 주차문제 심각하여 당분간은 안올듯."
32,3.1,2024.03.04.,"학생시절 수학여행때 왔었는데 제대로 만끽하지 못한거 같아 나이 먹고 다시 방문 하였습니다
저도 만족했고 데리고 온 일본인 남자친구도 또 오고 싶다고 할 정도로 아주 만족스러웠습니다! 전반적으로 사람들이 너무 친절하심 음식도 맛있고.
명동 생각하면 먹거리 가격도 그렇게 비싸게 느껴지지도 않음"
33,3.5,2024.03.01.,굿
34,4.4,2024.02.29.,전주 가면 꼭 가야한다는 곳 가봤어요ㅎㅎ 볼건 많이 없는데 주위에 카페 이런거는 좋네요ㅎ
35,4.1,2024.02.27.,
36,4.3,2024.02.25.,
37,4.9,2024.02.23.,
38,5.0,2024.02.21.,환기 시키기 좋은 곳입니다~  오랜만에 환기 시켰네요^^
39,4.0,2024.02.20.,
40,4.1,2024.02.17.,
41,3.2,2024.02.17.,"전동카트 좀 없어졌으면 좋겠다
시끄러운 음악틀고 다니면서 보행자들 칠듯이 난폭하게 다니는데 사고날것 같다"
42,3.4,2024.02.14.,"전주여행 국룰이라 방문. 성당 이쁨. 문화재들 거의 5-6시쯤 문 닫음. 공사 중 많음. 동전빵 맛없음. 사주거리 많은데 대충 5만원이니깐 신중하게 보길,,,(맞는지는 아직 모름 몇개 맞추면 수정하러 옴) 시장이 이젠 노후화 되어감. 길이 울퉁불퉁해서 전기차 타면 멀미 가능성 있음."
43,4.3,2024.02.10.,
44,5.0,2024.02.08.,전주 하면 한옥 마을!
45,3.2,2024.02.08.,"한옥의 가치 체험이나 정보보다 탕후루만 팔아서 
영화세트장 다녀온 기분이랄까?"
46,5.0,2024.02.07.,
47,3.3,2024.02.03.,
48,5.0,2024.02.03.,
49,5.0,2024.02.01.,역사와 함께하는 관광지. 전동성당과 전주사고 어진 등 역사도 알아갈 수 있는 곳...! 공예전시관도 가보세요 한땀한땀 장인의 작품들 보는게 너무 재밌었습니다
50,3.0,2024.02.01.,
51,3.4,2024.01.30.,"특별히 볼건 없네요.
그냥 한옥마을임"
52,3.7,2024.01.25.,볼거없다
53,5.0,2024.01.24.,
54,3.3,2024.01.23.,
55,4.2,2024.01.21.,음일단 여름에는 비추함
56,3.2,2024.01.14.,오목대 올라가보셔야 전주한옥마을을 제대로 볼 수 있습니까
57,4.1,2024.01.09.,먹을 것이야 그렇다치더라도 온갖 너저분한 간판으로 영업하는 사주 타로 집들...  다 예언적중했다는 믿을수도 없는 이상한 문구와 귀신나올거같은 형광색색 간판으로 한옥마을이 싸구려 관광지로 보여요 ㅠ
58,2.4,2024.01.05.,
59,3.3,2024.01.01.,예전보다 사람이 적어지긴 했습니다. 그래도 전주하면 한옥마을이죠.
60,4.5,2023.12.31.,
61,1.8,2023.12.30.,가격 바가지
62,4.0,2023.12.28.,언제 방문해도 거리가 깨끗합니다
63,3.7,2023.12.28.,
64,5.0,2023.12.27.,
65,2.8,2023.12.26.,"볼거 없는 관광객 없는 전주에 인위적으로 만든 한옥들 한옥마을애서 파는 간식들 음삭 상점 볼거리 찻집 카페 오락실등등 전국 어디에서나 볼수있고 먹을수 있으며 한번가면 다사는 안 찾는 이유가 있고 전주현지인들은 안가는곳
앞으로 5년 봅니다."
66,4.3,2023.12.24.,너무 상업적인 느낌이 들어요.
67,2.6,2023.12.24.,"주차할곳이 없으면 더 늘리던가.. 길가에 주차를 해놓아서 유턴시 방해(사고우려)..  돌아다니면서 차량이 와서 사람들이 피해다님..
다시 오고싶지않음"
68,2.6,2023.12.16.,
69,3.8,2023.12.15.,
70,4.0,2023.12.14.,
71,5.0,2023.12.14.,
72,3.0,2023.12.12.,
73,5.0,2023.12.12.,
74,3.8,2023.12.11.,전주에 가면 볼거없는데 정말 갈데가없어서 가는 곳...너무 다 비싸다
75,3.0,2023.12.10.,
76,3.8,2023.12.10.,적당히 비쌌으면 좋겠다….
77,4.2,2023.12.09.,또  가고싶네요 ㅋㅋㅋ  애기  너무좋아햐요
78,4.1,2023.12.09.,
79,3.0,2023.12.08.,
80,3.3,2023.12.04.,’여기가 전주다‘ 싶은 거리
81,2.4,2023.12.03.,"동네 주민들은 이상한걸 못 느끼나?
인생네컷, 점집, 탕후루, 한복대여점밖에 없음.
수원 행궁동이 차라리 낫다.
7년전에는 좋았지만 지금의 한옥마을은 외국인 친구에게 당당하게 가지말라고 할 수 있다..."
82,3.6,2023.11.29.,"맛있는 길거리 음식도 많고 예쁜 한복들도 많고 사람도 많은. .. 관광지 ㅋㅋㅋ
외국인 친구도 좋아하고 친구들이랑 놀러가기도 좋다"
83,4.3,2023.11.24.,
84,3.3,2023.11.24.,
85,4.5,2023.11.23.,지역 명소입니다 추천합니다
86,5.0,2023.11.23.,
87,3.8,2023.11.20.,가볼만해요~
88,4.2,2023.11.20.,"십원빵
맛나요"
89,3.9,2023.11.19.,"전통가옥들 보다는 그냥 장사하는 가게들만 잔득, 외국아 관광객도 많이 찾는 곳인데 외국인 편의 안내 매우 미흡."
90,4.2,2023.11.19.,"어두운 저녁시간 때에 오니 분위기가 참 좋았어요
그만큼 사람도 많고 북적북적해서 길 걸을 때 좀 복잡했었는데 그럼에도 불구하고 분위기가 좋으니 용서가 되더라구요 ㅎㅎ...

한옥마을 들어가기 전에 카카오프렌즈 스토어가 있는데 전주에만 판매하는 춘식이 인형이 너무 귀여웠어요 
사고 싶었지만 과소비할까봐 자제했습니다 돈만 많았다면 샀을지도 모르겠어요~

분위기는 경주에 황리단길이랑 엄청 비슷했어요 비빔밥 빼면 파는 음식도 비슷했어요. 전주에 온 건가 경주에 온 건가 헷갈릴 정도 
전주에서 왜 유명한지 알 것 같아요 맛집도 굉장히 많고 볼 거리 또 점집이랑 사주 봐주는 곳이 많았어요. 만족합니다. 전주여행 행복했어요"
91,5.0,2023.11.18.,
92,3.9,2023.11.16.,매력적인 곳입니다. 근데 점점 국적없는 유원지로 변해가는 모습이 안타깝습니다.
93,4.4,2023.11.11.,이젠 재방문 의사가 없네요
94,3.5,2023.11.10.,
95,4.1,2023.11.08.,"한옥마을 자체는 좋은데,
길거리 점포 음식들이 너무 짭니다.
회오리감자는 시즈닝 폭탄"
96,4.2,2023.11.07.,
97,4.2,2023.11.05.,
98,3.5,2023.11.05.,
99,4.6,2023.11.04.,사람들이 너무 많아서 한번은 가볼만 한 것 같아요
100,4.3,2023.11.04.,
101,5.0,2023.11.03.,
102,3.6,2023.11.02.,"한옥이 아름답고 간이도서관이 좋았어요.
제가 간 날에는 풍물놀이를 하였는데, 같이 간 외국인 친구가 아주 좋아했습니다.
또한 저녁에 한 대금 버스킹도 멋졌어요.
다만 여럿 리뷰들이 말해주듯 같은 점포의 반복 반복이 지칩니다.
풍년제과 한복대여 탕후루 벌떡주(....애들많은데^^;) 비빔밥집 찻집 미니자동차? 대여소 십원빵
이게 다에요."
103,4.5,2023.11.01.,
104,5.0,2023.11.01.,한정식 30만원상. 좀 부담 되는 가격이지만 체험 해 볼만
105,5.0,2023.10.30.,
106,3.3,2023.10.28.,차 없이 뚜벅이로 평일에 가세요^^
107,4.0,2023.10.27.,
108,4.7,2023.10.22.,
109,4.5,2023.10.22.,
110,3.6,2023.10.20.,마을은 아니고 거리정도?
111,4.0,2023.10.20.,기대했던것 보다 별로였네요~
112,4.6,2023.10.15.,
113,4.0,2023.10.15.,
114,5.0,2023.10.15.,
115,4.8,2023.10.13.,
116,3.6,2023.10.13.,
117,4.3,2023.10.12.,좋아요~~
118,3.9,2023.10.08.,"생각했던것보다 넓어서 산책하기 좋고 볼거리, 먹거리가 많아서 좋았습니다."
119,5.0,2023.10.07.,
120,3.1,2023.10.05.,"전주에서 가장 노잼
너무나도 중복된 컨셉의 점포들로 즐비한 거리 어딜봐도 거기서 거기 정작 외각으로 벗어나면 유니크한 것들이 보임.
십원빵+사주+한복대여+팥빙수+한옥숙박의 반복...
뭔가 다양한 음식이있는 것도 아니고 다양한 상점이 있는 것도 아니고... 누가 잘되면 따라서 너도나도 똑같은거 파는듯 개성없는 점포들로 즐비 
한복입고 거니는거 꼭 여기 아니라면... 굳이...
촬영 명소도 굳이 한옥마을 아님 덕진공원, 전주수목원에서 더 많이 찍음."
121,3.3,2023.10.04.,
122,4.3,2023.10.03.,
123,5.0,2023.10.03.,
124,4.0,2023.10.02.,"조금은 실망, 판매점들만 많고 한옥마을을 느끼기가 어려웠음
사람만 많고 북적이고 한옥마을이 아닌 한옥모양의 관광지 판매점 같아서요"
125,5.0,2023.10.02.,
126,4.2,2023.10.01.,간만에 신나고 즐거운 시간이었네요.
127,5.0,2023.10.01.,예쁘네요
128,3.7,2023.10.01.,한옥마을에 뭔가 크게 기대를 한건 아니지만 기대를 안했어도 크게 볼거리나 먹거리는 좀 부족하지 않았나는 생각은 듬. 상점들이 전부 한옥 스타일인거 말고는 한옥이라고 하기엔 체험할 수 있는 한옥은 많지 않았음. 사람들 걸어다니는데 키트 같은 치량들이 다녀서 좀 개판이라는 점도 조금 아쉽고 관광객은 넘치지만 상점마다 직원들 수는 적어서 기다리던지 말던지 신경쓰지도 않는다던지 물어봐도 시큰둥 하다던지 하는 점은 눈쌀을 찌뿌리게 하긴 했음. 한번쯤은 가볼만 하지만 두번 세번은 갈 필요가 있을까? 싶었음
129,3.8,2023.10.01.,
