,평점,날짜,후기
0,4.0,2024.04.20.,
1,4.1,2024.04.15.,"내방객에 비해 주차장이 다소 협소한 것 같아요
입장료가 무료인데 너무 과한 요구인가요
잘 꾸며놓았네요
충분히 힐링하고 갑니다"
2,4.5,2024.04.12.,여유롭게 대화하고 산책하기 좋은 수변공원
3,4.3,2024.04.06.,"전주 한옥마을을 2년전에 오고나서 갈곳이 마땅찮았는데 임실이며 지나오다 전주 수목원이 좋다해서 들렀네요
조경도 이쁘고 꽃들도 많이피고 구경하느라 천천히 둘러보기 좋았어요"
4,3.9,2024.03.15.,"입장료 무료
근교의 관리 잘 되어 있는 예쁜 수목원"
5,3.3,2024.03.02.,
6,3.4,2024.02.14.,"전주여행 갈 때 들렀는데 꼭 차 타고 가세요 버스는 마지막 역 내려서 20분 더 걸어야 합니다. 
겨울이라 식물 거의 없는 거 예상했습니다. 공사 중인 곳도 많고 대부분 노후화되어 있긴 합니다. 온실은 관리도 잘 되어있고 2곳이 있는데 고사리 온실이 찾기 힘들었지만 사람도 없고 관람하기 좋았습니다. 사진은 대부분 유리온실입니다."
7,3.8,2024.02.04.,
8,1.0,2024.01.20.,
9,4.9,2024.01.18.,넓고 볼 것도 많아 좋았어요. 수목원은 보통 스팟스팟만 꾸며놓는 경우가 많은데 여기는 스팟 이어지는 길목들도 이어지게 꾸며놨다는 느낌이 들어서 신났음.
10,5.0,2024.01.01.,
11,3.8,2024.01.01.,
12,5.0,2023.12.12.,
13,4.2,2023.11.19.,"아름답습니다...뚜벅이인 저에게는 좀 걸어야 해서 귀찮았지만 외진 곳이 아니라 길 찾기가 너무 쉬웠습니다. 
입장료가 무료라서 너무 좋았어요 입장하는 길 옆에 보면 팸플렛이 있는데 별 다른 설명 없이도 직관적으로 알아볼 수 있는 지도가 있어 찾기가 쉬웠습니다.
들어가자마자 넓어서 어딜 가야하나 고민하다 발걸음이 이끄는대로 갔어요. 이곳저곳 둘러보고 꽃도 보고 너무 이뻤습니다. 겨울철이라 대부분 꽃은 마르고 져있지만 그런 계절에도 펴있는 꽃이 종종 있어 보는 내내 눈이 즐거웠습니다 아름다웠어요 식물을 구경하러 걷다보면 나무,식물 설명이 적힌 안내판이 보이는데 읽는 것도 재밌더라구요 상식이 쌓이는 기분이라 더 재밌던 것 같아요 또 밑에 QR코드 스캔하면 360도 VR로 현재 있는 곳 풍경을 볼 수가 있더라구요 이런 세세한 부분까지도 신경쓰고 열심히 관리하고 있다는 게 느껴져 너무 좋았습니다.
비록 겨울이라 예쁜 꽃들이 많이 피지 못해서 많이는 못 봤지만 내년 봄 여름 가을 쯤에 계절마다 한 번씩 가보려구요

 언젠가 예쁜 꽃들이 만개한 길을 걸을 수 있길 기대해봅니다."
14,4.0,2023.11.05.,무료로 이쁜 식물 잔뜩 보고와서 좋았어요
15,4.7,2023.11.04.,
16,4.7,2023.10.09.,전주수목원 가볼만합니다 좋아요
17,3.1,2023.10.05.,"전주 사시는분들이 부러워요!!!
포토스팟 눈호강 힐링 무료 혜자!!!"
18,4.0,2023.10.03.,
19,4.0,2023.10.01.,"9월 28일
전주 왔으면 무료입니다. 가세요../
그냥 가세요..무료라고 기대 안했는데
왠만한 유료수목원보다 나은걸..
무조건 전주오시면
전주수목원, 전주난장..2군데는 꼭 가세요.."
