,평점,날짜,후기
0,3.7,2024.04.04.,
1,4.4,2024.03.05.,24.03.04 부터 휴원한대요~ 참고 참고
2,4.4,2024.03.03.,"동백꽃 뷰로는 동백수목원, 동백포레스트 두곳은 필수코스에요. 작년보다 더 풍성해져서 해가 더해질 수록 볼만해 집니다."
3,4.3,2024.03.01.,강아지도 갈수있고 사진도 너무 잘나와요
4,5.0,2024.02.27.,
5,5.0,2024.02.15.,
6,3.9,2024.01.28.,엄청 넓어요 나무도 많고 사람도 많고 새도벌도 있답니다 1월말 기준 동백꽃 많이 졌어요ㅠ 제주도민 입장료 30퍼 할인
7,5.0,2024.01.23.,제주도에 다시간다면 다시한번가보고싶은곳입니다
8,4.1,2024.01.22.,사람 진짜 많은데 동백나무 더 많음. 사람 많다고 걱정할 필요 없다. 사진 찍을 나무는 많다. 가면 동백빵 꼭 드세요. 별미임.
9,5.0,2024.01.20.,12월중순에 가니까 동백꽃 한창입니다.
10,4.0,2024.01.20.,"제주도 성지.
너무 예쁘게 잘 꾸며져 있고 막 찍어도 예쁨
가식적 문구도 없어서 좋았음
근데 사람 많아서 카페 안 포토존 30분 기다리다 포기함"
11,4.0,2024.01.16.,
12,3.5,2024.01.16.,주차는 길가에 하고 맑은날 가면 파란하늘과 진분홍꽃과 초록잎이 어우러져 이쁜곳! 밝은옷 입고 사진 필수!
13,4.1,2024.01.16.,"시즌이라  주차가 힘들어요.    
옆 관광지랑  틀릴거없어서  주차하다가 그냥 돌아나왔네요..ㅜㅜ"
14,5.0,2024.01.13.,최곱니다..
15,4.8,2024.01.12.,꽤괜 일단 입장료가 적당
16,4.3,2024.01.09.,"1월달제주방문시에 꼭 와봐야하는 동백꽃명소입니다
동백이화려합니다"
17,4.9,2024.01.09.,입장료 없이 주변에서 사진 찍어도 좋아요
18,4.3,2024.01.06.,
19,4.1,2024.01.05.,여기저기 동백 가득이라 이뻐요! 포토존도 많았지만 입장료 6천원은 비싼 거 같아요
20,4.0,2023.12.29.,시설에 비해 입장료 너무 비싸요 5천원만 받아도 될 것 같은데 만오천원이라니 ㅋ 30분만에 돈 버리고 나왔네요
21,4.4,2023.12.28.,사진이 잘 나오는 사진맛집 ! 적당한 인파속의 힐링
22,4.2,2023.12.22.,"그냥 동백을 보면되는데 입장료를 왜 받는건가요?
입장료 안내면 카페도 못들어. 간다네요 
입장료 6천원 입니다 성인 
밖에서 그냥 보이는 동백을 입장료 내고 보라네요"
23,3.1,2023.12.20.,
24,4.5,2023.12.20.,12월13일 동백꽃향기가  끝내줍니다^^
25,4.7,2023.12.13.,
26,4.0,2023.12.12.,
27,4.6,2023.11.20.,
28,1.5,2023.04.18.,입장료 5천원씩 4명결제한거 현금영수증은 누가해주실껀지요!!ㅡ..ㅡ이쁜꽃을 보러가찌 잘자라구있는지 확인하러간건지..참...
29,4.8,2023.04.07.,11월 21일 방문. 지금이 최고 절정기라 해도 믿을 만큼 완벽하게 만개! 창문 포토존은 이제 줄서지 않고 카카오톡 알람 서비스 전자기기 도입해서 덜 혼잡하고 좋다. 정상오픈가격 성인 4천원 (도민 3천원).
30,4.4,2023.02.20.,"2/20 꽃 별로 없어요
나무는 많아서 만개할때 오면 예쁘겠어요"
31,4.0,2023.02.12.,동백이 활짝 피어난 모습들이 진짜 너무너무너무 멋진 공간🥺 더 가득히 피어났을 때 꼭 다시 방문하고 싶은 곳!
32,3.3,2023.02.04.,2월 1일에 방문했는데 꽃이 다 시들어서 바닥에 꽃잎 썩은게 잔뜩있고 나무에는 멀쩡한 꽃은 찾아볼 수 없었음. 이 정도면 솔직히 양심적으로 입장료 받고 운영하는건 아닌듯. 최소한 꽃을 구경했다는 느낌은 받아야 하는데 꽃이 나무 하나에 몇 송이 정도 찾을 수 있었던거 같음
33,4.6,2023.01.30.,다 졌어요.
