,평점,날짜,후기
0,4.9,2024.04.27.,
1,3.0,2024.04.23.,동백이 좀 져있어서 4월 18일방문 시 꽃은 많이 없는편이었어요. 대신 온실꽃은 참 이뻤어요. 포토스팟이 좀 있으니 그래도 아기자기하게 사진찍을 곳이 많아요. 5~6월엔 수국피면 이쁘겠던데요
2,4.8,2024.04.22.,식물들과 함깨하는 공기가 맑았습니다
3,5.0,2024.04.14.,
4,5.0,2024.04.05.,"사사사철 꽃들을 즐길 수 있는 정원이어요. 3월 말에 갔어도 선홍색 붉은 동백꽃이 바닥에 융단처럼 깔린 길을 볼 수 있어 좋았답니다. 앞서 말했듯이 그 외에도 튤립, 벚꽃, 겹벚꽃 등 다양한 꽃들을 즐길 수 있어요~"
5,3.1,2024.02.26.,
6,3.3,2024.02.25.,"겨울철에는 볼게 없네요.
다 공사중이라고 하고..
그래도 한 번 정도는 가 볼만 합니다.
그래도 돈은 아까워요."
7,3.8,2024.02.13.,"0점 없나요...? 말그대로 0점입니다!!
겨울엔 진짜 돈아깝구요 그리고 한참보고 있는데 우우우우우웅거리면서 공사라뇨...? 보란건지 말란건지..? 개 돈 아 까 움 그리구 우리가 늦게 가긴했지만... 큰 온실 문닫은건 진짜 용서가 안돼네요..!! 그냥 다 져가는 꽃보다가 끝난느낌입니다.. 다신 안가려구요 ㅎㅎ그럼20000"
8,4.7,2024.02.13.,"온실에만 꽃이 있고, 야외엔 거의 꽃이 없어서 많이 아쉬워요. 카멜리아힐 이쁘다그래서 기대하고 왔는데ㅜㅜ 동백꽃이 거의 없네요ㅜㅜ
가을정원도 못들어가궁.. 가격대비 아쉬운 장소네용!"
9,4.5,2024.02.08.,
10,4.2,2024.02.06.,
11,4.5,2024.02.06.,다양한 전세계 동백꽃들을 볼수있어요
12,4.6,2024.02.01.,"기대안하고 가봤는데
넓어서 볼거리가 많아서
개인적으로는 좋았어요ㅎㅎ"
13,4.8,2024.01.28.,"후기보고 방문했는데 눈오고 날씨가 안좋아서 아쉬웠고 동백꽃이 별로 안보여서 실망
동백꽃이 활짝피면 예쁠거 같긴해요
사진찍는 포인트는 괜찮았어요"
14,3.5,2024.01.23.,"생각보다 동백이 엄청 만개하진 않았어요.(1/18 기준)
그래도 조경을 정말 잘 해놓으셔서 산책하기 좋았습니다"
15,4.5,2024.01.23.,동백이 다 져서 너무 아쉬웠어요
16,5.0,2024.01.23.,
17,3.8,2024.01.22.,
18,4.2,2024.01.21.,
19,3.1,2024.01.21.,"동백꽃 종류마다 피는 시기가 다른데 우리가 아는 동백꽃운은 1월말2월초큰 되어야 피는 것 같더라구요
카멜리아힐은 동백꽃보다 오히려 가을정원이 예뻤습니다 진짜 가드닝을 잘해놨더라구요!! 추천"
20,3.7,2024.01.20.,그저 그랬어요 엉성한느낌
21,2.5,2024.01.18.,"일단 입장료는 인터넷 찾아보면 저렴한거 더 있어요.
1월엔 꽃이 별로 없던더 같아요.
산책길은 좋은데 
아침 오픈런 했는데 단체관광 온 사람들이 많아서
북적북적하고 눈치게임 실패해서 힘들어서 금방 나왔어요."
22,5.0,2024.01.12.,"힐링하기좋은곳
계절마다 다른 느낌인곳
또 가고싶다
핑크뮬리명소 수국명소 억새밭 산책로"
23,4.4,2024.01.11.,"겨울에 동백꽃도 예쁘고 사진찍기도 좋아요.
넓어서 사람이 많아도 볼만해요
겨울뿐아니라 사계절 보기 좋은 곳 같아요"
24,4.5,2024.01.09.,
25,4.5,2024.01.04.,서귀포 여행 내내 날씨가 안 좋아서 아쉬웠는데 카멜리아 힐만큼은 너무 만족했습니다! 사람이 많다고 느껴지지만 서울 보다 사람 훨씬 적어서 인생샷 건져가기에 딱이에욤
