,평점,날짜,후기
0,3.8,2024.04.30.,
1,4.3,2024.04.28.,
2,4.5,2024.04.21.,"아름다운 섬 제주라서 그런가
조금 색다른 느낌?"
3,5.0,2024.04.17.,
4,4.1,2024.04.14.,주차편하고 경치가 좋습니다
5,4.5,2024.04.05.,"서우봉 일출 일몰 명소이며 서우봉 둘레 산책로가있어요. 전망이 좋은 까페(델00, 스타00, 백00 etc)들이 있어요.
해변경사는 완만하여... 물때를 잘 맞추면 애기들도 해수욕 즐기기가 좋아요.
밤에는 펍도 있어... 즐길공간도 있네요."
6,4.0,2024.04.04.,
7,5.0,2024.04.02.,멋져요~
8,4.4,2024.03.25.,제주의 바다는 역시 맑고 좋았음
9,4.2,2024.03.23.,"동쪽에 잠깐 들렸을때 왔음
너무 예뻤음 포항영일대 느낌
다음 제주도 여행시 함덕에서 있을 예정"
10,4.8,2024.03.21.,
11,4.9,2024.03.19.,낮과 노을질 때 둘 다 너무 예뻐용
12,5.0,2024.03.18.,
13,4.6,2024.03.14.,재밌게 놀았습니다 ㅎㅎ.
14,5.0,2024.03.13.,the Seoubong hill makes it special. the beach is ok but the hill makes it majestic. the view of up there is muwwwaaah.
15,3.7,2024.03.09.,
16,4.4,2024.03.05.,
17,3.8,2024.03.04.,
18,4.5,2024.03.02.,"야경 이뻐요~
꼭 가보세요!"
19,3.8,2024.03.01.,
20,4.6,2024.02.29.,
21,4.4,2024.02.19.,기대하고 간 곳은 아니였는데 너무 좋았어요
22,5.0,2024.02.15.,
23,4.9,2024.02.14.,"물이맑고 깨끗하다
전망굿👍👍👍👍👍"
24,1.9,2024.02.12.,
25,4.1,2024.02.08.,함덕은 환상적인바다
26,4.1,2024.02.08.,
27,3.6,2024.02.02.,
28,4.0,2024.01.23.,
29,4.9,2024.01.23.,
30,4.4,2024.01.23.,함덕해수욕장 카페에서 멀리봤는데 이뻐요
31,2.7,2024.01.22.,"너무 아니다
아무리 관광지라도
별 하나 이하도 만들어라"
32,3.0,2024.01.19.,
33,3.4,2024.01.15.,
34,4.0,2024.01.04.,
35,4.3,2024.01.03.,아름다와…
36,3.0,2024.01.01.,최애 바다
37,4.2,2024.01.01.,
38,4.1,2023.12.23.,사진 찍기 좋아요 ^^
39,4.3,2023.12.11.,서우봉이 보이는 함덕 해수욕장은바닷물이 사파이어색으로 여름뿐만 아니라 4계절내내 멋있어요 👍 😍 😎 😁 포토존 일출명소
40,4.0,2023.12.06.,때  묻은 해수욕장 바다는 멋진데 아쉽다
41,3.4,2023.12.02.,
42,4.6,2023.12.01.,제주도 갈때마다 들리는 함덕해수욕장. 쵝오!
43,3.3,2023.11.27.,
44,4.8,2023.11.25.,여름만 되면 제주도가 아른거리는 이유.
45,5.0,2023.11.25.,
46,3.9,2023.11.24.,
47,4.0,2023.11.20.,
48,5.0,2023.11.19.,
49,5.0,2023.11.16.,
50,5.0,2023.11.11.,Best sea sight viewpoint.
51,4.0,2023.11.11.,
52,3.1,2023.11.09.,
53,5.0,2023.11.06.,
54,5.0,2023.11.06.,바다색깔이 너무예뻐요
55,4.3,2023.11.05.,
56,4.4,2023.11.04.,포토존
57,4.8,2023.11.03.,바다가 이쁜 제주 동쪽 해수욕장
58,4.9,2023.11.03.,
59,3.0,2023.11.02.,함덕의 노을은 늘 아름다워
60,5.0,2023.11.01.,
61,3.1,2023.10.24.,말모말모 ~ 풍광.좋아요
62,3.8,2023.10.23.,제주도에서 아름다운 해변을 걷고 싶다하시면 여기강력추천합니다
63,4.5,2023.10.21.,물놀이 포토존
64,4.3,2023.10.20.,역시 제주 바다. 함덕 좋네요
65,3.7,2023.10.20.,
66,4.2,2023.10.19.,
67,4.1,2023.10.14.,바다색 이쁨
68,3.3,2023.10.14.,이게 바다다.
69,5.0,2023.10.11.,
70,4.5,2023.10.10.,
71,3.4,2023.10.07.,서우봉과 노을이 만나는 다채로움
72,4.8,2023.10.06.,"주차 뷰 모두 만족스러웠음 바다도 깔끔하고 
근데 많은 사람들이 하늘에 날라댕김"
73,4.9,2023.10.03.,바다가 참 이뻐요
74,4.4,2023.10.02.,
75,4.3,2023.10.01.,"넘흐넘흐 좋아요
세번째방문인데도 또갈겁니다^^"
76,4.0,2023.10.01.,
77,3.8,2023.10.01.,
78,4.2,2023.10.01.,
79,4.7,2023.10.01.,
80,4.2,2023.09.30.,"주위환경,화장실,음용수,바다물이 깨끗하다"
81,4.0,2023.09.28.,너무 예쁘고 좋아요!
82,3.8,2023.09.23.,
83,4.0,2023.09.19.,
84,3.3,2023.09.18.,"너무 멋진곳이네요
물도맑고 수심도얕고 해외온것같아요"
85,4.5,2023.09.17.,"바다색이 정말 이쁜 에메랄드 빛
해수욕장이 깔끔하고 좋아서 애기들 데리고 오기도 좋아보였음
근처에 맛집도 다양하게 있고 스노쿨링이나 해수욕하기 좋음"
86,5.0,2023.09.14.,
87,2.3,2023.09.12.,
88,4.5,2023.09.11.,
89,3.9,2023.09.10.,
90,4.3,2023.09.09.,
91,5.0,2023.09.08.,
92,4.0,2023.09.01.,
93,4.9,2023.09.01.,
94,4.5,2023.09.01.,4개의 각자 다른 해변마다 또 다른 재미가 있어서 좋아요~
95,4.2,2023.09.01.,"여름을 신나게 즐기고 싶으면 추천~ 운좋으면 파도도 꽤 높은 날이 있더라 (흐린날, 아침시간대) 
여기 스노쿨링 금지지역~ 몰래 하는 사람 있긴 있어요."
96,4.7,2023.08.30.,가본 제주도 해변 중에서 가장 이국적인 느낌의 해수욕장
97,5.0,2023.08.29.,
98,3.5,2023.08.29.,
99,5.0,2023.08.29.,
100,4.5,2023.08.28.,"식당도 많고 이것저것 구경할것도 많은데
정말 많이 북적입니다

북적이는걸 좋아하시면 좋고
아니면 너뮤 정신 산만해요"
101,1.5,2023.08.27.,"절대.. 패일링 하지마세요.. 반말과 존댓말을 섞어서 하시는데 기분 나쁘게 말하십니다 놀러와서 돈쓰는데 기분이 안좋네요 

옆해수욕장이 더 좋더라구요"
102,4.5,2023.08.27.,물놀이 일출명소
103,5.0,2023.08.27.,
104,3.8,2023.08.25.,"옆에 오름때매 뷰가 미쳤어요
물도 너무 맑고 예뻐요"
105,5.0,2023.08.25.,
106,4.7,2023.08.22.,"잠깐 노을 보러 들렀는데 사람들 정말 많은 핫플
버스킹, 플리마켓도 있음
웬만한 프랜차이즈 다 있음 번화가임
주차 편하나 차가 많아 번잡함
해수욕하는 사람도 많았고 시설도 잘 돼 있음

화장실에서 씻는 사람이 많아
볼일 보고 손씻으려고 기다림..
샤워실 따로 있는 거 같은데
몇천원 아끼자고 화장실에서 씻지 좀 맙시다..
적어도 4학년은 돼 보이는 여자애를
속옷까지 다 벗기고 씻겨서 매우 당황함
지금 당장은 모를 수 있어도
나중에 크면 많이 수치스러울 겁니다.."
107,4.4,2023.08.22.,"함덕해수욕장 아이들 데리고 
또 가고싶은 곳."
108,4.6,2023.08.21.,대박 더워요
109,4.5,2023.08.20.,bbbbbbbb해바라기 물놀이 차박 일출명소 포토존
110,3.6,2023.08.18.,
111,4.5,2023.08.18.,물놀이 차박 포토존
112,5.0,2023.08.17.,
113,5.0,2023.08.17.,
114,4.2,2023.08.17.,
115,4.5,2023.08.15.,소노벨 앞
116,5.0,2023.08.10.,
117,4.8,2023.08.10.,"역시 좋은 해변입니다.낮에도 재미지게 놀고 밤에도 좋은 해변이네요. 

포토존 일출명소 물놀이"
118,5.0,2023.08.10.,잔잔하고 경사도가 낮아 아이들과 놀기에 안성맞춤입니다. 물놀이
119,4.6,2023.08.10.,다시가보고싶어요
120,5.0,2023.08.08.,뷰도 좋고 너무 예쁜곳이예요
121,4.3,2023.08.07.,
122,3.3,2023.08.06.,"여름시즌은 정말 사람  바글바글! 
주차 hell!
 상가밀집된곳에서 먹거리사먹어야지. 해수욕장 안에서 파는건 가격이 사악함. 파라솔등등 역시 성수기때 해먹어야한다는 자부심이 뿜뿜한곳.
요즘 수질 안좋아요  해파리도 종종보이고 조심해야함.
여튼 도민으로선 관광객이나 가봄직한곳."
123,3.2,2023.08.06.,"바다는 좋음 근데 왜이렇게 중국인이 많은지..
쓰레기들좀 잘 처리하고 가지; 
제주에서 가장 아쉬웠던 해수욕장.."
124,4.9,2023.08.04.,
125,3.4,2023.08.02.,
126,3.7,2023.08.01.,"최공
샤워실 온수 안나옴"
127,3.9,2023.08.01.,참 예쁜 바다네요~ 저녁쯤에 와서 뷰만 보고 가요
128,4.5,2023.07.26.,
129,4.4,2023.07.25.,
130,4.2,2023.07.24.,에메랄드빛 바다에 몸을 담굴 수 있다는 것 자체만으로도 행복했던 곳. 깊이가 낮아서 신기했음
131,3.0,2023.07.24.,제주에서 가장 이쁜 바다. 가슴이 뻥 뚫린다
132,3.5,2023.07.22.,"함덕해수욕장은  자주가요.
바다 색깔도 이쁘고 좋아요"
133,4.3,2023.07.22.,물놀이
134,4.2,2023.07.22.,
135,4.6,2023.07.22.,
136,3.9,2023.07.20.,"물놀이 하기 좋음, 주변식당도 좋음"
137,4.0,2023.07.18.,자주갑니다. 갈때마다 좋아요~^^
138,4.1,2023.07.17.,물색 너무예쁨 모래사장 경사도 낮아서 물놀이하기 너무 좋을 것 같다
139,4.3,2023.07.16.,
140,3.9,2023.07.15.,"서쪽에 협재, 동쪽에는 함덕"
141,5.0,2023.07.13.,
142,4.8,2023.07.08.,
143,4.7,2023.07.08.,
144,4.0,2023.07.07.,
145,4.3,2023.07.07.,맑은 바다 굿 서우봉도 옆에 있어서 좋았음
146,4.5,2023.06.30.,
147,3.7,2023.06.28.,
148,5.0,2023.06.26.,
149,4.2,2023.06.25.,쓰레기만 없으면 좋겠다
150,3.7,2023.06.23.,바다색깔 진짜 이게 말이되나 싶을정도로 너무 이쁘
151,4.3,2023.06.22.,좋아여 ㅎㅎㅎㅎ
152,3.6,2023.06.19.,"모래바람 수영 바다색 
또오고싶"
153,5.0,2023.06.19.,
154,4.6,2023.06.18.,"해변을 따라서 쭉 산책하기 좋아요~
버스킹 하는 분들도 계셔서 낭만적이에요!"
155,4.0,2023.06.17.,
156,3.4,2023.06.16.,사색즐기기 좋고 일몰도 나름 보기 좋음
157,4.7,2023.06.10.,모래가 하얗고 이뻤다
158,3.0,2023.06.06.,
159,4.3,2023.06.06.,뷰가 너무 예쁘고 물이 얕아서 놀기 좋은 곳
160,2.3,2023.06.06.,
161,4.3,2023.06.06.,공항에서 가깝고 먹을데많음
162,4.4,2023.06.05.,제주 바다중 제일 놀기 좋음
163,4.7,2023.06.01.,
164,4.0,2023.06.01.,추천입니다
165,4.0,2023.05.30.,제주 최고의 바다 중 하나입니다. 경사가 낮은 백사장이라 가족 단위로 찾기도 좋은 곳이고 모래 덕분에 바닷물빛도 예뻐서 눈도 즐거워지는 곳이에요.
166,5.0,2023.05.29.,
167,3.9,2023.05.28.,"• 가족 물놀이, 써핑 성지!!"
168,5.0,2023.05.27.,
169,3.2,2023.05.24.,평일에 좋아요~
170,3.6,2023.05.19.,정말 예쁜 해변이었어요
171,3.7,2023.05.19.,카페가 한몫하여 해수욕장 전경이  젤 이쁜듯    상권도  잘 조성되어 있고
172,4.7,2023.05.18.,
173,4.0,2023.05.16.,"장점: 바다가 넓게 펼쳐져 있고 물이 깨끗함
단점: 밤에 술먹고 사람들이 쓰레기들을 너무 많이 버려서 길가다가 술병이 나뒹굼"
174,4.2,2023.05.13.,밤도 아름답습니다.
175,3.4,2023.05.12.,
176,5.0,2023.05.11.,
177,4.0,2023.05.11.,
178,5.0,2023.05.09.,
179,4.0,2023.05.08.,
180,5.0,2023.05.06.,
181,5.0,2023.05.05.,
182,4.6,2023.05.05.,
183,4.7,2023.05.04.,제주에서 젤 좋아하는곳💙
184,2.0,2023.05.04.,
185,4.0,2023.05.04.,
186,4.8,2023.05.04.,
187,5.0,2023.05.04.,"일출명소 물놀이 나들이 
진짜 바다 색감이 최고!!!!!"
188,3.8,2023.05.03.,
189,5.0,2023.05.03.,
190,4.7,2023.05.03.,"바람이 심하게불어서 모래가 많이 날리긴했지만,
물맑고 분위기 너무좋았음"
191,4.9,2023.05.03.,"함덕.에메랄드빛 해변.최고
캠핑하는사람들 쓰레기 처리잘해라 좀!!"
192,2.0,2023.05.03.,"처음으로 찾은 함덕해수욕장은 주차장이 작아서 주차가 힘들었고, 주차 후 해수욕장까지 걸어서 1~2부정도 걸어야 보였고, 백사장은 작고, 해수욕장 앞에 횟집들이아닌 편의점,커피숍,호프집,음식점등 다양하게 근접해있다는 점이 좋았습니다 하지만 힐링할곳은 아니고 한번 놀러가볼만한곳으로 다녀오는걸 추천합니다."
193,5.0,2023.05.03.,편의시설과 인파 적당하고 수심 아이가놀기좋고 소라게 보말등 생물잡기 고운모래놀이 수영 모두 가능함.버스도 자주 다녀서 대중교통 이용 가능
194,3.8,2023.05.03.,
195,3.6,2023.04.16.,최고입니다. 또 올겁니다.
196,3.6,2023.04.11.,바다색이 미쳤음 내가 갔을 땐 바다도 잔잔하고 좋았음 근데 사람이 좀 많음
197,3.8,2023.03.31.,
198,4.3,2023.03.29.,함덕 가신다면 스타벅스보다 해수욕장 바로 앞에 있는 카페 가길 추천 드러요 뷰가 좋거든여   맛보장은 못드려요
199,2.8,2023.03.26.,"따로 찾아서 올만한 곳 입니다.

바닷가랑 가까운 곳에 주차장도 별도로 있구요."
