,평점,날짜,후기
0,4.0,2024.04.25.,
1,3.2,2024.04.19.,"둘레 전체 한 바퀴를 쉬엄쉬엄 사진 찍으며 도는 데 1시간 가까이.
성곽길 중 경사 심한 부분이 좀 있음.
문화재 공사 중인 곳이 좀 있음.
주차장이 꽤 떨어진 남쪽에 있어서 난감."
2,3.3,2024.04.11.,정말 아름다운곳
3,4.3,2024.04.07.,
4,4.6,2024.03.31.,
5,3.5,2024.03.30.,
6,3.5,2024.03.12.,"낙화암이 있는 부소산성 처럼 강변에 잘 복원된 성곽을 한바퀴 돌아보기에 좋았습니다. 
완만하지 않고 여러 단차가 있어, 약간 힘들지만 큰 성은 아니기에 체력부담은 없었음. 금강과 공주시내 뷰를 보기도 좋고 둘래길 걷는 재미가 있네요. 
성내에 영은사 사찰과 여러 정자들이 있고, 발굴중인 백제 유적지가 있어 수년후에 다시 오면 또 다른 모습이 되어있을지도. 
단점은 주차장 부지가 작은것."
7,4.2,2024.03.04.,"뷰 좋고 산채로도 아기자기 좋은데..
주차 불변해요.
입장료 안받았으면.."
8,3.5,2024.02.27.,아주 멋진 곳
9,3.7,2024.02.17.,"입장료 5000
한바퀴 돌기 괜찮음"
10,3.6,2024.02.12.,언제 찾아와도 걷기 좋은 곳.
11,5.0,2024.02.04.,👍
12,3.7,2024.02.03.,
13,4.1,2024.02.03.,강변에 위치한 것. 사찰이 내부에 있는 것. 진주성과 닮아 있는 느낌. 물론 이 곳이 먼저일 것이다.
14,3.4,2024.01.28.,산책로. 왜구가 쳐들어 왔을 때를 상상해보면 조금 재미있는 것 같기도..
15,3.8,2024.01.23.,
16,4.2,2024.01.20.,"공산성 금서루는 공산성 4개 성문 가운데 서쪽 문루이다.
성 안으로 이어지는 도로를 만드는 과정에서 훈적조차 찾기 어려웠지만
1859년에 편찬된 [공산지]**의 문헌 기록과 지형적 여건 등을
고려하여 1993년에 복원하였다.
현재의 문루는 본래 서문이 있던 자리에서 약간 남쪽으로 이동하여
지은 것이다. 금서루는 비록 새롭게 복원된 것이지만 조선시대 성문의
양식을 잘 보여주고 있다.
문루: 문위에 세운 높은 건물
**공산지: 1859년철종 10에 편찬된 충청도 공주목(지금의 공주시)의 읍지
(한 고을의 역사와 문화, 풍속 등을 기록한 책)"
17,2.6,2024.01.18.,
18,4.2,2024.01.18.,
19,4.7,2024.01.16.,
20,4.4,2024.01.10.,"봄여름가을.. 가기좋아요. 겨울은 입장안될때도 있고,
숨겨진 벚꽃명소에요."
21,2.3,2024.01.09.,
22,5.0,2024.01.01.,
23,4.3,2023.12.31.,"공주갔으면 공산성은 무조건 가세요
넓어서 사진찍기도 좋고 저녁전에 가서 산책해도 돟고 그냥 최고ㅠㅠ그늘은 없으니 한여름엔 더위도심!"
24,4.5,2023.12.22.,
25,5.0,2023.12.20.,맛이 아주  끝내줘요
26,5.0,2023.12.12.,
27,4.3,2023.12.11.,조금 덥고.. 조금 힘들었지만.. 아름다운 우리의 문화유산.. 좋은날.. 다시 오고싶어요~^^
28,3.3,2023.12.09.,
29,4.7,2023.12.01.,조용하고 아름다운 자연을 돌아보며 산책하기 좋았어요 생각 이상으로 좋았던 장소입니다
30,5.0,2023.11.24.,간단한 산책을 하고 싶거나 공주의 경치를 보고 싶다 하면 공산성을 한 번 가보는 것도 좋을 것 같습니다
31,2.9,2023.11.18.,공주 백마강 옆에 백제 웅진시대의 성으로 규모가 아주 크지도 작지도 않으며 공주시내가 한눈에 들어오는 곳이다 옆에는 박찬호 마을도 있고 바로 앞에는 제과기능장이 운영하는 베이커리 밤마을이 있어서 눈도 입도 즐거운 곳이다
32,4.4,2023.11.12.,"크고 예뻐요
바깥으로 도는 걸 추천드려요"
33,2.3,2023.11.04.,"공주 10경 중 하나
1. 무료 주차장 이용가능
2. 성인 입장료 3천원. 하절기 6시 동절기 5시 이후 무료개방
3. 성곽을 따라 바라보는 공주 전경이 볼 만 했고 성안은 가족방문시 큰 어려움 없이 산책할 수 있는 수준임
4. 수해복구공사로 진입금지구간이 있었으나 급경사 성곽구간이라 내심 기뻤음
5. 공주를 방문한다면 한번은 가볼만 함...개인적으로 무료개방시간에 가는 것 추천(3천원 내고 볼건 아님)
6. 주변 관광지와 인접(박물관, 무녕왕릉 등)"
34,5.0,2023.10.24.,좋아요 진짜!!
35,4.3,2023.10.12.,공주대백제전 주차하기 빡셀줄알았는데 주차자리도 있어서 주차하고 뷰 구경도하고 재미있었어요~
